槍彈者大師	Bullet Marker Master	불릿 마커 마스터
薩勒瑪的研究真相	True Nature of Sarma's Research	사르마의 연구 실체
使用雙星魔法陣來提煉材料	Use the Transmutation Magic Circle to create ductile ingredients	연성 마법진을 이용해서 재료 연성
將完成的溶液交給薩勒瑪	Hand over the completed liquid to Sarma	사르마에게 완성된 용액 전달
在草堆上噴灑溶液	Sprinkle the liquid onto the pile of the grass	풀더미에 용액 뿌려보기
確認被丟棄的紙條	Check the abandoned memo	버려진 쪽지 확인
搜查樹箱	Search the wooden boxes	나무 상자 수색
確認罈子	Check the pot	항아리 확인
搜查下一個罈子	Search the next pot	다음 항아리 수색
啟示守護者札那斯	Revelation Guardian Zanas	계시 수호자 자나스
傾聽靈魂的聲音	Listen to the Soul's voice	영혼의 목소리 듣기
搜尋那聲音的主人	Search for the source of the voice	목소리의 주인 수색
與札那斯的靈魂對話	Talk to Zanas' Soul	자나스의 영혼과 대화
完成保護魔法	Complete the Protection Magic	보호 마법 완성
向札那斯的靈魂報告	Report back to Zanas' Soul	자나스의 영혼에게 보고
查看碑石的背面尋找微弱綠色魔石	Search for the Teal Magic Stone on the back of the Tombstone	비석의 뒷면을 조사하여 은은한 녹색 마석 수색
向札那斯報告	Report back to Zanas	자나스에게 보고
消滅魔族後可獲得卡雷伊瑪斯魔族的血	Obtain Kalejimas Demon Blood by defeating Demons	마족을 처치해 칼레이마스 마족의 피 획득
交給札那斯的靈魂	Give it to Zanas' Soul	자나스의 영혼에게 전달
對抗強敵的方法	How to beat stronger foes	강적을 상대하는 법
解除屏蔽區域的秘密裝置	Disarm the Isolated Area's Secret Device	차폐구역의 비밀 장치 해제
魔力抑制卷軸中的魔族的魔力紀錄	Regsiter Demon Magic on the Magic Control Scroll	마력 억제 주문서에 마족의 마력 기록
解除器材室的秘密裝置獲得領域支配魔法寶珠	Disarm the Secret Device to obtain the Dominance Magic Orb in the Subsidiary Material Storage Room	자재실의 비밀 장치를 해제하여 영역 지배 마법의 보주 획득
移動至魔族的結界	Move to the Demon Barrier	마족의 결계로 이동
札那斯的另一個靈魂	Another Soul of Zanas	또 다른 자나스의 영혼
跟卡雷伊瑪斯保管室的札那斯的靈魂對話	Talk to Zanas' Spirit in Storage	칼레이마스 보관실에 있는 자나스의 영혼과 대화
消滅怪物後收集蘊含邪惡魔力的核	Collect Evil Energy Cores by defeating monsters	몬스터를 처치해서 사악한 마력이 담긴 핵 수집
無法確認的札那斯的靈魂的行蹤	Free the hiding Soul of Zanas	숨어있는 자나스의 영혼 해방
與隱藏起來的札那斯的靈魂對話	Talk to Zanas' Soul	숨어있던 자나스의 영혼과 대화
尋找卡雷伊瑪斯的秘密裝置說明書	Search for Kalejimas Secret Device Instructions	칼레이마스의 비밀 장치 설명서 수색
保管室的燈	Storage Lamp	보관실의 램프
搜尋藍燈	Look for the Blue Lamp	푸른 램프 수색
確認藍燈	Check the Blue Lamp	푸른 램프 확인
收集附近油袋裡的藍燈的油	Retrieve Oil from the nearby Oil Pouch for the Blue Lamp	주변의 기름 주머니에서 푸른 램프의 기름 회수
將油注入藍燈	Give the Blue Lamp Oil	푸른 램프에 기름 주입
確認紅燈	Check the Red Lamp	붉은 램프 확인
請解決怪物回收紅燈的油	Retrieve Oil for the Red Lamp by defeating monsters	몬스터를 처치해서 붉은 램프의 기름 회수
將油注入紅燈	Give the Red Lamp Oil	붉은 램프에 기름 주입
啟動黃燈所有的魔法陣	Activate all of the Yellow Lamp's Magic Circles	노란 램프의 모든 마법진 활성화
點亮黃燈	Light the Yellow Lamp	노란 램프에 불 밝히기
從秘密裝置中獲得王的紅寶石	Obtain the King's Red Jewel from the Secret Device	비밀 장치에서 왕의 붉은 보석 획득
保管室的結界	Storage Room Barrier	보관실의 결계
我是誰	Who am I	내가 누구게
與獨房區域裡的札那斯的靈魂對話	Talk to Zanas' Spirit at the Solitary Cells	칼레이마스 독방구역에 있는 자나스의 영혼과 대화
請在懸吊之房裡的秘密裝置附近消滅魔族	Defeat the Demons near the Hanging Room's Secret Device	매달리는 방에 있는 비밀 장치 근처에서 마족 처치
啟動懸吊之房裡的秘密裝置	Activate the Secret Device in the Hanging Room	매달리는 방에 있는 비밀 장치 가동
向禁閉室的赤紅蘇凱博學者聽取情報	Listen to information from the Red Socket Mage in the Solitary Cell	징벌 독방의 붉은 소켓 메이지에게 정보 듣기
消滅魔族獲得克萊獰怪的印章	Obtain Grinende Seal's by defeating the Demons	마족을 처치해서 그라이넨더의 인장 획득
移動至監獄	Prison Movement	감옥이동
在囚犯休息室上方的秘密裝置中獲得卡雷伊瑪斯空間移動卷軸	Obtain Kalejimas Teleportation Scrolls from the Prisoner Waiting Room's Secret Device	죄수 대기실 위쪽에 있는 비밀 장치에서 칼레이마스 공간이동 주문서 획득
使用卡雷伊瑪斯空間移動卷軸	Use the Kalejimas Teleportation Scroll	칼레이마스 공간이동 주문서 사용
啟動長期服刑收監所的秘密裝置	Activate the Secret Device in the Long Sentence Prison Cell	장기 복역 수감소의 비밀 장치 가동
引誘怪物到秘密裝置周圍	Lure the monsters near the Secret Device	비밀 장치 주변으로 몬스터를 유인
解除克萊獰怪的魔法陣	Disarm Grinende's Magic Circle	그라이넨더의 마법진 해제
消滅消滅卡雷伊瑪斯 獨房區域札那斯的靈魂	Defeat the Demon Stragglers in the Solitary Cells	칼레이마스 독방구역의 마족 잔당 처치
解除普通監獄的秘密裝置	Disarm the Regular Prison Cell's Secret Device	일반 옥사의 비밀 장치 해제
從秘密裝置中獲得王之綠寶石	Obtain the King's Green Jewel from the Secret Device	비밀 장치에서 왕의 초록 보석 획득
跟卡雷伊瑪斯作業場的札那斯的靈魂對話	Talk to Zanas' Spirit at the Reintegration Workshop	칼레이마스 작업장에 있는 자나스의 영혼과 대화
在個別作業場搜索移動魔法	Search for Teleporation Magic in the Individual Workshop	개별 작업장에서 이동 마법 수색
被束縛的札那斯的靈魂	The Restrained Spirit of Zanas	구속된 자나스의 영혼
消滅怪物獲得束縛的靈魂石	Obtain the Spirit Stone of Restrainment by defeating monsters	몬스터를 처치해서 속박의 영혼석 획득
解除束縛魔法陣救出札那斯的靈魂	Rescue Zanas' Spirit by disarming the Magic Circle of Restrainment	속박 마법진을 해제하여 자나스의 영혼 구출
與被放開的札那斯的靈魂對話	Talk to the now free Zanas' Spirit	풀려난 자나스의 영혼과 대화
收集碎片	Shard Collection	조각 모음
消滅怪物獲得了4種碎片	Defeat the monsters and obatin four types of Shards	몬스터를 처치해서 네 종류의 조각 확득
利用光之結晶淨化碎片	Purify the Shards by using Light Crystal	빛의 결정을 이용해서 조각 정화
確認副器材室裡的秘密裝置	Check the Secret Device in the Supply Room	부자재실에 있는 비밀 장치 확인
使用秘密裝置前、後、左、右的各個碎片	Use the Shards on all four directions of the Secret Device	비밀 장치의 앞, 뒤, 양옆에 각각의 조각 사용
從秘密裝置中獲得王之黃寶石	Obtain the King's Yellow Jewel from the Secret Device	비밀 장치에서 왕의 노란 보석 획득
與來到副器材室的札那斯的靈魂對話	Talk to Zanas' Spirit in the Supply Room	부자재실로 온 자나스의 영혼과 대화
啟動體罰房的秘密裝置	Activate the Secret Device in the Punishment Room	체벌방의 비밀 장치 활성화
啟動體罰房的秘密裝置	Activate the Secret Device in the Punishment Room	체벌방의 비밀 장치 작동
作業場的結界	Workshop Barrier	작업장의 결계
消滅前往魔族的結界路上的怪物	Defeat the monsters on the way to the Demon Barrier	마족의 결계로 가는 길의 몬스터 처치
消滅周圍的怪物，回收監視用探測器零件。	Defeat nearby monsters to retrieve the Observational Detector parts	주변의 몬스터를 처치해서 감시용 탐색기 부품 회수
修理監視用探測器	Repair the Observational Detector	감시용 탐색기 수리
札那斯的決心	Zanas' Resolve	자나스의 결심
補充焚燒爐周圍的元氣結晶	Charge Energy Crystals around the Incinerator	소각로 주변의 원기의 결정 충전
啟動焚燒爐的秘密裝置	Activate the Incinerator's Secret Device	소각로의 비밀 장치 작동
現在最要緊的事情	What needs to be done	지금 해야 할 일은
消滅前往焚燒爐路上的怪物	Defeat the monsters on the way to the Incinerator	소각로로 향하는 길에 있는 몬스터 처치
啟動懲罰之塔裡的魔法裝置	Activate the Magical Device at the Tower of Discipline	징벌의 탑에 있는 마법 장치 작동
啟動卡杜梅爾的所有魔法陣	Activate all of Kadumel's Magic Circles	카듀멜의 마법진 전부 활성화
解除刑場的秘密裝置	Disarm the Secret Device at the Execution Grounds	처형장의 비밀 장치 해제
從秘密裝置中獲得老舊的重力磁場石	Obtained a Worn Gravity Stone from the Secret Device	비밀 장치에서 낡은 그라비티 스톤 획득
使用老舊的重力磁場石消滅魔族	Defeat the Demons by using the Worn Gravity Stone	낡은 그라비티 스톤을 사용해서 마족 처치
使用老舊的重力磁場石除去魔族召喚水晶	Remove the Demon Summoning Crystal by using the Worn Gravity Stone	낡은 그라비티 스톤을 사용해서 마족 소환수정 제거
在魔族的結界呼叫札那斯的靈魂	Call Zanas' Spirit from the Demon's Barrier	마족의 결계에서 자나스의 영혼 호출
消滅內比爾拉斯獲得王之藍寶石	Obtain the King's Blue Jewel after defeating Nebulas	네뷸라스를 처치하고 왕의 푸른 보석 획득
從懺悔室裡的秘密裝置中獲得啟示	Obtain the Revelation from the Confessional Secret Device	참회실에 있는 비밀 장치에서 계시 획득
確認牆壁的塗鴉	Check the Writings on the Wall	벽의 낙서 확인
確認牆上塗鴉所指引的地點	Check the location indicated by the writings on the wall	벽의 낙서가 가리키는 장소 확인
確認地膚子廣場的秘密裝置	Check the Secret Device at Jibuza Square	지부자 광장의 비밀 장치 확인
確認從接見所某地取出的補給箱子	Check the Supply Chest that is hidden somewhere in the Waiting Room	접견소 어딘가에 꺼내진 보급 상자 확인
確認中央集結地的秘密裝置	Check the Secret Device at the Central Assembly Area	중앙 집결지의 비밀 장치 확인
獲得秘密裝置裡的東西	Obtain the object from inside the Secret Device	비밀 장치안에 있는 물건 획득
確認長期服刑收監所的牆	Check the walls of the Long Sentence Prison Cell	장기 복역 수감소의 벽 확인
搜索囚犯的收押品	Search Confiscated Goods	죄수의 압수품 수색
確認囚犯休息室掉在地上的信	Check the letter on the ground at the Inmate's Lounge	죄수 휴게실 바닥에 떨어진 편지 확인
找尋知道信件主人的人	Search for a person that knows the letter's owner	편지의 주인을 아는 사람 수색
與佩迪米安的老人對話	Talk to the old man at Fedimian	페디미안의 노인과 대화
啟動卡雷伊瑪斯審問室入口的秘密裝置	Activate the Secret Device in the Interrogation Room Entrance	칼레이마스 심문실 입구에 있는 비밀 장치 작동
消滅秘密裝置的數字指向的怪物	Defeat as many monsters as the Secret Device is indicating	비밀 장치의 숫자가 가리키는 몬스터 처치
解除深淵之房的秘密裝置	Disarm the Secret Device in the Room of Abyss	심연의 방의 비밀 장치 해제
獲得秘密裝置獎勵	Obtain the Reward from the Secret Device	비밀 장치에서 보상 획득
確認札那斯的邪念	Check Zanas' Echo	자나스의 사념 확인
在焚燒爐周圍聚集元氣結晶	Gather Energy Crystals from near the Incinerator	소각로 주변에서 원기의 결정 모으기
往札那斯的邪念傳達元氣	Passing energy to Zanas' Echo	자나스의 사념에 원기 전달
消滅赤紅大蘑菇精獲得蘑菇精的滑溜汁液	Defeat Big Red Gribas to obtain Griba Juice	붉은 빅 그리바를 처치해서 그리바의 미끈한 즙 획득
解毒劑材料加工	Mix the Antidote Ingredients	해독제 재료 가공
在鍊金術桌子上製作解毒劑	Craft the Antidote at the Alchemy Table	연금술 탁자에서 해독제 제작
治療研究員艾達斯	Cure Researcher Adas	연구원 에이다스 치료
治療研究員彼特	Cure Researcher Veed	연구원 비드 치료
通過樹木藤蔓	Pass the Tree Vines	나무 덩굴을 지나서
與研究員彼特對話	Talk to Researcher Veed	연구원 비드와 대화
找尋寫著合成公式的紙張	Search for the paper with the combination	조합식이 적힌 종이 수색
尋找資材保管盒裡面的中和劑催化劑	Search the Chest of Materials for Neutralizer reagent	자재 보관함에서 중화제의 촉매 수색
將試劑合成魔法陣依周圍光的順序啟動	Activate the lights surrounding the Potion Mixing Magic Circle in the correct order	시약 조합 마법진 주위의 빛을 순서대로 활성화
用試劑合成魔法陣製作過度成長溶液的中和劑	Craft a Overgrowth Potion Neutralizer with the Potion Mixing Magic Circle	시약 조합 마법진으로 과성장 용액의 중화제 제작
除去擋路的樹木藤蔓	Remove the Tree Vines blocking the road	길을 막는 나무 덩굴 제거
更強的解毒劑	Enhanced Antidote	더 강력한 해독제
調查莎勒瑪的研究資料	Examine Sarma's Research Materials	사르마의 연구자료 조사
消滅綠色大花草獲得大花草的黏稠樹液	Defeat the Green Rafflesia to obtain Sticky Sap Rafflesia	초록 라플레시아를 처치해서 라플레시아의 끈적한 수액 획득
與研究員席蕾亞對話	Talk to Researcher Sireah	연구원 시레아와 대화
透過研究員席蕾亞製造強化的解毒劑	Craft an Enhanced Antidote with Researcher Sireah	연구원 시레아를 통해 강화된 해독제 제조
用強化的解毒劑解毒有毒區域	Purify the Poisoned Ground with the Enhanced Antidote	강화된 해독제로 독지대 해독
追蹤逃走的莎勒瑪	Tracking Sarma	도망간 사르마 추적
向研究員席蕾亞報告	Report back to Researcher Sireah	연구원 시레아에게 보고
消滅中了莎勒瑪的毒的怪物	Defeat monsters that have been poisoned by Sarma's Poison	사르마의 독에 중독된 몬스터 처치
消滅中了毒的怪物	Defeat the poisoned monsters	독에 걸린 몬스터 처치
破壞莎勒瑪主要實驗室的設備	Destroy research equipment at Sarma's main laboratory	사르마의 주 실험실의 설비 파괴
與奎波爾優雷對話	Talk to Kupole Jore	큐폴 요레와 대화
搜查內城壁第8區域	Investigate Inner Wall District 8	내성벽 제 8구역 수사
調查第8區域倉庫	Inspect District 8 Warehouse	제 8구역 창고 조사
向奎波爾優雷報告	Report to Kupole Jore	큐폴 요레에게 보고
到文件管理室調查痕跡	Find the trace in the Document Archive	문서 관리실에서 흔적 조사
確認中央統治室的魔法陣	Check the magic circle in the central control room	중앙 통제실의 마법진 확인
確認資材保管盒	Chest the material storage chest	자재 보관함 확인
製作破壞資材保管盒的道具	Craft something that can break the Material Storage Chest	자재 보관함을 부술 물건 제작
破壞資材保管盒	Destroy the Material Storage Chest	자재 보관함 파괴
確認魔法陣管理部	Check the magic circle maintenance department	마법진 관리부 확인
移動前往魔法陣	Move to the magic circle	마법진으로 이동
使用魔法陣四週的魔力之眼	Use the Magical Eye in four directions of the magic circle	마법진 주위 네 방향에서 마력의 눈 사용
調查第8區域研究室	Inspect the District 8 Laboratory	제 8구역 연구실 조사
確認魔法石燈	Check the lamp's magic stone	램프 마법석 확인
用燈的光確認帶有魔法的紙	Check the magical paper with the lamp light	램프의 빛으로 마법이 걸린 종이 확인
和奎波爾優雷一起推理	Deduce what happened with Kupole Jore	큐폴 요레와 함께 추리
消滅內城壁第8區域的怪物	Defeat monster in the inner wall district 8	내성벽 제 8구역의 몬스터 처치
調查內城壁第9區域	Inspect Inner Wall District 9	내성벽 제 9구역 조사
與奎波爾里耶帕對話	Talk to Kupole Liepa	큐폴 리에파와 대화
向奎波爾里耶帕說明	Explain to Kupole Liepa	큐폴 리에파에게 설명
消滅指揮室裡的怪物	Defeat the monster in the command room	사령실에 있는 몬스터 처치
在指揮室搜索內城壁第9區域管理文件	Search the Command Room for Maintanence documents for Inner Wall District 9	사령실에서 내성벽 제 9구역 관리문서 수색
轉交給奎波爾里耶帕	Deliver to Kupole Liepa	큐폴 리에파에게 전달
調查管理室	Inspect the Management Room	관리실 조사
確認衝擊吸收魔法陣	Check the Impact Absorption Magic Circle	충격 흡수 마법진 확인
確認油桶保管所	Check the Oil Barrel Storage Room	기름통 보관소 확인
在附近搜索油桶	Search for the oil barrel nearby	근처에서 기름통 수색
確認火焰放射魔法石	Check the Flamethrowing Magic Stone	화염 방사 마법석 확인
驅動火焰放射魔法石	Ignite Flamethrowing Magic Stone	화염 방사 마법석 시동
啟動火焰放射魔法石	Operate Flamethrowing Magic Stone	화염 방사 마법석 작동
在兵營搜索線索	Find the clue in the Barrack	병영에서 단서 수색
確認指揮官室的秘密保管箱	Check the secret storage chest in the command room	지휘관실의 비밀 보관함 확인
解鎖秘密保管箱	Unlock Secret Storage Chest	비밀 보관함 잠금 해제
確認秘密保管箱	Check the Secret Storage Chest	비밀 보관함 확인
和奎波爾優雷一起推理	Deduce what happened with Kupole Liepa	큐폴 리에파와 추리
在會議室消滅怪物獲得緊急命令書後確認其中的內容。	Check the conent of the emergency order after obtaining it from the monsters in the meeting room	회의실의 몬스터를 처치해서 긴급 명령서를 획득 후 내용 확인
修復緊急魔法陣	Repair the Emergency Magic Circle	비상 마법진 복구
解除第1核心保護裝置	Disarm the Primary Core Protection Device	제 1차 코어 보호장치 해제
確認防禦壁管理機	Check the Defensive Wall Maintainer	방어벽 관리기 확인
前往工作室	Move to the Office	집무실로 이동
在工作室搜索紅色驅動魔石	Search for Red Ignition Magic Stone in the Office	집무실에서 붉은 시동 마석 수색
解除防禦壁管理機	Disarm the Wall Maintainer	방어벽 관리기 해제
確認第2核心保護裝置	Check the Secondary Core Protection Device	제 2차 코어 보호장치 확인
清除所有魔力的源泉	Remove all magic sources	모든 마력의 원천 제거
解除第2核心保護裝置	Disarm the Secondary Core Protection Device	제 2차 코어 보호장치 해제
確認第3核心保護裝置	Check the Tertiary Core Protection Device	제 3차 코어 방어장치 확인
破壞魔力再生石	Destroy Magic Regeneration Stones	마력 재생석 파괴
解除第3核心保護裝置	Disarm the Tertiary Core Protection Device	제 3차 코어 방어장치 해제
確認外城壁核心	Check the Outer Wall Core	외성벽 코어 확인
消滅被引到外城壁核心的小魔怪	Defeat goblins lured in by the core	외성벽 코어에 이끌려 온 그렘린 처치
回收外城壁核心	Retrieve the  Outer Wall Core	외성벽 코어 회수
三重城牆發生的事	Incident on Triple-Layerd Castle Wall	삼중성벽에 있던 일
將外城壁核心轉交給奎波爾密爾達	Deliver the  Outer Wall Core to Kupole Milda	큐폴 밀다에게 외성벽 코어 전달
和奎波爾優雷一起推理	Deduce with Kupole Jore	큐폴 요레와 추리
補給兵的最後任務	The Supply Soldier's Last Mission	보급병의 마지막 임무
與補給兵的靈魂對話	Talk with the Soul of the Supply Officer	보급병의 영혼과 대화
請與補給兵的靈魂對話。	Talk to the Soul of the Supply Officer	보급병의 영혼과 대화하세요.
回收遺失的城牆補給品	Retrieve the lost supplies	유실된 성벽 보급품 회수
轉交給補給兵的靈魂	Deliever to the soul of supply officer	보급병의 영혼에게 전달
消滅怪物回收遺失的城牆補給品	Retrieve the lost supplies from the monsters	몬스터를 처치해서 유실된 성벽 보급품 회수
城牆士兵的迷戀	Castle Wall Soldier's Unfinished Business	성벽 병사의 미련
與城牆士兵的靈魂對話	Talk with the Soul of Castle Wall Soldier	성벽 병사의 영혼과 대화
收集城牆士兵的遺物	Gather the keepsake of soldiers	성벽 병사의 유품 모으기
尋找庫萊嶺的聖所	Find the Sanctuary of Kule Peak	쿨레 고개의 성소 찾기
在聖所中央放下遺物	Place the keepsakes in the middle of the sanctuary	성소의 가운데에 유품 내려두기
活化庫萊嶺的聖所	Activate the Sanctuary of Kule Peak	쿨레 고개의 성소 활성화
與偵察兵的靈魂對話	Talk with the Soul of the Scout	정찰병의 영혼과 대화
請與偵察兵的靈魂對話。	Talk to the Soul of the Scout	정찰병의 영혼과 대화하세요.
尋找城牆偵察兵的報告書	Find the Scout report from the wall	성벽 정찰병의 보고서 찾기
轉交給偵察兵的靈魂	Deliver to the soul of the scout	정찰병의 영혼에게 전달
收集感覺得到神聖力量的碎片	Gather the fragments with the divine energy	신성한 힘이 느껴지는 조각 모으기
受歡迎的人	Welcomed One	환영받는 자
和士兵加爾蘭斯對話	Talk to Soldier Guylens	병사 가일랜스와 대화
和士兵加爾連斯對話	Talk to Soldier Guylens	병사 가일렌스와 대화
和副隊長達爾倫對話	Talk to Assistant Commander Talon	부대장 탈른과 대화
與補給兵海倫塔斯對話	Talk to Supply Soldier Herntas	보급병 해른타스와 대화
與補給兵德林對話	Talk to Supply Soldier Delyn	보급병 델린과 대화
消滅攻擊過來的魔族及怪物	Defeat the incoming demons and monsters	공격해 오는 마족과 몬스터 처치하기
戰鬥準備	Preparing for Battle	전투 준비
與副隊長達爾倫對話	Talk to Assistant Commander Talon	부대장 탈른과 대화하기
打敗幽茲薩爾高原的怪物	Defeat the monsters in Uzsaldi Plateau	우즈살디 고원에 있는 몬스터 처치
消滅在作戰地區的怪物	Clear out monsters around Uzsaldi Plateau	작전지역에 있는 몬스터 처치
在作戰地區設置木製柵欄	Set Up Wooden Fences on the Operation Grounds	작전 지역에 목책 설치
與士兵凱蘭斯對話	Talk to Soldier Callans	병사 칼란스와 대화
在幽茲薩爾高原下方收集黑色石頭	Collect Black Stones at the Uzsaldi Plateau	우즈살디 고원 아래쪽에서 검은 돌 수집
轉交給士兵凱蘭斯	Deliver to Soldier Callans	병사 칼란스에게 전달
在作戰地區設置炸彈	Setup the bombs at the Operation Site	작전 지역에 폭탄 설치
消滅肯陶洛斯	Defeat Centaurus	켄타우로스 처치
消滅伊布雷高原的魔族殘黨	Defeat the demon remnants at Ibre Plateau	이브레 고원에 있는 마족 잔당 처치
消滅魔族殘黨	Defeat the demon remnants	마족 잔당 처치
與嘉魅爾蘭對話	Talk to Jamelhan	자멜란과 대화
消滅攻擊營地的雪人	Defeat the attacking Yeti	캠프를 공격하는 예티 처치
作業失誤	Setbacks	업무 차질
消滅營地附近的怪物	Defeat monsters near the camp	캠프 근처에 있는 몬스터 처치
解決營地周邊的怪物	Defeat Monsters Near the Camp	캠프 주변에 있는 몬스터 처치
治療受傷的礦夫	Nurse the Wounded Miners	다친 광부 치료
用探測器搜索次元石	Search for the Dimensional Stone	탐지기로 차원석 광석 수색
法師突爾利斯的礦石調查	Wizard Tulis' Ore Research	위저드 튤리스의 광석 조사
和法師突爾利斯對話	Talk to Wizard Tulis	위저드 튤리스와 대화
收集藍色克洛紐特毒針術士的魔力結晶	Collect Blue Cronewt Needler Crystals	푸른 크로뉴트 독침술사의 마력 결정 수집
轉交給法師突爾利斯	Deliver to Wizard Tulis	위저드 튤리스에게 전달
到階梯丘陵下方調查並收集蘊含魔力的石頭	Investigate the stones south of Stairway Knoll and collect the Magic Stones	계단 구릉 아래쪽의 바위를 조사해 마력이 깃든 돌 수집
收集變換的怪物精髓	Collect Monster Essence	변환된 몬스터의 정수 수집
和法師突爾利斯對話	Talk to Wizard Tulis	위저드 튵러스와 대화
收集提尼的唾液腺	Collect Tini Salivary Glands	티니의 침샘 수집
調查被詛咒的雕像	Investigate the Cursed Statue	저주 받은 조각상 조사
找到知情的人與他對話	Talk to Someone	알 만한 사람을 찾아서 대화
村莊的詛咒	Village Curse	마을에 걸린 저주
和村莊祭司凱拉依默斯對話	Talk to Village Priest Chaleims	마을 사제 칼레임스와 대화
和村莊居民阿勒基斯對話	Talk to Villager Argis	마을 주민 아르기스와 대화
在德貝尤堤絕壁收集黑色石頭	Collect Black Stones in Dvejoti Cliff	드베요티 절벽에서 검은 돌 수집
轉交給村莊居民阿勒基斯	Deliver to Villager Argis	마을 주민 아르기스에게 전달
在監視晶球上設置炸彈並破壞晶球	Use the Bomb to Destroy the Surveillance Sphere	감시의 구에 폭탄을 설치하여 파괴
收集雪白地鼠獸的精髓	Collect White Spion Essence	하얀 스피온의 정수 수집
轉交給村莊祭司凱拉依默斯	Deliver to Village Priest Chaleims	마을 사제 칼레임스에게 전달
請用探知水晶尋找神聖力	Find Divine Energy with the Detection Orb	탐지 구슬을 사용해 신성력 찾기
尋找村莊祭司亞倫塔斯	Search for Village Priest Arntas	마을 사제 아른타스 수색
保護村莊祭司凱拉依默斯	Protect Village Priest Chaleims	마을 사제 칼레임스 보호
破壞被詛咒的雕像	Destroy the Cursed Statue	저주 받은 조각상 파괴
與村莊居民德亞伊蘭對話	Talk to Villager Deailan	마을 주민 드아일란과 대화
收集席克里兒草	Collect Sikljien Herbs	시클리엔 풀 채집
轉交給村莊居民德亞伊蘭	Deliver to Villager Deailan	마을 주민 드아일란에게 전달
與村莊居民艾密斯對話	Talk to Villager Emils	마을 주민 에밀스와 대화
解決村莊周圍的怪物	Defeat Monsters Near the Village	마을 주변에 있는 몬스터 처치
被詛咒的雕像們	Cursed Statues	저주 받은 조각상들
以淨化之珠破壞被詛咒的雕像	Destroy the Cursed Statues with the Purification Sphere	정화의 구로 저주 받은 조각상 파괴
為淨化之珠填入神聖力	Charge the Purification Sphere with Divine Energy	정화의 구에 신성력 충전
關閉被詛咒的雕像周圍的魔法裝置	Disable the Magic Devices Around the Statue	저주 받은 조각상 주변의 마법장치 끄기
消滅茲巴卡石堆的魔族及怪物	Defeat the Demons and Monsters in Zvaghas Stone	즈바가스 돌무지의 마족과 몬스터 처치
消滅雷班札特	Defeat the Lavenzard	래밴자드 처치
卡杜梅爾絕壁的祭壇群	The Altars of Kadumel Cliff	카듀멜 절벽의 제단들
觀察祭壇	Investigate the Altar	제단 살펴보기
消滅祭壇周圍的怪物	Defeat Monsters Around the Altar	제단 주변에 있는 몬스터 처치
清除邪惡氣息	Clear Out the Concentrated Evil Energy	사악한 기운 덩어리 제거
後退	Retreat	후퇴
和士兵安德雷對話	Talk to Soldier Andre	병사 안드레와 대화
消滅攻過來的魔族	Defeat the Attacking Demons	공격해 오는 마족 처치하기
移動到副隊長必拉斯所在的席梅克菈基地	Go to Smekla Base and Find Assistant Commander Vilas	부대장 빌라스가 있는 스메클라 기지로 이동
消滅魔族及怪物	Defeat the Demons and Monsters	마족과 몬스터 처치
與副隊長必拉斯對話	Talk to Assistant Commander Vilas	부대장 빌라스와 대화
與勒姆迪緹作業場的偵查兵寶亞斯對話	Talk to Scout Boas at the Lamdyti Workshop	람디티 작업장의 정찰병 보아스와 대화
與偵查兵寶亞斯對話	Talk to Scout Boas	정찰병 보아스와 대화
收集黑色石頭	Collect Black Stones	검은 돌 수집
破壞可疑的魔法裝置	Destroy the Suspicious Magic Device	수상한 마법 장치 파괴
消滅攻過來的圖拉漢	Defeat the Dullahan	공격해오는 듀라한 처치
破壞魔族的裝置	Destroy the Demons' Device	마족의 장치 파괴
觀察魔族裝置	Investigate the Demons' Device	마족 장치 살펴 보기
在席梅克菈基地找找能拿來破壞裝置的東西	Search for Objects to Destroy the Device at Smekla Base	스메클라 기지에서 장치를 파괴할 만한 물건 수색
用炸彈破壞魔族裝置	Destroy the Demon Device with the Bomb	폭탄으로 마족 장치 파괴
回到過去	Back in time	시간을 거슬러
碑石路的時空操控者大師，似乎在等待他人的幫助。	The Chronomancer Master is waiting for someone's help at Stele Road	비석로의 크로노맨서 마스터가 누군가의 도움을 기다리고 있습니다
使用潔戈媞女神的水晶	Use Goddess Gegute's crystal	제거티 여신의 수정 사용
時空操控者大師說，利用潔戈堤女神的水晶，調查過去在周圍發生的事件。	The Chronomancer Master advised to use Goddess Gegute's crystal to see what happened in the surrounding area	크로노맨서 마스터는 제거티 여신의 수정을 사용하여 주변에서 일어난 과거의 사건을 살펴보라고 했습니다
進入地瑪蘇高特	Entering Zima Suecourt	지마 수코트 진입
清除魔力球碎片	Removing Orb fragments	마력구 파편 제거
收集時間的魔力	Collect Time magic	시간의 마력 수집
請破壞魔力觀測站周邊的魔力裝置並收集時間魔力。	Destroy the magic devices near the Magic Observatory and collect Time Magic	마력 관측소 주변의 마력 장치를 파괴하고 시간 마력을 수집하세요.
躲過怪物使用潔戈媞女神的水晶	Use Goddess Gegute's crystal while avoiding the monsters	몬스터를 피해 제거티 여신의 수정을 사용
消滅中了魔力毒的怪物	Deal with the monsters in the surrounding area	마력에 중독된 몬스터 처치
確認時間萬花筒	Check the Kaleidoscope of Time	시간의 만화경 확인
快速移動	Swift Movement	빠른 이동
