無_helmet	Empty_helmet	없음_helmet
吹笛手貝勒凱普歐雷德套裝(女)	Pied Piper Bergefuehrender Costume (Female)	파이드 파이퍼 베르게퓌어렌더 코스튬(여)
驅魔師套裝	Exorcist Costume	엑소시스트 코스튬
驅魔師特別套裝	Costume Special Costume	엑소시스트 스페셜 코스튬
驅魔師靈魂束縛者套裝	Exorcist Soul Binder Costume	엑소시스트 소울 바인더 코스튬
驅魔師靈魂束縛者特別套裝	Exorcist Soul Binder Special Costume	엑소시스트 소울 바인더 스페셜 코스튬
驅魔師紅色教條套裝	Exorcist Rubric Costume	엑소시스트 루브릭 코스튬
驅魔師紅色教條特別套裝	Exorcist Rubric Special Costume	엑소시스트 루브릭 스페셜 코스튬
驅魔師契約套裝	Exorcist Concordat Costume	엑소시스트 콘코르다트 코스튬
驅魔師契約特別套裝	Exorcist Concordat Special Costume	엑소시스트 콘코르다트 스페셜 코스튬
驅魔師契約套裝(男)	Exorcist Concordat Costume (Male)	엑소시스트 콘코르다트 코스튬(남)
驅魔師契約套裝(女)	Exorcist Concordat Costume (Female)	엑소시스트 콘코르다트 코스튬(여)
高地戰士特別套裝(男)	Highlander Special Costume (Male)	하이랜더 스페셜 코스튬(남)
高地戰士特別套裝(女)	Highlander Special Costume (Female)	하이랜더 스페셜 코스튬(여)
劍士特別套裝(男)	Swordsman Special Costume (Male)	소드맨 스페셜 코스튬(남)
劍士特別套裝(女)	Swordsman Special Costume (Female)	소드맨 스페셜 코스튬(여)
法師特別套裝(男)	Wizard Special Costume (Male)	위저드 스페셜 코스튬(남)
法師特別套裝(女)	Wizard Special Costume (Female)	위저드 스페셜 코스튬(여)
烈焰法師特別套裝(男)	Pyromancer Special Costume (Male)	파이로맨서 스페셜 코스튬(남)
烈焰法師特別套裝(女)	Pyromancer Special Costume (Female)	파이로맨서 스페셜 코스튬(여)
念力法師特別套裝(男)	Psychokino Special Costume (Male)	사이코키노 스페셜 코스튬(남)
念力法師特別套裝(女)	Psychokino Special Costume (Female)	사이코키노 스페셜 코스튬(여)
弓箭手特別套裝(男)	Archer Special Costume (Male)	아처 스페셜 코스튬(남)
弓箭手特別套裝(女)	Archer Special Costume (Female)	아처 스페셜 코스튬(여)
弩箭手特別套裝(男)	Quarrel Shooter Special Costume (Male)	쿼렐슈터 스페셜 코스튬(남)
弩箭手特別套裝(女)	Quarrel Shooter Special Costume (Female)	쿼렐슈터 스페셜 코스튬(여)
遊俠特別套裝(男)	Ranger Special Costume (Male)	레인저 스페셜 코스튬(남)
遊俠特別套裝(女)	Ranger Special Costume (Female)	레인저 스페셜 코스튬(여)
聖水祭司特別套裝(男)	Priest Special Costume (Male)	프리스트 스페셜 코스튬(남)
聖水祭司特別套裝(女)	Priest Special Costume (Female)	프리스트 스페셜 코스튬(여)
雕刻師特別套裝(男)	Dievdirbys Special Costume (Male)	딥디르비 스페셜 코스튬(남)
雕刻師特別套裝(女)	Dievdirbys Special Costume (Female)	딥디르비 스페셜 코스튬(여)
武僧特別套裝(男)	Monk Special Costume (Male)	몽크 스페셜 코스튬(남)
武僧特別套裝(女)	Monk Special Costume (Female)	몽크 스페셜 코스튬(여)
牧師特別套裝(男)	Cleric Special Costume (Male)	클레릭 스페셜 코스튬(남)
牧師特別套裝(女)	Cleric Special Costume (Female)	클레릭 스페셜 코스튬(여)
金色妖精月桂冠	Golden Fairy Laurel	황금빛 페어리 월계관
金色妖精花葉飾品	Golden Fairy Flower Tiara	황금빛 페어리 꽃잎 장식
綠色妖精花蕾帽	Dawn Fairy Flower Bud	새벽빛 페어리 꽃망울
粉紅色妖精花蕾帽	Pink Fairy Flower Bud	분홍빛 페어리 꽃망울
可可瑪綠花帽	Teal Teeny Hat	꼬꼬마 은빛 모자
可可瑪粉紅花帽	Pink Teeny Hat	꼬꼬마 분홍빛 모자
[團結] 死亡魔女卡特短劍 (30天)	Deathweaver Cutter (30 Days)	[결속] 데스위버 커터 (30일)
[團結] 死亡魔女利牙 (30天)	Deathweaver (30 Days)	[결속] 데스위버 투스 (30일)
[團結] 死亡魔女權杖 (30天)	Deathweaver Rod (30 Days)	[결속] 데스위버 로드 (30일)
[團結] 梅利娜斯法杖 (30天)	Melinas Staff (30 Days)	[결속] 멜리나스 스태프 (30일)
[團結] 死亡魔女弓 (30天)	Deathweaver Bow (30 Days)	[결속] 데스위버 보우 (30일)
[團結] 死亡魔女十字弓 (30天)	Deathweaver Crossbow (30 Days)	[결속] 데스위버 크로스보우 (30일)
[團結] 布貝晨星錘 (30天)	Vubbe Morning Star (30 Days)	[결속] 부베 모닝스타 (30일)
[團結] 布貝盔甲 (30天)	Vubbe Armor (30 Days)	[결속] 부베 아머 (30일)
[團結] 布貝短褲 (30天)	Vubbe Pants (30 Days)	[결속] 부베 팬츠 (30일)
[團結] 凱米尼斯劍 (30天)	Cheminis Sword (30 Days)	[결속] 케미니스 소드 (30일)
[團結] 死靈查普利雙手劍 (30天)	Chapparition Two-handed Sword (30 Days)	[결속] 채퍼리션 투 핸드 소드 (30일)
[團結] 死靈查普利權杖 (30天)	Chapparition Rod (30 Days)	[결속] 채퍼리션 로드 (30일)
[團結] 帕特里斯法杖 (30天)	Patrice Staff (30 Days)	[결속] 파트리스 스태프 (30일)
[團結] 死靈查普利弓 (30天)	Chapparition Bow (30 Days)	[결속] 채퍼리션 보우 (30일)
[團結] 死靈查普利射手弓 (30天)	Chapparition Shooter (30 Days)	[결속] 채퍼리션 슈터 (30일)
[團結] 死靈查普利鈍器 (30天)	Chapparition Mace (30 Days)	[결속] 채퍼리션 메이스 (30일)
[團結] 鍍銀矛槍 (30天)	Silver Spear (30 Days)	[결속] 실버 스피어 (30일)
[團結] 凱米尼斯長槍 (30天)	Cheminis Pike (30 Days)	[결속] 케미니스 파이크 (30일)
[團結] 馬克上衣 (30天)	Mark Tunic (30 Days)	[결속] 마크 튜닉 (30일)
[團結] 馬克短褲 (30天)	Mark Pants (30 Days)	[결속] 마크 팬츠 (30일)
[團結] 杜蘭朵劍 (30天)	Durandal (30 Days)	[결속] 듀란달 (30일)
[團結] 弗拉米尼劍 (30天)	Flamini (30 Days)	[결속] 플라미니 (30일)
[團結] 賽克雷頓權杖 (30天)	Secretum (30 Days)	[결속] 세크레툼 (30일)
[團結] 燭火法杖 (30天)	Candle Staff (30 Days)	[결속] 캔들 스태프 (30일)
[團結] 心之探索者弓 (30天)	Heart Seeker (30 Days)	[결속] 하트 시커 (30일)
[團結] 射擊之星 (30天)	Shooting Star (30 Days)	[결속] 슈팅스타 (30일)
[團結] 艾沙奇烏鈍器 (30天)	Escanciu Mace (30 Days)	[결속] 에산치우 메이스 (30일)
[團結] 末日矛槍 (30天)	Doom Spear (30 Days)	[결속] 둠 스피어 (30일)
[團結] 拉伊戴卡矛槍 (30天)	Laideca (30 Days)	[결속] 라이데카 (30일)
[團結] 鎧甲盔甲 (30天)	Brigandine Armor (30 Days)	[결속] 브리간딘 아머 (30일)
[團結] 鎧甲短褲 (30天)	Brigandine Pants (30 Days)	[결속] 브리간딘 팬츠 (30일)
[團結] 貝爾尼烏波劍 (30天)	Belnium (30 Days)	[결속] 벨니웁 (30일)
[團結] 堤爾利雙手劍 (30天)	Tily Two-handed Sword (30 Days)	[결속] 틸리 투 핸드 소드 (30일)
[團結] 黛梅雷權杖 (30天)	Temere (30 Days)	[결속] 테메레 (30일)
[團結] 向日葵法杖 (30天)	Sunflower (30 Days)	[결속] 선플라워 (30일)
[團結] 狂野汎弓 (30天)	Wilding Bane (30 Days)	[결속] 와이들링 베인 (30일)
[團結] 賽伊摩斯十字弓 (30天)	Seimos Crossbow (30 Days)	[결속] 세이모스 크로스보우 (30일)
[團結] 賽伊摩斯鈍器 (30天)	Seimos Mace (30 Days)	[결속] 세이모스 메이스 (30일)
[團結] 賽伊摩斯矛槍 (30天)	Seimos Spear (30 Days)	[결속] 세이모스 스피어 (30일)
[團結] 賽伊摩斯長槍 (30天)	Seimos Pike (30 Days)	[결속] 세이모스 파이크 (30일)
[團結] 狩獵盔甲 (30天)	Hunting Armor (30 Days)	[결속] 헌팅 아머 (30일)
[團結] 狩獵短褲 (30天)	Hunting Pants (30 Days)	[결속] 헌팅 팬츠 (30일)
[團結] 烈焰 (30天)	Flame (30 Days)	[결속] 플레임 (30일)
[團結] 天堂地獄劍 (30天)	Hell and Heaven (30 Days)	[결속] 헬 엔드 헤븐 (30일)
[團結] 卡斯堤權杖 (30天)	Casti Rod (30 Days)	[결속] 카스티 로드 (30일)
[團結] 瑪雷杜姆法杖 (30天)	Maledoom (30 Days)	[결속] 말레둠 (30일)
[團結] 卡斯堤弓 (30天)	Casti Bow (30 Days)	[결속] 카스티 보우 (30일)
[團結] 卡拉恰十字弓 (30天)	Karacha Crossbow (30 Days)	[결속] 카라챠 크로스보우 (30일)
[團結] 德雷克尾翼棒 (30天)	Drake Tail (30 Days)	[결속] 드레이크 테일 (30일)
[團結] 卡斯堤矛槍 (30天)	Casti Spear (30 Days)	[결속] 카스티 스피어 (30일)
[團結] 瑪加斯長槍 (30天)	Magas Pike (30 Days)	[결속] 마가스 파이크 (30일)
[團結] 決鬥者 (30天)	Duelist (30 Days)	[결속] 듀얼리스트 (30일)
[團結] 老將上衣 (30天)	Veteran Tunic (30 Days)	[결속] 베테랑 튜닉 (30일)
[團結] 老將短褲 (30天)	Veteran Pants (30 Days)	[결속] 베테랑 팬츠 (30일)
[團結] 班夏拉劍 (30天)	Pensara Sword (30 Days)	[결속] 펜사라 소드 (30일)
[團結] 班夏拉雙手劍 (30天)	Pensara Two-handed Sword (30 Days)	[결속] 펜사라 투 핸드 소드 (30일)
[團結] 班夏拉權杖 (30天)	Pensara Rod (30 Days)	[결속] 펜사라 로드 (30일)
[團結] 力量法杖 (30天)	Power Staff (30 Days)	[결속] 파워 스태프 (30일)
[團結] 神射之弓 (30天)	Marksman (30 Days)	[결속] 마크맨 (30일)
[團結] 迪德爾格蘭德十字弓 (30天)	Didel Grand Cross (30 Days)	[결속] 디델 그랜드 크로스 (30일)
[團結] 班夏拉鈍器 (30天)	Pensara Mace (30 Days)	[결속] 펜사라 메이스 (30일)
[團結] 班夏拉矛槍 (30天)	Pensara Spear (30 Days)	[결속] 펜사라 스피어 (30일)
[團結] 班夏拉長槍 (30天)	Pensara Pike (30 Days)	[결속] 펜사라 파이크 (30일)
[團結] 斯帕達輕劍 (30天)	Spada (30 Days)	[결속] 스파다 (30일)
[團結] 終結者 (30天)	Finisher (30 Days)	[결속] 피니셔 (30일)
[團結] 強盜盔甲 (30天)	Bandit Armor (30 Days)	[결속] 밴딧 아머 (30일)
[團結] 強盜短褲 (30天)	Bandit Pants (30 Days)	[결속] 밴딧 팬츠 (30일)
[團結] 普利摩斯米坎堤之劍 (30天)	Primus Migantis Sword (30 Days)	[결속] 프리머스 미간티스 소드 (30일)
[團結] 普利摩斯米坎堤雙手劍 (30天)	Primus Migantis Two-handed Sword (30 Days)	[결속] 프리머스 미간티스 투 핸드 소드 (30일)
[團結] 普利摩斯米坎堤權杖 (30天)	Primus Migantis Rod (30 Days)	[결속] 프리머스 미간티스 로드 (30일)
[團結] 普利摩斯米坎堤弓 (30天)	Primus Migantis Bow (30 Days)	[결속] 프리머스 미간티스 보우 (30일)
[團結] 普利摩斯米坎堤十字弓 (30天)	Primus Migantis Crossbow (30 Days)	[결속] 프리머스 미간티스 크로스보우 (30일)
[團結] 普利摩斯米坎堤鈍器 (30天)	Primus Migantis Mace (30 Days)	[결속] 프리머스 미간티스 메이스 (30일)
[團結] 普利摩斯米坎堤雙手鈍器 (30天)	Primus Migantis Two-handed Mace (30 Days)	[결속] 프리머스 미간티스 투 핸드 메이스 (30일)
[團結] 普利摩斯米坎堤矛槍 (30天)	Primus Migantis Spear (30 Days)	[결속] 프리머스 미간티스 스피어 (30일)
[團結] 普利摩斯米坎堤長槍 (30天)	Primus Migantis Pike (30 Days)	[결속] 프리머스 미간티스 파이크 (30일)
[團結] 普利摩斯米坎堤法杖 (30天)	Primus Migantis Staff (30 Days)	[결속] 프리머스 미간티스 스태프 (30일)
[團結] 普利摩斯米坎堤手槍 (30天)	Primus Migantis Pistol (30 Days)	[결속] 프리머스 미간티스 피스톨 (30일)
[團結] 普利摩斯米坎堤細劍 (30天)	Primus Migantis Rapier (30 Days)	[결속] 프리머스 미간티스 레이피어 (30일)
[團結] 普利摩斯米坎堤重砲 (30天)	Primus Migantis Cannon (30 Days)	[결속] 프리머스 미간티스 캐논 (30일)
[團結] 普利摩斯米坎堤火槍 (30天)	Primus Migantis Musket (30 Days)	[결속] 프리머스 미간티스 머스킷 (30일)
[團結] 普利摩斯阿比努薩皮革盔甲 (30天)	Primus Albinosas Leather Armor (30 Days)	[결속] 프리머스 알비노사스 레더 아머 (30일)
[團結] 普利摩斯阿比努薩皮革短褲 (30天)	Primus Albinosas Leather Pants (30 Days)	[결속] 프리머스 알비노사스 레더 팬츠 (30일)
[團結] 普利摩斯芙迪邁絲之劍 (30天)	Primus Pevordimas Sword (30 Days)	[결속] 프리머스 페버디마스 소드 (30일)
[團結] 普利摩斯芙迪邁絲雙手劍 (30天)	Primus Pevordimas Two-handed Sword (30 Days)	[결속] 프리머스 페버디마스 투 핸드 소드 (30일)
[團結] 普利摩斯芙迪邁絲權杖 (30天)	Primus Pevordimas Rod (30 Days)	[결속] 프리머스 페버디마스 로드 (30일)
[團結] 普利摩斯芙迪邁絲弓 (30天)	Primus Pevordimas Bow (30 Days)	[결속] 프리머스 페버디마스 보우 (30일)
[團結] 普利摩斯芙迪邁絲十字弓 (30天)	Primus Pevordimas Crossbow (30 Days)	[결속] 프리머스 페버디마스 크로스보우 (30일)
[團結] 普利摩斯芙迪邁絲鈍器 (30天)	Primus Pevordimas Mace (30 Days)	[결속] 프리머스 페버디마스 메이스 (30일)
[團結] 普利摩斯芙迪邁絲雙手鈍器 (30天)	Primus Pevordimas Two-handed Mace (30 Days)	[결속] 프리머스 페버디마스 투 핸드 메이스 (30일)
[團結] 普利摩斯芙迪邁絲矛槍 (30天)	Primus Pevordimas Spear (30 Days)	[결속] 프리머스 페버디마스 스피어 (30일)
[團結] 普利摩斯芙迪邁絲長槍 (30天)	Primus Pevordimas Pike (30 Days)	[결속] 프리머스 페버디마스 파이크 (30일)
[團結] 普利摩斯芙迪邁絲法杖 (30天)	Primus Pevordimas Staff (30 Days)	[결속] 프리머스 페버디마스 스태프 (30일)
[團結] 普利摩斯芙迪邁絲手槍 (30天)	Primus Pevordimas Pistol (30 Days)	[결속] 프리머스 페버디마스 피스톨 (30일)
[團結] 普利摩斯芙迪邁絲細劍 (30天)	Primus Pevordimas Rapier (30 Days)	[결속] 프리머스 페버디마스 레이피어 (30일)
[團結] 普利摩斯芙迪邁絲重砲 (30天)	Primus Pevordimas Cannon (30 Days)	[결속] 프리머스 페버디마스 캐논 (30일)
[團結] 普利摩斯芙迪邁絲火槍 (30天)	Primus Pevordimas Musket (30 Days)	[결속] 프리머스 페버디마스 머스킷 (30일)
[團結] 普利摩斯喀爾烈皮革盔甲 (30天)	Primus Kaulas Leather Armor (30 Days)	[결속] 프리머스 카울라스 레더 아머 (30일)
[團結] 普利摩斯喀爾烈皮革短褲 (30天)	Primus Kaulas Leather Pants (30 Days)	[결속] 프리머스 카울라스 레더 팬츠 (30일)
[團結] 貝爾塔斯拉帕伊之劍	Berthas Raffye Sword 	[결속] 베르타스 라파이 소드
[團結] 貝爾塔斯拉帕伊雙手劍	Berthas Raffye Two-handed Sword	[결속] 베르타스 라파이 투 핸드 소드
[團結] 貝爾塔斯拉帕伊權杖	Berthas Raffye Rod	[결속] 베르타스 라파이 로드
[團結] 貝爾塔斯拉帕伊弓	Berthas Raffye Bow	[결속] 베르타스 라파이 보우
[團結] 貝爾塔斯拉帕伊十字弓	Berthas Raffye Crossbow	[결속] 베르타스 라파이 크로스보우
[團結] 貝爾塔斯拉帕伊鈍器	Berthas Raffye Mace	[결속] 베르타스 라파이 메이스
[團結] 貝爾塔斯拉帕伊雙手鈍器	Berthas Raffye Two-handed Mace	[결속] 베르타스 라파이 투 핸드 메이스
[團結] 貝爾塔斯拉帕伊之盾	Berthas Raffye Shield 	[결속] 베르타스 라파이 실드
[團結] 貝爾塔斯拉帕伊矛槍	Berthas Raffye Spear 	[결속] 베르타스 라파이 스피어
[團結] 貝爾塔斯拉帕伊長槍	Berthas Raffye Pike 	[결속] 베르타스 라파이 파이크
[團結] 貝爾塔斯拉帕伊匕首	Berthas Raffye Dagger	[결속] 베르타스 라파이 대거
[團結] 貝爾塔斯拉帕伊法杖	Berthas Raffye Staff	[결속] 베르타스 라파이 스태프
[團結] 貝爾塔斯拉帕伊手槍	Berthas Raffye Pistol	[결속] 베르타스 라파이 피스톨
[團結] 貝爾塔斯拉帕伊細劍	Berthas Raffye Rapier	[결속] 베르타스 라파이 레이피어
[團結] 貝爾塔斯拉帕伊重砲	Berthas Raffye Cannon	[결속] 베르타스 라파이 캐논
[團結] 貝爾塔斯拉帕伊火槍	Berthas Raffye Musket 	[결속] 베르타스 라파이 머스킷
金色妖精翅膀	Golden Fairy Wings	황금빛 페어리 날개
綠色妖精翅膀	Dawn Fairy Wings	새벽빛 페어리 날개
可可瑪妖精翅膀	Teeny Fairy Wings	꼬꼬마 페어리 날개
信標	Vertex Beacon	버텍스 비콘
[驅魔師特別套裝]	[Exorcist Special Costume]	[엑소시스트 스페셜 코스튬]
特勒普詩可拉的祝福	The Blessings of Terpsichora	테르프시코라의 축복
[吹笛手特別套裝]	[Pied Piper Special Costume]	[파이드 파이퍼 스페셜 코스튬]
半狼人	Half Lycanthropy	하프 라이칸스로피
半狼人 - 專用髮型	Half Lycanthropy - Exclusive Hair	하프 라이칸스로피 - 전용 헤어
半狼人(男)	Half Lycanthropy (M)	하프 라이칸스로피(남)
半狼人(女)	Half Lycanthropy (F)	하프 라이칸스로피(여)
次元香爐	Dimensional Incense Burner	차원의 향로
次元藥水	Dimensional Potion	차원의 포션
妖精婚紗轉蛋 x10+1	Fairy Wedding Cube x10 + 1	페어리 웨딩 큐브 x10+1
妖精婚紗轉蛋	Fairy Wedding Cube	페어리 웨딩 큐브
金色妖精婚紗套裝選擇箱	Golden Fairy Wedding Costume Selection Box	황금빛 페어리 웨딩 코스튬 선택 상자
白色妖精婚紗套裝選擇箱	Dawn Fairy Wedding Costume Selection Box	새벽빛 페어리 웨딩 코스튬 선택 상자
可可瑪妖精婚紗套裝選擇箱	Teeny Fairy Wedding Costume Selection Box	꼬꼬마 페어리 웨딩 코스튬 선택 상자
350貝爾塔斯防具選擇箱	Lv 350 Berthas Armor Selection Box	350제 베르타스 방어구 선택 상자
350普利摩斯防具選擇箱	Lv 350 Primus Armor Selection Box	350제 프리머스 방어구 선택 상자
350貝爾塔斯武器選擇箱	Lv 350 Berthas Weapon Selection Box	350제 베르타스 무기 선택 상자
350普利摩斯武器選擇箱	Lv 350 Primus Weapon Selection Box	350제 프리머스 무기 선택 상자
(舊)阿特托的材料箱	(Old) Attok Box of Materials	(구)아트톡의 자재상자
銀色血晶萃取工具	Silver Ichor Extraction Kit	은빛 아이커 추출 키트
錐箭矢	Bodkin Point Arrow	보드킨 포인트 애로우
6星寶石研磨劑	6-Star Gem Abrasive	6성 젬 연마제
拷問道具	Torture Tools	고문도구
陷阱工具	Trap Kit	트랩 키트
雕刻用木頭	Sculpting Wood	조각용 나무
覺醒粉末	Awakening Powder	각성 가루
特務零零八蛋	Goro Egg	고로 알
妖精紅雀蛋	Fairy Cardinal Egg	페어리 카디널 알
妖精婚禮立體書	Fairy Wedding Popup Book	페어리 웨딩 팝업북
金色妖精里拉琴	Golden Fairy Lira	황금빛 페어리 리라
綠色妖精里拉琴	Dawn Fairy Lira	새벽빛 페어리 리라
可可瑪妖精喇叭	Teeny Fairy Trumpet	꼬꼬마 페어리 나팔
一朵愛之花	Rose of Love	사랑의 꽃 한송이
[團結] 女神的雕像	Goddess Sculpture	[결속] 여신의 조각상
[團結] 5星寶石研磨劑	5-Star Gem Abrasive	[결속] 5성 젬 연마제
[團結] 地下城1次入場券	Instanced Dungeon One Entry Voucher	[결속] 인스턴스 던전 1회 입장권
[團結] 地下城進場次數重置券	Instanced Dungeon Reset Voucher	[결속] 인스턴스 던전 입장 횟수 초기화권
[團結] 衝等寶箱 (15級)	Level Up Chest (Lv 15)	[결속] 레벨업 상자 (15레벨)
[團結] 衝等寶箱 (40級)	Level Up Chest (Lv 40)	[결속] 레벨업 상자 (40레벨)
[團結] 衝等寶箱 (50級)	Level Up Chest (Lv 50)	[결속] 레벨업 상자 (50레벨)
[團結] 衝等寶箱 (75級)	Level Up Chest (Lv 75)	[결속] 레벨업 상자 (75레벨)
[團結] 衝等寶箱 (85級)	Level Up Chest (Lv 85)	[결속] 레벨업 상자 (85레벨)
[團結] 衝等寶箱 (100級)	Level Up Chest (Lv 100)	[결속] 레벨업 상자 (100레벨)
[團結] 衝等寶箱 (120級)	Level Up Chest (Lv 120)	[결속] 레벨업 상자 (120레벨)
[團結] 衝等寶箱 (140級)	Level Up Chest (Lv 140)	[결속] 레벨업 상자 (140레벨)
[團結] 衝等寶箱 (170級)	Level Up Chest (Lv 170)	[결속] 레벨업 상자 (170레벨)
[團結] 衝等寶箱 (180級)	Level Up Chest (Lv 180)	[결속] 레벨업 상자 (180레벨)
[團結] 衝等寶箱 (200級)	Level Up Chest (Lv 200)	[결속] 레벨업 상자 (200레벨)
[團結] 衝等寶箱 (220級)	Level Up Chest (Lv 220)	[결속] 레벨업 상자 (220레벨)
[團結] 衝等寶箱 (230級)	Level Up Chest (Lv 230)	[결속] 레벨업 상자 (230레벨)
[團結] 衝等寶箱 (270級)	Level Up Chest (Lv 270)	[결속] 레벨업 상자 (270레벨)
[團結] 衝等寶箱 (300級)	Level Up Chest (Lv 300)	[결속] 레벨업 상자 (300레벨)
[團結] 衝等寶箱 (330級)	Level Up Chest (Lv 330)	[결속] 레벨업 상자 (330레벨)
[團結] 發光的黃金鐵砧	Shining Golden Anvil	[결속] 빛나는 황금 모루
[團結] 充滿祝福的嫩芽	Miracle Seeds	[결속] 축복이 깃든 씨앗
[團結] 衝等寶箱 (350級)	Level Up Chest (Lv 350)	[결속] 레벨업 상자 (350레벨)
[團結] 跳躍禮包箱子	Jumping Package Box	[결속] 점핑 패키지 상자
[團結] 每日特性點數箱子	Daily Attribute Point Box	[결속] 날마다 특성 포인트 상자
[團結] 稱號-終極的救援者	Title - Ultimate Savior	[결속] 칭호 - 궁극의 구원자
[團結] 11強5超越交換劵	Weapon Exchange Voucher	[결속] 11강 5초월 무기 교환권
[團結] 稱號 - 啟示獲得者	Title - Receiver of the Revelations	[결속] 칭호 - 계시를 받은자
網鬥士魯迪阿里烏斯套裝箱	Retiarius Ruidarius Costume Box	레티아리이 루디아리우스 코스튬 상자
遺失的請帖碎片	Lost Invitation Fragment	잃어버린 청첩장 조각
美髮椅	Barbershop Chair	바버샵 의자
TOS之日爆竹	Firecrackers	트린이날 폭죽
吹笛手的貝勒凱普歐雷德套裝箱	Pied Piper Master's Bergefuehrender Costume Box	파이드 파이퍼의 베르게퓌어렌더 코스튬 상자
驅魔師的契約套裝箱	Exorcist Concordat Costume Box	엑소시스트의 콘코르다트 코스튬 상자
團結的信物	Symbol of Unity	결속의 증표
稱號 - 新朋友	Title - New Friend	칭호 - 새로운 친구
公會Lv4經驗值卡片	Guild Lv 4 EXP Card	길드 Lv4 경험치 카드
公會成員的信物	Symbol of Guild Membership	길드원의 증표
稱號 - 沒公會活不下去	Title - Love My Guild	칭호 - 길드 없인 못 살아
點球決勝負	Penalty Shoot-Out	승부차기
雷那的感謝魔方	Lena's Thank You Cube	레나의 감사 큐브
石板收藏家的稱號	Stone Plate Collector	석판을 모은 자의 칭호
妖精套裝箱	Fairy Costume Box	페어리 코스튬 상자
帽子戲法的線索	Hat Trick Clue	해트트릭의 실마리
稱號 - 足球大賽得分王	Title - Big Scorer	칭호 - 축구대회 득점왕
治療藥	Cure	치유약
聖經	Prayer Book	성경책
黃玉碎片	Topaz Fragment	토파즈 조각
受祝福的女神像	Blessed Goddess Statue	축복받은 여신상
聖火祭司大師資格證明書	Krivis Master's Certificate of Approval	크리비 마스터 자격 인증서
牧師大師資格證明書	Cleric Master's Certificate of Approval	클레릭 마스터 자격 인증서
審判者大師資格證明書	Inquisitor Master's Certificate of Approval	인퀴지터 마스터 자격 인증서
驅魔師大師的紙條	Exorcist Master's Note	엑소시스트 마스터의 메모장
祈禱書	Prayer Book	기도서
袋子堆	Sack	자루더미
公會任務道具	Guild Quest Item	길드 퀘스트 아이템
引導寶珠	Orb of Guidance	안내의 보주
紫蘇葉	Perilla	자소엽
精神疾病治療劑	Cure for Mental Illness	정신질환 치료제
空的玻璃瓶	Empty Glass Bottle	빈 유리병
裝了青砂的玻璃瓶	Full Glass Bottle	푸른 모래가 담긴 유리병
裝在特殊玻璃瓶的精神疾病治療劑	Mental Illness Cure	특수 유리병에 담긴 정신질환 치료제
受祝福的精神疾病治療劑	Blessed Cure for Mental Illness	축복받은 정신질환 치료제
舊笛子	Old Flute	낡은 피리
發光的銀色血晶萃取工具	Shining Silver Ichor Extraction Kit	빛나는 은빛 아이커 추출 키트
星之塔英雄臂環	Astral Tower Hero Armband	별의 탑 영웅 암밴드
茲帕伊德之劍	Zvaigzde Sword	즈바이더 소드
貝爾塔斯茲帕伊德之劍	Berthas Zvaigzde Sword	베르타스 즈바이더 소드
普利摩斯茲帕伊德之劍	Primus Zvaigzde Sword	프리머스 즈바이더 소드
茲帕伊德雙手劍	Zvaigzde Two-handed Sword	즈바이더 투 핸드 소드
貝爾塔斯茲帕伊德雙手劍	Berthas Zvaigzde Two-handed Sword	베르타스 즈바이더 투 핸드 소드
普利摩斯茲帕伊德雙手劍	Primus Zvaigzde Two-handed Sword	프리머스 즈바이더 투 핸드 소드
茲帕伊德權杖	Zvaigzde Rod	즈바이더 로드
貝爾塔斯茲帕伊德權杖	Berthas Zvaigzde Rod	베르타스 즈바이더 로드
普利摩斯茲帕伊德權杖	Primus Zvaigzde Rod	프리머스 즈바이더 로드
茲帕伊德之弓	Zvaigzde Bow	즈바이더 보우
貝爾塔斯茲帕伊德之弓	Berthas Zvaigzde Bow	베르타스 즈바이더 보우
普利摩斯茲帕伊德之弓	Primus Zvaigzde Bow	프리머스 즈바이더 보우
茲帕伊德十字弓	Zvaigzde Crossbow	즈바이더 크로스보우
貝爾塔斯茲帕伊德十字弓	Berthas Zvaigzde Crossbow	베르타스 즈바이더 크로스보우
普利摩斯茲帕伊德十字弓	Primus Zvaigzde Crossbow	프리머스 즈바이더 크로스보우
茲帕伊德鈍器	Zvaigzde Mace	즈바이더 메이스
貝爾塔斯茲帕伊德鈍器	Berthas Zvaigzde Mace	베르타스 즈바이더 메이스
普利摩斯茲帕伊德鈍器	Primus Zvaigzde Mace	프리머스 즈바이더 메이스
茲帕伊德雙手鈍器	Zvaigzde Two-handed Mace	즈바이더 투 핸드 메이스
貝爾塔斯茲帕伊德雙手鈍器	Berthas Zvaigzde Two-handed Mace	베르타스 즈바이더 투 핸드 메이스
普利摩斯茲帕伊德雙手鈍器	Primus Zvaigzde Two-handed Mace	프리머스 즈바이더 투 핸드 메이스
茲帕伊德之盾	Zvaigzde Shield	즈바이더 실드
貝爾塔斯茲帕伊德之盾	Berthas Zvaigzde Shield	베르타스 즈바이더 실드
普利摩斯茲帕伊德之盾	Primus Zvaigzde Shield	프리머스 즈바이더 실드
茲帕伊德矛槍	Zvaigzde Spear	즈바이더 스피어
貝爾塔斯茲帕伊德矛槍	Berthas Zvaigzde Spear	베르타스 즈바이더 스피어
普利摩斯茲帕伊德矛槍	Primus Zvaigzde Spear	프리머스 즈바이더 스피어
