皮爾力巴斯直屬隊員	Philipas' Soldier	필리파스 직속 부대원
消滅死靈查普利	Defeat Chapparition	채퍼리션 처치하기
餵朝聖者摻了藥的肉	Feed the pilgrim the meat with medicine in it	순례자에게 약이 든 고기 먹이기
與朝聖者歐比爾對話	Talk to Pilgrim Orville	순례자 오빌과 대화
除掉拉米比耶絕壁的怪物	Defeat the monsters at Taika Cliff	라미비에 절벽의 몬스터 처치
前往拉米比耶絕壁	Go to Taika Cliff	라미비에 절벽으로 가기
消滅突襲的怪物	Defeat the monster that suddenly rushed in	급습한 몬스터 처치
在大教堂至聖所尋找記載著變身成魔族的方法的文獻	Look for documents that describe ways to transform into a demon at the Sanctuary	대성당 지성소에서 마족으로 변신할 수 있는 방법이 적힌 문헌 찾기
在虔誠的祭壇裡完成魔族變身卷軸	Complete the Demon Transformation Scroll at the Altar of Intelligence	지성의 제단에서 마족 변신 스크롤 완성
獲得完成的魔族變身卷軸	Acquire the Demon Transformation Scroll	완성된 마족 변신 스크롤 획득
將魔族引誘至卡烏爾雷祭壇	Lure the demons to Apgaule Altar	마족을 가울레 제단으로 유인
獲得梅伊班的第四把鑰匙	Obtain Maven's Fourth Key	메이번의 네 번째 열쇠 획득
消滅魔族	Defeat the demons	마족 처치하기
解開小接見室的秘密，獲得梅伊班的第五把鑰匙	Obtain Maven's Fifth Key by solving for the secret in the Small Reception Room	소 접견실의 비밀을 풀어 메이번의 다섯 번째 열쇠 획득
進入帕薩拉祭壇	Enter into the Pasala Altar	파사라 제단으로 입장
使用鑰匙並找到隱藏的通道	Look for the hidden path using the keys	열쇠를 사용하여 숨겨진 통로 찾기
利用傳點，移動到隱藏的房間	Move to the hidden room using the portal	포탈을 타고 숨겨진 방으로 이동
消滅那柯堤斯	Defeat Naktis	나크티스 처치
與祭司普羅基特對話	Talk to Priest Prosit	사제 프로지트와 대화
請與祭司進行對話。	Talk to the priest	사제와 대화하세요
收集散播詛咒的寶珠	Collect the curse-spreading orbs	저주를 퍼뜨리고 있는 보주 수집
交給祭司普羅基特	Hand them over to Priest Prosit	사제 프로지트에게 전달
與祭司高達對話	Talk to Priest Goda	사제 고다와 대화
優智瑪拜堂講台的調查	Investigate the Platform of Maskuote Narthex	유지마 배랑의 단상 조사
除掉克羅洛鐘	Defeat Linkroller	링크롤러 처치
通過證明的試驗	Pass the Verification Test	증명의 시험 통과
收集魔族的衣角	Collect demons' garments	마족의 옷자락 수집
交給主教亞烏雷利屋斯	Hand them over to Bishop Aurelius	주교 아우렐리우스에게 전달
搜索朝聖者歐比爾的朋友	Search for Orville's friend	순례자 오빌의 친구 수색
收拾朝聖者歐比爾的好友屍體	Recover the body of Pilgrim Orville's friend	순례자 오빌의 친구 시신 수습
請除掉殺死歐比爾好友的喀拉庫曼 	Defeat the Glackuman who killed Orville's friend	오빌의 친구를 죽인 글락쿠만 처치하기
與弟子萊恩斯對話	Talk to Disciple Laius	제자 라이어스와 대화
搜索蘊含靈氣的寶珠	Search for the orb that can contain vigor	영기를 담는 보주 수색
交給弟子萊恩斯	Hand it over to Disciple Laius	제자 라이어스에게 전달
吸收怪物的靈氣	Absorb vigor from the monsters	몬스터에게 영기 흡수
將靈氣注入堅硬的靈體水晶	Inject the vigor into the crystal of the hardened astral body	굳은 영체의 수정에 영기 주입
與弟子侯內斯對話	Talk with Disciple Hones	제자 호네스와 대화
確認師父留下的紀錄	Examine the records which the master left	스승이 남긴 기록 확인
為危險的探勘做準備	Preparations for dangerous search	위험한 탐색 준비
收集真相之眼碎片	Collect the Eyes of Truth fragments	진실의 눈 파편 수집
交給弟子侯內斯	Hand them over to Disciple Hones	제자 호네스에게 전달
消滅鬼影凱伊洛後，獲得了靈魂的結晶	Obtain the Soul Crystal by defeating Shadowgaler	섀도게일러를 처치해서 영혼의 결정 획득
契約的空間魔石	Spatial Magic Gem of Contract	계약의 공간마석
確認魔石融合劑	Examine the Magic Gem Fusion Device	마석 융합기를 확인
回收契約的空間魔石碎片	Retrieve the fragments of The Spatial Magic Gem of Contract	계약의 공간마석 파편 회수
啟動在記憶神堂的保存魔法陣	Activate the Magic Field of Preservation at the Shrine of Remembrance	기억의 신당에 있는 보존 마법진 가동
保護保存魔法陣	Protect the Magic Field of Preservation	보존 마법진 보호
將空間魔石投入魔石融合劑裡	Insert the Spatial Magic Gem into the Magic Gem Fusion Device	마석 융합기에 공간마석 투입
約定的空間魔石	Spatial Magic Gem of Promise	약속의 공간마석
收集濃縮的怨念 	Collect the Condensed Spite	응축된 원한 수집
破壞西亞烏拉坑道的結界石	Destroy the Barrier Stone at Siaura Mine	시아우라 갱도의 결계석 파괴
破壞結界石	Destroy the Barrier Stone	결계석 파괴
避開黑影追蹤者，回收被封印的空間魔石	Retrieve the Sealed Spatial Magic Gem by avoiding the Black Chaser	검은 추적자를 피해 봉인된 공간마석 회수
祭物的空間魔石	Spatial Magic Gem of Offer	제물의 공간마석
在記憶的神堂裡搜索神殿射手	Find Templeshooter at the Shrine of Remembrance	기억의 신당에서 템플슈터 수색
請使用智慧的引導石搜索神殿射手	Find Templeshooter using the Wisdom Guiding Stone	지혜의 인도석을 이용해서 템플슈터 수색
確認黑影	Check the Black Shadow	검은 그림자 확인
啟動魔石融合劑	Activate the Magic Gem Fusion Device	마석 융합기 가동
在勞迪樓閣裡啟動空間移動裝置	Activate the teleportation device to Laudi Tower	라우디 누각에서 공간 이동 장치 가동
在空間移動裝置上使用完成的空間魔石	Use the completed Spatial Magic Gems at the teleportation device	공간 이동 장치에 완성된 공간마석 사용
確認師父的遺產 	Examine the Master's Legacy	스승의 유산 확인
想傳達的話	Longing to Speak	전하고 싶은 말
與徘徊的靈魂對話	Talk to the wandering spirit	헤메는 영혼과 대화
在周圍尋找線索	Look for clues nearby	주변에서 단서 찾기
與奎波爾碧塔對話	Talk with Kupole Vita	큐폴 비타와 대화
找到其他靈魂並與其對話	Look for the remaining spirits and talk to them	다른 영혼들을 찾아서 대화
尋找靈魂們所說的物品	Look for an object that the spirits were describing	영혼들이 말하는 물건 찾기
請除去沉默之甕周圍凝聚的邪惡氣息	Eliminate the ominous energy that is condensing around the Pot of Silence	침묵의 항아리 주변에서 응집된 사악한 기운 제거
破壞沉默之甕	Destroy the Pot of Silence	침묵의 항아리 파괴
消滅展開突襲的魔族	Defeat the monsters that rushed in	습격해 온 마족 처치
並非自由之身	Unfree Beings	자유의 몸이 아냐
搜索能讓人聽到話的靈魂	Look for spirits wishing to speak to you	이야기를 들려줄 영혼 수색
交給里莫斯的靈魂	Hand them over to the Rimos' Spirit	리모스의 영혼에게 전달
與里莫斯的靈魂對話	Talk with the Rimos' Spirit	리모스의 영혼과 대화
燒毀肉體的契約陣	Burn the Contract of Flesh	육신의 계약진 태우기
向里莫斯的靈魂報告	Report to the Rimos' Spirit	리모스의 영혼에게 보고
消滅卡勒賓凱墓室的怪物吉尼	Defeat Master Genie at Garbingal Burial Chamber	가르빙갈 묘실의 마스터 지니 처치
和擊劍手大師對話	Talk with the Fencer Master	펜서 마스터와 대화
向擊劍手大師報告	Report to the Fencer Master	펜서 마스터에게 보고
閱讀念力法師魔法書前卷	Read all magic books of Psychokino	사이코키노 마법서 전권 읽기
在魔法師之塔1層消滅火焰蜥蜴王	Defeat Salamander at Mage Tower 1F	마법사의 탑 1층에서 샐러맨더 처치
消滅各地區的多樣怪物	Defeat a variety of monsters in different areas	여러 지역의 다양한 몬스터 처치
魔法師之塔偵查	Reconnoiter Mage Tower	마법사의 탑 정찰
奇術師的測試修行	Do the test of Thaumaturge	쏘마터지의 시험 수행
和隨軍牧師大師對話	Talk to the Chaplain Master	채플린 마스터와 대화
消滅德巴西安嶺的怪物回收遺失的材料	Retrieve stolen material by dealing with the monsters at Dvasia Peak	드바시아 고개의 몬스터를 처치하여 유실된 자재 회수
跟隨軍牧師大師報告	Report to the Chaplain Master	채플린 마스터에게 보고
和符文師大師對話	Talk with the Rune Caster Master	룬캐스터 마스터와 대화
到堤拉修道院收集符文石材料	Collect Rune Stone materials from Tyla Monastery	틸라 수도원에서 룬 스톤 재료 수집
跟符文師大師報告	Report to the Rune Caster Master	룬캐스터 마스터에게 보고
危急的賓申塔斯部隊	Vincetas' Squad In Peril	위기의 빈센타스 부대
與賓申塔斯對話	Talk to Vincentas	빈센타스와 대화
回收賓申塔斯部隊的物品	Retrieve Vincetas' Squad Keepsakes	빈센타스 부대의 물품 회수
在兵器庫搜索艾保尼風	Search for Ebonypawn in the Armory	병기고에서 에보니폰 수색
破壞艾保尼風的陷阱	Destroy Ebonypawn's Traps	에보니폰의 함정 파괴
破壞艾保尼風設置的陷阱	Destroy Ebonypawn's Traps	에보니폰이 설치한 함정 파괴
在補給地搜索艾保尼風	Search the Supplies Camp for Ebonypawn	보급지에서 에보니폰 수색
請前往補給地搜索艾保尼風。	Search Ebonypawn in the Supplies Camp 	보급지에서 에보니폰을 수색하세요.
障礙物清除	Remove Obstacle	장애물 제거
在糧倉搜索艾保尼風	Search for Ebonypawn in the Food Storage	식량창고에서 에보니폰 수색
回收賓申塔斯部隊的遺物	Retrieve the keepsakes of Vincentas' Squad	빈센타스 부대의 유품 회수
看到廢都連接路上有受到艾保尼風攻擊的賓森塔斯部隊隊員遺物。請將遺物收集完後交給賓森塔斯。	The keepsakes of Vincentas' Squad soldiers who have fallen at the hands of Ebonypawn	폐도 연결로에 에보니폰에게 당한 빈센타스 부대원들의 유품이 보입니다. 유품을 모아 빈센타스에게 전해주세요.
在兵營搜索艾保尼風	Find Ebonypawn in the Barrack	병영에서 에보니폰 수색
在整頓區域搜索艾保尼風的痕跡	Find the traces of Ebonypawn in the repair shop	정비구역에서 에보니폰의 흔적 수색
消滅暗殺者艾保尼風	Defeat Assassin Ebonypawn	암살자 에보니폰 처치
向賓申塔斯報告	Report to Vincentas	빈센타스에게 보고
與巫女大師對話	Talk to Miko Master	무녀 마스터와 대화
請與隱居者的通道的巫女大師對話。	Talkt to Miko Master at Passage of the Recluse	은둔자의 통로에 있는 무녀 마스터와 대화하세요.
確認巫女大師設下的結界	Check the Barrier Set By Miko Master	무녀 마스터가 펼쳐둔 결계 확인
命運的線頭，以及徬徨	Fluttering Threads of Destiny	운명의 실타래, 그리고 방황
發現碑石	Discover the tablet	비석 발견하기
請到努歐洛汀瀑布的小道岔路附近尋找碑石。	Look for the tablet near Sodo Fork of Nuoridin Falls	누오로딘 폭포의 소도 갈림길 근처의 비석을 찾아 보세요.
收集拓本材料	Collect materials to rubbings with	탁본 재료 수집
拓印拓本	Make rubbings	탁본 뜨기
尋找想要拓本的人	Look for someone who wants rubbings	탁본을 원할 만한 사람 찾기
比王國歷史更悠久的城牆	The Walls Outlasting the Kingdom	왕도보다 오래 가는 성벽
察看碑石	Examining the tablet	비석 살펴 보기
請察看斯克拉達後院的碑石。	Look at the tablet of Sklada Court	스클라다 안뜰의 비석을 살펴 보세요.
消滅展開突擊的怪物	Defeat the monsters that rushed in	습격해 오는 몬스터 처치
與亞特利尤斯對話	Talk to Adrijus	아드리유스와 대화
吃凱帕的方法	How to Eat a Kepa	케파를 먹는 법
請與中央聖所的亞特利尤斯對話。	Talk to Adrijus at The Central Sanctum	중앙 성소의 아드리유스와 대화 해 보세요.
收集亞特利尤斯請求的材料	Collect the materials Adrijus requested of you	아드리유스가 부탁한 재료 수집
交給亞特利尤斯	Hand them over to Adrijus	아드리유스에게 전달
請將好不容易取得的酸性體液與稀釋液拿給亞特利尤斯。	Hand over the acidic body fluid and the diluting solution to Adrijus	어렵사리 구한 진득한 산성 체액과 희석액을 아드리유스에게 건네 주세요.
向亞特利尤斯詢問碑石的內容	Ask Adrijus what's written on the tablet	아드리유스에게 비석의 내용 묻기
第一個碑文	The First Epitaph	첫 번째 비문
察看土堆	Inspect the lump of soil	흙더미 살펴 보기
製作石鍬	Craft a stone shovel	돌삽 만들기
用石鍬挖開堅硬的土堆	Shovel the soil away	삽으로 단단하게 굳은 흙더미 파기
為了讀碑石上頭的訊息，將碑石倒過來看	Turn the tombstone around to read the epitaph	비문을 읽을 수 있도록 비석 뒤집기
閱讀倒過來的碑石上的祕文	Read the epitaph of the flipped tombstone	뒤집힌 비석의 비문 읽기
第二個碑文	The Second Epitaph	두 번째 비문
察看過去殿堂的碑石	Look at the tombstone at the Hall of the Past	과거의 전당의 비석 살피기
從米諾斯手中收集碑石碎片	Collect the fragments of the tombstone from Minos	미노스에게서 비석 조각 수집
回到碑石那邊並嘗試復原碑石	Return to the tombstone and try to restore it	비석으로 돌아가 복원 시도
向柯拉佩達的鐵匠詢問有關黏著劑的事情	Ask the blacksmith in Klaipeda about adhesives	클라페다의 대장장에게 접착제에 대해 묻기
向柯拉佩達鐵匠詢問有關黏合劑	Ask the Blacksmith in Klaipeda About Adhesives	클라페다 대장장에게 접착제에 대해 묻기
向柯拉佩達的鐵匠詢問有關黏著劑的事情	Ask the blacksmith in Klaipeda about adhesives	클라페다의 대장장이에게 접착제에 대해 물어 보기
請回到那穆寺院的碑石	Return to the tombstone in the Namu Temple Ruins	나뮤 사원터의 비석으로 돌아가기
察看碑石	Inspect the tombstone	비석 살피기
收集黏稠樹脂	Collect Sticky Resin	끈적이는 수지 수집
黏貼碑石碎片	Restore the tombstone	비석 조각 붙이기
第三個碑文	The Third Epitaph	세 번째 비문
察看內畢耶達祭壇的碑石	Look at the tombstone in the Nevieda Altar Area	네비에다 제단 터의 비석 살펴 보기
請察看內畢耶達祭壇的碑石。	Look at the tombstone near the Nevieda Altar Area	네비에다 제단 터의 비석을 살펴 보세요.
收集乾草與油	Collect dry bushes and oil	잘 마른 덤불과 기름 수집
回到內畢耶達祭壇的碑石那	Return to the tombstone near Nevieda Altar Area	네비에다 제단 터의 비석으로 돌아가기
點燃包圍碑石的藤蔓 	Burn down the vines that are binding the tombstone	비석을 휘감고 있는 덩굴 태우기
在藤蔓燃燒的同時消滅怪物	Defeat the monsters while burning down the vines	덩굴 태우는 동안 몬스터 처치
尋找柯拉佩達的巴伊寶拉之翼	Meet the Wings of Vaivora in Klaipeda	클라페다의 바이보라의 날개를 찾아 가기
遇見尤斯達斯	Meet Justas	유스타스 만나기
請到研究營地與尤斯達斯見面。	Meet Justas at the Research Camp	연구 캠프에 있는 유스타스를 만나보세요.
與尤斯達斯對話	Talk to Justas	유스타스와 대화
收集骨頭碎片	Collect Bone Fragments 	뼛조각 수집
交給尤斯達斯	Give it to Justas	유스타스에게 전달
與祭司貝內地特對話	Talk to Priest Benedict	사제 베네딕트와 대화
收集研究所需的魔族標本	Collect demon samples that are needed for the research	연구에 필요한 마족의 표본 수집
交給祭司貝內地特	Deliver them to Priest Benedict	사제 베네딕트에게 전달
收集魔族的標本	Collect demon samples	마족의 표본 수집
消滅弄髒大教堂的魔族	Defeat the demons that are ruining the Great Cathedral	대성당을 더럽히는 마족 처치
大教堂至聖所全區域	All Areas of the Sanctuary	대성당 지성소 전 지역
吸引視線	Drawing Attention	시선 끌기
收集雷鳴草	Collect the herbs	우레초 수집
帶給在上層通道的下方的盜墓者阿曼達	Hand them over to the Grave Robber Amanda who is at the lower side of Upper Story Hallway	상층 통로 아랫쪽에 있는 도굴꾼 아만다에게 전달
偷走王軍警備兵擁有的炸彈	Steal the bombs from the guards	왕국군 경비병이 가지고 있는 폭탄 훔치기
帶給盜墓者阿曼達	Hand them over to the Grave Robber Amanda	도굴꾼 아만다에게 전달
和盜墓者阿曼達一起前往對立的訓練場	Move to Drill Ground of Confliction with Amanda	도굴꾼 아만다와 함께 대지의 요새 대립의 훈련장으로 이동
解除時代久遠的陷阱	Neutralize the old trap	오래된 트랩 해제하기
安全帶著回收的未爆彈給工兵大師。	Hand over the unexploded bombs to Sapper Master	안전하게 회수한 불발탄을 새퍼 마스터에게 전달하세요.
前往大地要塞 對立的訓練場	Move to Drill Ground of Confliction	대지의 요새 대립의 훈련장으로 이동
消滅攻擊王軍的怪物	Defeat the monsters that are attacking the soldiers	왕국군을 공격하는 몬스터 처치
與王國軍警備兵戴爾魯斯對話	Talk to Royal Army Guard Delus	왕국군 경비병 델루스와 대화
奪回屯駐地	Reclaim the Camp	주둔지 탈환
帶回脫隊的王國軍警備兵	Bring the Royal Army Guards who fell behind	낙오된 왕국군 경비병 데려오기
收集可以使用的裝備	Collect the equipment that can be used	사용 가능한 장비 모으기
跟著王軍警備兵往營地	Move to the base camp by following the guards	왕국군 경비병들을 따라 주둔지로 이동
消滅佔領營地的怪物	Defeat the monsters that are occupying the base camp	주둔지를 점령하고 있는 몬스터 처치
設置柵欄	Set the barricade	방책 설치
和露克立斯部隊將校的靈魂對話	Talk to the Ruklys Army Officer's Spirit	루클리스 부대 장교 영혼과 대화
消滅惡靈君主	Defeat Specter Monarch	스펙터 군주 처치하기
探索隱藏場所	Search for the hidden place	숨겨진 장소 탐색
大地要塞居住區域的盜墓者阿曼達對話	Speak with Grave Robber Amanda in the Residents' Area of the Fortress of the Land	대지의 요새 거주구역의 도굴꾼 아만다와 대화
消滅魔族	Defeat the demons	마족 처치
與大地要塞 貯藏區域年邁的管理者對話	Speak with the Old Manager in the Storage Quarter	대지의 요새 저장구역에서 늙은 관리인과 대화
與雕刻師大師對話	Talk to Dievdirbys Master	딥디르비 마스터와 대화
與阿斯塔對話	Talk to Hasta	아스타와 대화
與魔君主哈勃克對話	Talk to Demon Lord Hauberk	마군주 하우벅과 대화
請聽魔君主哈勃克的計畫。	Listen to Hauberk's plan	마군주 하우벅의 계획을 들으세요.
進入魔族收監所第1區	Enter the 1st District of the Demon's Prison	마족수감소 1구역 진입
與哈勃克的幻影對話	Talk to Hauberk's Spirit	하우벅의 환영과 대화
請與哈勃克的幻影對話	Talk to Hauberk's Spirit	하우벅의 환영과 대화하세요
與奎波爾奧德拉對話	Talk to Kupole Audra	큐폴 아우드라와 대화
請與魔族收監所受刑區的奎波爾奧德拉對話	Talk to Kupole Audra at the Demon's Prison	마족수감소 수형 구역의 큐폴 아우드라와 대화하세요
消滅正在進行儀式的魔族	Defeat the demons performing the ritual	의식을 진행중인 마족 처치
獲得布爾魯的信物	Obtain Blut's Marks	블룻의 증표 획득
交給奎波爾奧德拉	Give them to Kupole Audra	큐폴 아우드라에게 전달
幫助哈勃克吸收布魯爾的力量	Help Hauberk absorb Blut's powers	하우벅이 블룻의 힘을 흡수하도록 돕기
與奎波爾吉德羅勒對話	Talk to Kupole Zydrone	큐폴 지드로네와 대화
請與奎波爾吉德羅勒對話	Talk to Kupole Zydrone	큐폴 지드로네와 대화하세요
處治魔君主布魯爾	Punishment of the Demon Lord Blut	마군주 블룻의 처단
消滅布爾魯	Defeat Blut	블룻처치
與奎波爾阿露納對話	Talk to Kupole Arune	큐폴 아루네와 대화
已利用轉移縫隙除掉越界的魔族	Defeat the demons that arrived from the dimensional crack	전이 틈새로 넘어온 마족 처치
消滅第1隔離區的魔族 	Defeat the demons of the 1st Isolation Area	제1 격리구의 마족 처치
獲得哈勃克的信物	Obtain Hauberk's Marks	하우벅의 증표 획득
審問關於努亞耶雷的計畫	Interrogation of Nuaele's plan	누아엘레의 계획 심문
消滅哈路卡爾	Defeat the Harugals	하루갈 처치
消滅第4隔離區的哈路卡爾	Defeat Harugals in the 4th Isolation Area	제4 격리구의 하루갈 처치
消滅魔君主努亞耶雷	Defeat Demon Lord Nuaele	마군주 누아엘레 처치
尋找女神瓦卡麗涅	Meet Goddess Vakarine	여신 바카리네 찾아가기
與女神瓦卡麗涅對話	Talk to Goddess Vakarine	여신 바카리네와 대화
請與女神瓦卡麗涅對話	Talk to Goddess Vakarine	여신 바카리네와 대화하세요
除去小的轉移縫隙	Remove Small Dimensional Crack	작은 전이 틈새 제거
保護奎波爾吉德羅勒	Protect Kupole Zydrone	큐폴 지드로네 보호
與奎波爾阿爾多納對話	Talk to Kupole Aldona	큐폴 알도나와 대화
封印解除	Release the Seals	봉인 해제
打倒迪歐尼斯	Defeat Dionys	디오니스 제압
與奎波爾達伊巴對話	Talk to Kupole Daiva	큐폴 다이바와 대화
追擊魔君主哈勃克	Pursue Demon Lord Hauberk	마군주 하우벅 추적
消滅哈勃克的走卒	Defeat the servants of Hauberk	하우벅의 졸개 처치
收集哈勃克的靈魂碎片	Collect Hauberk's Soul Fragments	하우벅의 영혼조각 수집
交給奎波爾達伊巴	Give them to Kupole Daiva	큐폴 다이바에게 전달
回收哈勃克的靈魂碎片	Retrieve the pieces of the spirit of Hauberk	하우벅의 영혼조각 회수
逼迫哈勃克	Pursue Hauberk	하우벅 몰아넣기
追擊哈勃克	Chase after Hauberk	하우벅 추적
與奎波爾希奇答對話	Talk to Kupole Sigita	큐폴 시기타와 대화
制壓魔君主哈勃克	Suppress Demon Lord Hauberk	마군주 하우벅 제압
進行關閉轉移縫隙的儀式	Perform ritual to close the dimensional crack	전이 틈새를 닫는 의식 진행
請幫助女神瓦卡麗涅進行關閉轉移縫隙的儀式。	Help Goddess Vakarine in her ritual to close the dimensional crack	여신 바카리네의 전이 틈새를 닫는 의식을 도와 주세요.
收集轉移傷痕	Collect the traces of the metastasis	전이의 흔적 수집
以暮星符文制壓魔族	Suppress demons using the Evening Star Rune	저녁별 룬으로 마족 제압
獲得封印信物	Obtain Sealing Tokens	봉인의 증표 획득
交給女神瓦卡麗涅	Give it to Goddess Vakarine	여신 바카리네에게 전달
收集死囚標誌	Collect the symbols of the condemend criminal	사형수의 징표 수집
保護女神瓦卡麗涅	Protect Goddess Vakarine	여신 바카리네 보호
消滅想逃跑的怪物	Defeat the monsters that are trying to escape	탈출하려는 몬스터 처치
收集探查隊的遺物	Collect the keepsakes of the investigation team	탐사대의의 유품 수집
獲得探查隊的遺物	Obtain the belongings of the investigation team	탐사대의 유품 획득
消滅努亞耶雷的餘黨	Defeat the remnants of Nuaele	누아엘레의 잔당 처치
收集努亞耶雷的碎片	Collect the fragments of Nuaele	누아엘레의 파편 수집
交給奎波爾阿露納	Take it to Kupole Arune	큐폴 아루네에게 전달
回收努亞耶雷的碎片	Retrieve the fragments of Nuaele	누아엘레의 파편 회수
除掉巴特羅斯的殘黨	Defeat the remnants of Valtross	발트러스의 잔당들 처치
收集迪歐尼斯的腳趾甲	Collect Dionys' Claws	디오니스의 발톱 수집
交給奎波爾艾爾杜納	Give it to Kupole Aldona	큐폴 알도나에게 전달
收集被破壞的星之標誌	Collect the destroyed Mark of Stars	파괴된 별의 징표 수집
消滅哈勃克的殘黨	Defeat Hauberk's remnant forces	하우벅의 잔당 처치
收集魔族的牙齒	Collect Demon's Teeth	마족의 이빨 수집
取得魔族的牙齒	Obtain the teeth of the demons	마족의 이빨 획득
除掉巴那卡監視區的魔族	Defeat the demons of Vanaga Monitor District	바나가 감시구의 마족 처치
收集空洞的靈魂	Collect the empty spirits	텅빈 영혼 수집
交給奎波爾希奇答	Deliver to Kupole Sigita	큐폴 시기타에게 전달
獲得空洞的靈魂	Obtain the empty spirit	텅 빈 영혼 획득
除去小型轉移縫隙	Remove the Small Dimensional Crack	소형 전이 틈새 제거
關閉轉移縫隙	Seal the dimensional crack	전이틈새 닫기
和托馬洛弗對話	Talk to Tomalov	토말로프와 대화
收集堅韌的翅膀	Collecting Sticky Wings	끈적한 날개 수집
向托馬洛弗報告	Report to Tomalov	토말로프에게 보고
和德魯伊艾爾利對話	Talk to Druid Ellie	드루이드 엘리와 대화
收集橘色蜥蜴人的皮革	Collect Orange Lizardman Leather	주황 리자드맨의 가죽 수집
帶給德魯伊艾利皮革	Hand it over to Druid Ellie	드루이드 엘리에게 가죽 전달
收集受污染的土壤樣本	Collect the samples of corrupted soil	오염된 토양의 표본 수집
將受污染的土壤樣本交給艾爾利	Hand over the samples of corrupted soil that you obtained for Druid Ellie	엘리에게 오염된 토양의 표본 전달
與德魯伊艾爾利一起確認實驗結果	Check the experiment's result with Druid Ellie	드루이드 엘리와 함께 실험 결과 확인
收集橘色泰瑪的體液	Collect the body fluid of Orange Tamas	주황 타마의 체액 수집
交給德魯伊艾爾利	Hand it over to Druid Ellie	드루이드 엘리에게 전달
在夏頓農場尋找知道馬勒提內下落的人	Look for a person who is likely to know the whereabouts of Martinek at Shaton Farm	샤튼 농장에서 마르티넥의 행방을 알 만한 사람 찾기
與農夫達阿西對話	Talk to Farmer Darcy	농부 다아시와 대화
除掉橘色蜥蜴人 	Defeat Orange Lizardmen	주황 리자드맨 처치
除掉荒廢的葡萄園附近的橘色蜥蜴人	Defeat Orange Lizardmen at Abandoned Grape Farm	방치된 포도밭 근처에서 주황 리자드맨 처치
除去生長不良的蒲公英	Get rid of the young dandelions	덜 자란 민들레 제거
與農夫米雷對話	Talk to Farmer Miren	농부 미렌과 대화
除掉奇烏拉三岔路口附近的橘色蜥蜴人	Defeat Orange Lizardmen at Ziura Crossroads	지우라 삼거리 주변의 주황 리자드맨 처치
尋找老舊包袱	Find Miren's Old Bag	낡은 봇짐 찾기
交給農夫米雷	Hand it over to Miren	농부 미렌에게 전달
與調查官莫納漢對話	Talk with Investigator Monahan	조사관 모나한과 대화
收集蘭姆貝兒的毛球	Collect Rambear Fur	램베어의 털뭉치 수집
交給調查官莫納漢	Hand it over to Investigator Monahan	조사관 모나한에게 전달
請收集阿巴魯茲葡萄田的葡萄根	Collect the grapevine roots from Avarza Grape Farm	아바르자 포도밭에서 포도 뿌리 수집
與農場監督官多稜對話	Talk to Farm Supervisor Dorn	농장 감독관 도른과 대화
交給農場監督官多稜	Hand them over to Farm Supervisor Dorn	농장 감독관 도른에게 전달
搜索農場各處隱藏的糧食袋 	Search through the sacks of grain that are scattered across the farm	농장의 곳곳에 숨겨진 빼돌린 곡식 주머니 수색
與德魯伊馬勒提內對話	Talk to Druid Martinek	드루이드 마르티넥과 대화
治療中毒的農民	Cure the poisoned farmers	중독된 농민 치료
利用調教木棍，把飛天青蛙帶來	Bring winged frogs with the help of the obedience stick	조련 막대로 날개 개구리 데려오기
使卡伍沙作業場的井水湧出	Get some water from the well at Gausa Workplace	가우사 작업장의 우물물 떠오기
交給德魯伊馬勒提內	Hand it over to Druid Martinek	드루이드 마르티넥에게 전달
往夏頓蓄水區移動	Go to the reservoir district of Shaton	샤튼 저수구역으로 이동
與農場士兵蓋德森對話	Talk with Farm Soldier Gedson	농장 사병 게드슨과 대화
消滅西斯特	Defeat Cysts	시스트 처치
除掉橘色樹妖	Eliminate the Orange Stumpy Trees	주황 몽당나무 처치
與佃戶夏爾洛對話	Talk to Tenant Farmer Charlotte	소작인 샬롯과 대화
把夏爾洛的特製藥水噴灑在葡萄藤蔓上	Spray Charlotte's special potion on the spoiled grape vines	포도 넝쿨에 샬롯의 특제 물약 뿌리기
調查樹叢，消滅橘色泰瑪	Investigate the bushes and defeat Orange Tamas	덤불을 조사해 주황 타마 처치
請回去找佃戶拜斯。	Talk to Tenant Weiss	소작인 바이스와 대화
除掉吉魯拓釀造場附近的西斯特 	Defeat the Cysts near the brewery	지르타 양조장 근처의 시스트 처치
從老舊包袱中獲得種子袋 	Obtain the seed pouch from the old bag	낡은 봇짐에서 씨앗 주머니 획득
交給佃戶拜斯	Take it to Tenant Farmer Weiss	소작인 바이스에게 전달
與庫魯德夏頓對話	Talk to Gord Shaton	고르드 샤튼과 대화
與芭內莎對話	Talk to Vanessa Shaton	바네사 샤튼과 대화
在地道裡搜索夏頓兒子的痕跡 	Look for the traces of Shaton's son at the underground tunnel	땅굴에서 샤튼의 아들의 흔적을 수색
交給芭內莎夏頓	Hand it over to Vanessa Shaton	바네사 샤튼에게 전달
除掉粉紅樹根地鼠	Defeat Pink Tree Root Moles	분홍 나무뿌리 두더지 처치
消滅被召喚的怪物	Defeat the summoned monsters	소환된 몬스터 처치
與管家巴雷對話	Talk to Steward Valen	집사 바렌과 대화
消滅草綠卡樂卡修	Defeat Green Carcashu	초록 카르카슈 처치
