尤克利那斯 	Jugrinas	유그리나스
引誘敵人的指揮官到寶珠埋藏的區域	Lure the Enemy Commander to Where the Orbs are Buried	적의 지휘관을 보주가 매설된 지역으로 유인
收集蘊含湖水氣息之石	Collect the Stones with Lake Energy	호수의 기운이 깃든 돌 수집
確認水盤	Check the Water Point	수반 확인
攏絡動搖的夏班史達團員	Convince the Agitated Schaffenstar Members	동요하는 샤펜스타 단원 회유
打倒周遭的魔族與怪物	Defeat the Demons and Monsters in the Area	주변에 있는 마족과 몬스터 처치
往巴林威爾87水域移動	Go to Barynwell 87 Waters	바린웰 87수역으로 이동
和遊俠莫爾比歐對話	Talk to Ranger Morvio	레인저 모르비오와 대화
吸收及破壞控制魔法石的邪惡氣息	Absorb the Evil Energy of the Stones of Constraint	제어 마법석의 사악한 기운 흡수 및 파괴
和造箭者大師對話	Talk to the Fletcher Master	플레처 마스터와 대화
和造箭者弗雷塔對話	Talk to Fletcher Voleta	플레처 볼레타와 대화
收集天然的黑曜石	Collect Natural Obsidian	천연 흑요석 수집
收集賀敏公爵的羽毛	Collect Humming Duke Feathers	허밍 듀크의 깃털 수집
和獵人奧爾特對話	Talk to Hunter Oort	헌터 오르트와 대화
收集吉普利特草	Collect Ziburyte Weeds	지부리트 풀 수집
設置陷阱	Set the Traps	함정 설치
往弗貝塔所在的區域移動	Go to Where Pbeta Is	프베타가 있는 지역으로 이동
打倒弗貝塔	Defeat Pbeta	프베타 처치
打倒魔族弗貝塔	Defeat the Demon Pbeta	마족 프베타 처치
等待遊俠莫爾比歐	Wait for Ranger Morvio	레인저 모르비오 기다리기
收集肉片	Collect Meat	고기 수집
收集帕斯圖水草	Collect the Pasto Water Plants	파스토 수초 수집
長遠的夢從那魯巴斯寺院開始	A Dream of Narvas Temple	긴 꿈은 나르바스 사원에서 지고
奇怪的雕塑	Strange Sculpture	이상한 조형물
和奧維尼亞狄爾班對話	Talk to Owynia Dilben	오위니아 딜벤과 대화
對史達里小鎮的雕塑使用魔力控制卷軸	Use the Magic Block on the Sculptures in Starry Town	스타리 타운의 조형물에 마력 제어 주문서 사용하기
對雕塑使用魔力控制卷軸	Use the Magic Block on the Sculptures	조형물에 마력 제어 주문서 사용하기
對魔法商店街的雕塑使用魔力控制卷軸	Use the Magic Block on the Sculptures in the Magic Shop District	마법 상점가의 조형물에 마력 제어 스크롤 사용하기
打倒怪物並使用魔力控制卷軸	Defeat the monsters and use the Magic Block	몬스터를 처치하고 마력 제어 스크롤 사용하기
對史達里小廣場的雕塑使用魔力控制卷軸	Use the Magic Block on the Sculptures in the Starry Town Square	스타리 소광장의 조형물에 마력 제어 주문서 사용하기
對瑪之亞空地的雕塑使用魔力控制卷軸	Use the Magic Block on the Sculptures in the Magija Empty Lot	마지아 공터의 조형물에 마력 제어 주문서 사용하기
使裝置停下，然後對雕塑使用魔力控制卷軸	Stop the Device and Use the Magic Block on the Sculptures	장치를 정지시켜 조형물에 마력 제어 주문서 사용하기
對思洛烏普三岔路的雕塑使用魔力控制卷軸	Use the Magic Block on the Sculptures in the Slove Intersection	슬로우브 삼거리의 조형물에 마력 제어 주문서 사용하기
解鎖上鎖的裝置並啟用，然後對雕塑使用魔力控制卷軸	Unlock the Devices to Turn Them Off and Use the Magic Block	장치의 잠금을 풀어 조작해 조형물에 마력 제어 주문서 사용하기
和奧維尼亞狄爾班對話	Talk to Owynia Dilben	오위니아 딜벤과 대화하기
對雷普雷吉豪斯街的雕塑使用魔力控制卷軸	Use the Magic Block on the Sculptures on Represijos Street	레프레지호스 거리의 조형물에 마력 제어 주문서 사용하기
調查史達里鐘塔廣場的雕塑	Investigate the Sculptures in Starry Clock Tower Square	스타리 시계 탑 광장에 있는 조형물 조사하기
打倒波貝依丁女王	Defeat the Pervading Queen	퍼베이딩 퀸 처치
和拉穆迪對話	Talk to Ramute	라무티와 대화하기
收集構成銀河階梯的物質	Collect the Materials That Make Up the Starry Stairs	은하수 계단을 이루는 물질 수집하기
和警備兵對話	Talk to the Guard	경비병과 대화하기
打倒周遭的怪物	Defeat Nearby Monsters	주변에 있는 몬스터를 처치하기
打倒史達里小鎮的怪物	Defeat the Monsters in Starry Town	스타리 타운에 있는 몬스터 처치
對史達里小廣場的雕塑使用魔力控制卷軸	Use the Magic Block on the Sculptures in Starry Town Square	스타리 소광장의 조형물에 마력 제어 스크롤 사용하기
尋找可以使裝置停下的方法	Find a Way to Turn Off the Device	장치를 끌 수 있는 방법 찾기
確認雕塑	Investigate the Sculpture	조형물을 확인하기
確認周圍	Investigate the Area	주변을 확인하기
貝拉因小鎮事件	The Feline Post Town Case	펠라인 포스트 타운 사건
與奧古斯特杜邦對話	Talk to Auguste Dupin	오귀스트 뒤팽과 대화
和書記官對話	Talk to the Secretary	서기관과 대화
打倒怪物，取得入住紀錄書	Defeat the Monsters to Retrieve the Resident Logs	몬스터를 처치해 입주 기록지 구하기
確認入住紀錄書	Check the Resident Logs	입주 기록지 확인하기
搜索周圍	Search the Area	주변을 수색하기
搜索拉克塔斯三岔路	Search the Raktas Intersection	라크타스 삼거리 수색하기
尋找事件的蛛絲馬跡	Search for Clues	사건의 실마리를 찾기
確認被火燻黑的衣服	Investigate Burnt Clothes	불에 그을린 옷 확인하기
與奧古斯特杜邦對話	Talk to Auguste Dupin	오귀스트 뒤팽과 대화하기
打倒米摩萊並獲取英雷迪粉末	Defeat the Mimorats to Obtain Ingredy Powder	미모랫을 처치해  잉레디 가루 구하기
縮小的搜索範圍	The Closing Dragnet	좁혀지는 수사망
跟著奧古斯特杜邦	Follow Auguste Dupin	오귀스트 뒤팽을 따라가기
與藥師對話	Talk to the Chemist	약재사와 대화
在凱爾里與畫家中，對其中一人使用附身判別用溶液	Use the Detecting Solution on Either Kelly or the Artist	켈리와 화가 둘 중 1명에게 빙의 판별용 용액 사용
在畫家的家附近設置驅魔魔法陣	Install the Exorcising Magic Circle Around the Artist's House	화가의 집 근처에 구마 마법진 설치하기
請和奧古斯特杜邦對話	Talk to Auguste Dupin	오귀스트 뒤팽과 대화하세요
追趕逃跑的畫家	Chase the Artist	도망친 화가를 쫓아가기
打倒從畫家身上冒出的迪斯佩特	Defeat the Teal Specter that Escaped the Artist's Body	화가의 몸에서 나온 틸스펙터 처치
監視裝置錄到的內容	What Was in the Surveillance Device	감시 장치에 담긴 것
與法師亞爾多尼對話	Talk to Wizard Aldoni	위저드 알도니와 대화
確認監視裝置	Check the Surveillance Device	감시 장치 확인하기
打倒怪物	Defeat the Monsters	몬스터를 처치하기
確認監視裝置	Check the Surveillance Device	감시 장치를 확인하기
與法師尼迪亞對話	Talk to Wizard Nidia	위저드 니디아와 대화
使用微魔力探知器	Use the Micro Magic Detector	미세 마력 탐지기를 사용하기
確認老舊的研究紀錄書所在的場所	Investigate the Area Where Old Research Papers May Be Stored	오래된 연구 기록지가 있는 장소 확인하기
確認老舊的研究紀錄書所在的場所	Investigate the Area Where Old Research Papers May Be Stored	오래된 연구 기록지가 있는 장소 확인
解除裝置的上鎖狀態	Unlock the Device	장치의 잠금을 풀기
調換老舊的研究紀錄書	Switch the Old Research Papers With the Forged Papers	오래된 연구 기록지를 바꾸기
瑪之亞斯洛普的研究記錄保管所	Research Paper Archives in Magija Slove	마지아 슬로브의 연구 기록 보관소
接受法師尼迪亞幫助	Get Help From Wizard Nidia	위저드 니디아에게 도움 받기
和法師尼迪亞對話	Talk to Wizard Nidia	위자드 니디아와 대화
使用重力磁場卷軸	Use the Scroll of Gravity	그라비티 주문서를 사용하기
獲得老舊的研究紀錄書	Obtain the Old Research Papers	오래된 연구 기록지를 획득하기
狄斯佩托怎麼樣了？	What happened to the Teal Specter?	틸스펙터는 어떻게 됐나요?
有什麼話要說嗎？	Do you want something?	하실 말씀이 있습니까?
消滅水螅了嗎？	Did you defeat the Hydra?	히드라를 처치하셨습니까?
啟示者您能幫忙把那些陷阱解除嗎？	Would you help dismantle and remove the traps?	계시자님께서 그 함정들을 대신 해체해 주시겠습니까?
亞烏特羅內	Audrone	아우드로네
詢問弟子在哪裡。	Where is the apprentice?	제자가 어디 있는지 묻는다.
調查魔法實驗區域	Investigate the Magic Research Facility	마법 실험 구역 조사
憎恨帶來的結果	Fruit of Vengeance	증오가 낳은 결과
和尼柯波爾利斯居民對話	Talk to a Nicopolis Resident	니코폴리스 주민과 대화
消滅亞西歐梅吉	Defeat the Asiomage	아시오 메이지 처치
和尼柯波爾利斯居民對話	Talk to a Nicopolis Resident	니코폴리스 주민과 대화하기
