警戒兵	Sentinel	경계병
破壞杜歐葛雷殿堂的精神支配之塔	Destroy the Mind Control Tower at Duoklu Hall	듀오클뤼 전당의 정신 지배의 탑 파괴
和貓頭鷹隊長雕像再次對話	Speak with the Owl Chief Sculpture again	대장 부엉이 조각상과 다시 한번 대화
收集卡羅利斯泉水的氣息	Collect the Energy of Karolis Springs	카롤리스 샘터의 기운 수집
尋找萊塔斯小溪邊的領路人貓頭鷹雕刻像	Find the Guide Owl Sculpture at Letas Stream	레타스 개울가에 있는 길잡이 부엉이 조각상 찾기
森林的神聖之樹	Sacred Tree of the Forest	숲의 신성한 나무
和領路人貓頭鷹雕像交談	Talk to the Guide Owl Sculpture	길잡이 부엉이 조각상과 대화
搜索萊塔斯的神聖樹枝	Find Letas' Sacred Branch	레타스의 신성한 나뭇가지 수색
跟領路人貓頭鷹雕像報告	Report to the Guide Owl Sculpture	길잡이 부엉이 조각상에게 보고
吸收已淨化的力量	Absorb the purified energy	정화된 힘 흡수
去找馬勒達斯	Speak to Mardas	마르다스 찾아가기
消除污染森林的邪惡氣息	Clear out the evil energy contaminating the forest	숲을 오염시키는 사악한 기운 제거
跟馬勒達斯報告	Report to Mardas	마르다스에게 보고
消除監視區管理魔法陣	Remove the Surveillance Sphere Magic Circle 	감시구 관리 마법진 제거
消除黑暗氣息	Remove the Black Energy	검은 기운 제거
靈魂餓鬼	Soul Starvation	영혼 아귀
解除所有保護靈魂餓鬼的防護魔法陣	Remove all magic circles protecting the Soul Starvation	영혼 아귀를 지키는 보호 마법진 전부 해제
解除保護靈魂餓鬼的防護魔法陣	Remove the magic circles protecting the Soul Starvation	영혼 아귀를 지키는 보호 마법진 해제
用抑制之那姆特破壞靈魂餓鬼	Destroy the Soul Starvation with the Namott of Suppression	억제의 나모트로 영혼 아귀 파괴
確認上鎖的箱子	Look inside the locked chest	잠겨진 상자 확인
消滅周圍的怪物並向上鎖的箱子提供魔力	Defeat monsters to supply magic to the Locked Chest	주변의 몬스터를 처치하여 잠겨진 상자에 마력 공급
開啟上鎖的箱子	Open the locked chest	잠겨진 상자 열기
確認掉落在地板上的信件	Check the letter on the ground	바닥에 떨어진 편지 확인
尋找信件的主人	Find the right recipient	편지의 주인 찾기
確認萊塔斯祭壇	Check the Letas Altar	레타스 제단 확인
消滅擾亂萊塔斯祭壇氣息的周邊怪物	Defeat the nearby monsters disrupting the energy of the Letas Altar	레타스 제단의 기운을 어지럽히는 주변의 몬스터 처치
和法師次級大師對話	Talk to the Wizard Submaster	위저드 서브 마스터와 대화
消滅加橋森林的怪物	Defeat the monsters in the Woods of the Linked Bridges	덧댄다리 숲의 몬스터 처치
跟法師次級大師報告	Report to the Wizard Submaster	위저드 서브 마스터에게 보고
和烈焰法師次級大師對話	Talk to the Pyromancer Submaster	파이로맨서 서브 마스터와 대화
與蘊含火之氣息的晶球一起消滅怪物	Defeat monsters with the Fire Energy Bead	불의 기운이 담긴 구슬과 함께 몬스터 처치
跟烈焰法師次級大師報告	Report to the Pyromancer Submaster	파이로맨서 서브 마스터에게 보고
和寒冰法師次級大師對話	Talk to the Cryomancer Submaster	크리오맨서 서브 마스터와 대화
消滅怪物後，把魔力注入魔力寒冰碎片	Defeat monsters and replenish the Magical Piece of Ice	몬스터를 처치해서 마력의 얼음 조각에 마력 충전
跟寒冰法師次級大師報告	Report to the Cryomancer Submaster	크리오맨서 서브 마스터에게 보고
和弓箭手次級大師對話	Talk to the Archer Submaster	아처 서브 마스터와 대화
攻擊遠距離怪物	Attack monsters from a distance	먼 거리에서 몬스터 공격
跟弓箭手次級大師報告	Report to the Archer Submaster	아처 서브 마스터에게 보고
和遊俠次級大師對話	Talk to the Ranger Submaster	레인저 서브 마스터와 대화
單獨在10秒內連續消滅怪物	Defeat monsters all by yourself in 10 seconds	혼자서 몬스터를 10초안에 연속해서 처치
跟遊俠次級大師報告	Report to the Ranger Submaster	레인저 서브 마스터에게 보고
和弩箭手次級大師對話	Talk to the Quarrel Shooter Submaster	쿼렐슈터 서브 마스터와 대화
跟弩箭手次級大師報告	Report to the Quarrel Shooter Submaster	쿼렐슈터 서브 마스터에게 보고
聆聽其他魔法師系列大師們的建議	Listen to advice from the masters of other magic areas	다른 마법사계열 마스터들에게 조언 듣기
消滅濃縮的火焰石周圍的怪物	Defeat monsters nearby the Condensed Firestone	응축된 화염석 주변의 몬스터 처치
使用冰氣的魔法書後消滅怪物	Defeat monster after using Frost Tome	냉기의 마법서 사용 후 몬스터 처치
使用念力法師卷軸擊飛怪物	Blow away monsters using the Psychokino Scroll	사이코키노 스크롤을 사용해서 몬스터 날려보내기
和在歐勒夏的鎖鏈法師大師對話。	Talk to the Linker Master in Orsha	오르샤에 있는 링커 마스터와 대화하세요.
在找到鎖鏈法師的連接點為止持續攻擊怪物	Attack monsters until you find a linkage point	링커의 연결점을 찾을 때까지 몬스터 공격
消滅既是飛行型也是布防禦類型的怪物	Defeat Flying-type monsters with the Cloth armor-type	비행형이면서 천 방어 타입인 몬스터 처치
收集城牆修復用石材	Collect Wall Restoration Stones	성벽 복구용 석재 수집
向植物型怪物取得黏稠植物汁液	Obtain Sticky Plant Sap from Plant-type monsters	식물형 몬스터에게서 끈적이는 식물 진액 획득
和工兵次級大師對話	Talk to the Sapper Submaster	새퍼 서브 마스터와 대화
收集堅硬的研究用石材	Collect Sturdy Research Stones	단단한 연구용 석재 수집
跟工兵次級大師報告	Report to the Sapper Submaster	새퍼 서브 마스터에게 보고
和獵人次級大師對話	Talk to the Hunter Submaster	헌터 서브 마스터와 대화
到地下城消滅怪物	Defeat monsters in a dungeon	던전에서 몬스터 처치
所有地下城地區	All dungeon areas	모든 던전 지역
跟獵人次級大師報告	Report to the Hunter Submaster	헌터 서브 마스터에게 보고
消滅火屬性怪物	Defeat fire property monsters	불 속성 몬스터 처치
消滅冰屬性怪物	Defeat ice property monsters	얼음 속성 몬스터 처치
消滅魔力控制感應球範圍內的怪物	Defeat monsters with the range of Magic Control Detection Orb	마력제어 감지구 범위 안의 몬스터 처치
消滅怪物收集靈性氣息	Defeat monsters to collect Spiritual Energy	몬스터를 처치하여 영적 기운 수집
和奇術師次級大師對話	Talk to the Thaumaturge Submaster	쏘마터지 서브 마스터와 대화
跟奇術師次級大師報告	Report to the Thaumaturge Submaster	쏘마터지 서브 마스터에게 보고
消滅卡拉伊爾陵墓中的地獄亡靈	Defeat Necroventer at Carlyle's Mausoleum	칼라일의 영묘에 있는 네크로벤터 처치
向德慕爾外城的怪物收集火藥劑	Collect Gun Powder from monsters at Delmore Outskirts	델무어 외성의 몬스터에게서 화약재 수집
搜索獵人的測試信物	Search for Hunter's Pass	헌터의 시험증표 수색
對怪物使用屍毒瓶並提取屍毒	Collect poison from monsters in the Poison Bottle	몬스터에게 시독병을 사용해서 시독 채취
和斥侯次級大師對話	Talk to the Scout Submaster	스카우트 서브 마스터와 대화
攻擊敵人卻不被攻擊	Attack enemies without getting hit	적에게 피격되지 않고 공격
跟斥侯次級大師報告	Report to the Scout Submaster	스카우트 서브 마스터에게 보고
請與歐勒夏的劍士次級大師對話	Talk to the Swordsman Submaster in Orsha	오르샤에 있는 소드맨 서브 마스터와 대화하세요
請在熟練特性後與劍士次級大師對話	Learn the attributes and talk to the Swordsman Submaster	특성을 익힌 후 소드맨 서브 마스터와 대화하세요
請與歐勒夏的法師次級大師對話	Talk to the Wizard Submaster in Orsha	오르샤에 있는 위저드 서브 마스터와 대화하세요
請在熟練特性後與法師次級大師對話	Learn the attributes and talk to the Wizard Submaster	특성을 익힌 후 위저드 서브 마스터와 대화하세요
請與歐勒夏的弓箭手次級大師對話	Talk to the Archer Submaster in Orsha	오르샤에 있는 아처 서브 마스터와 대화하세요
請在熟練特性後與弓箭手次級大師對話	Learn the attributes and talk to the Archer Submaster	특성을 익힌 후 아처 서브 마스터와 대화하세요
請與歐勒夏的牧師次級大師對話	Talk to the Cleric Submaster in Orsha	오르샤에 있는 클레릭 서브 마스터와 대화하세요
請在熟練特性後與牧師次級大師對話	Learn the attributes and talk to the Cleric Submaster	특성을 익힌 후 클레릭 서브 마스터와 대화하세요
消滅周圍的怪物並獲得鑰匙	Defeat monsters to obtain the key	주변의 몬스터를 처치해서 열쇠 획득
和飾品商人交談	Talk to the Accessory Merchant	악세서리 상인과 대화
和長橋溪谷的莫勒庫斯‧尤那斯見面	Meet Morkus Jonas in Overlong Bridge Valley	긴다리 계곡의 모르쿠스 요나스 만나기
前往阿克梅斯山脊	Move to Akmens Ridge	아크멘스 능선으로 이동
和羅藍塔斯尤那斯見面	Meet Rolandas Jonas	롤란다스 요나스 만나기
和藥師大叔交談	Talk to the Pharmacist Lady	약사 아가씨와 대화
交出藥材	Give medicinal ingredients to Pharmacist Lady	약 재료 건네 주기
藥師大叔的委託	Pharmacist's Favor	약사 아가씨의 부탁
取得藥材	Get medicinal ingredients	약 재료 구해 오기
搜查草堆	Search in the bushes	풀더미 수색
轉交找到的食物	Bring the food that you found	찾아낸 먹을거리 전달
在堤利亞小路的魔法陣放上女神像	Put the Goddess Statue on the magic circle at Tylila Path	틸리아 오솔길의 마법진에 여신상 올려 놓기
和阿爾費納對話	Talk to Albinas	알비나스와 대화
破壞那斯圖斯派的碑石	Destroy the Tombstones of Nestopa	네스토스파의 비석 파괴
破壞那斯圖斯的碑石	Destroy the Tombstone of Nestopa	네스토스의 비석 파괴하기
和丹米尤那斯對話	Talk to Damijonas	다미요나스와 대화
回到丹米尤那斯身邊	Return to Damijonas	다미요나스에게 돌아가기
解開丹米尤那斯的誤會	Explain yourself	다미요나스의 오해 풀기
復原碑石	Restoring the Tombstone	비석 복구
和艾圖那司對話	Talk to Eduinas	에뒤나스와 대화
營地周邊的怪物整頓	Defeat the monsters around the camp	캠프 주변의 몬스터 정리
聖所復原	Restore the sanctum	성소 복구 하기
和凱泰斯對話	Talk to Gedas	게다스와 대화
收集易燃粉末	Collect Flammable Powder	불에 잘 타는 가루 수집
取得易燃粉末	Obtain Flammable Powder	불에 잘 타는 가루 구하기
最後結論	The Final Conclusion	최종 결론
和巴勒泰對話	Talk to Barte	바르테와 대화
詢問現在到底要做什麼事情。	Ask what you should do now	이제 무엇을 해야 하는지 물어보세요.
消滅阿爾費納的真面目火焰權杖	Defeat Fire Lord	알비나스의 본색인 파이어로드 처치
和雷歐普達斯對話	Talk to Leopoldas	레오폴다스와 대화
和凱勒泰對話	Talk to Gerda	게르다와 대화
回去找凱勒泰	Return to Gerda	게르다에게 돌아가기
和賽拉彼納斯對話	Talk to Serapinas	세라피나스와 대화
回去找賽拉彼納斯	Return to Serapinas	세라피나스에게 돌아가기
回收遺失的物品	Lost and Found	잃어버린 물품 회수
尋找梅瑞莎	Find Merrisa	메리사 찾아가기
交給梅瑞莎	Deliver to Merrisa	메리사에게 전달
與梅瑞莎對話	Talk to Merrisa	메리사와 대화
消滅因普洛博克後回收濕濕的紙片	Defeat Infroburks and retrieve the Damp Pieces of Paper	인프로 버크를 처치하고 축축한 종이 조각 회수
向梅瑞莎報告	Report to Merrisa	메리사에게 보고
凱都拉商團的教育資料	Educational Materials of the Kedoran Merchant Alliance	케도라 상단의 교육 자료
和馬勒傑利尤思對話	Talk to Margellius	마르젤리유스와 대화
收集因普洛博克體液	Obtain Infroburk Body Fluid	인프로 버크 체액 수집
克巴伊拉斯森林	Kvailas Forest	크바일라스 숲
和士兵傑伊司交談	Talk to Soldier Jace	병사 제이스와 대화
尋找士兵的遺物	Retrieving Soldiers' Mementos	병사들의 유품 찾아오기
消滅布貝掠奪者	Defeat Vubbe Thief	부베 약탈자를 처치
和士兵艾德嘉交談	Talk to Soldier Edgar	병사 에드가와 대화
找回布貝奪走的糧食	Retrieve the stolen food supplies from the Vubbes	부베가 약탈한 식량 되찾기
前往凱利高原	Travel to Gele Plateau	겔리 고원으로 이동
凱利高原	Gele Plateau	겔리 고원
移動到佩迪米安	Go to Fedimian	페디미안으로 이동
佩迪米安	Fedimian	페디미안
 按著按鍵在休息狀態下 	 key to enter Rest Mode and press the 	 키를 눌러 휴식상태에서 
將解毒劑交給奇堤斯	Give antidote to Gytis	기티스에게 해독제 전달
幫助守護農場出入口的士兵艾爾倫	Help Soldier Alan guard the Farm Entrance	농장 출입문을 지키고 있는 병사 앨런 돕기
殘存的危險	Remaining Danger	잔존하는 위험
確認水晶礦山布貝的動靜	Survey Vubbe Activity in the Crystal Mine	수정광산 부베들의 움직임 확인
設置拜杜塔斯特製香爐	Set Vaidotas' Special Incense Burner	바이도타스 특제 향로 설치
收集莫厄之瘤	Collect Moa Lumps	모아의 혹 수집
再將它交給看守者艾拉	Hand them over to Watcher Erra	파수꾼 에라에게 전달
指定區域	Territorial Assignment	구역 지정
收集串繩材料	Collect Odd Fish Stringers	꿰미 재료 수집
卡汀森林入口全區	Entire region of Entrance of Kateen Forest	카틴 숲 입구 전 지역
再將它轉交給看守者莫爾黎	Hand them over to Watcher Molly	파수꾼 몰리에게 전달
設置串繩	Set the Stringers	꿰미 설치
失蹤案件	Disappearances	실종 사건
搜查失蹤現場	Search the spot where the disappearances took place	실종 현장 수색
保護柯拉佩達市場的靈魂	Protect the Spirit of Klaipeda's Mayor	클라페다 시장의 영혼 보호
與柯拉佩達市場的靈魂對話	Talk to the spirit of Klaipeda's Mayor	클라페다 시장의 영혼과 대화
消滅想攻擊柯拉佩達市場的靈魂的人	Defeat those trying to attack the spirits of the Klaipeda Market	클라페다 시장의 영혼을 공격하려는 자들 처치
用提尼的精髓替安慰之珠充電	Fill the Orb of Comfort with Tini Essence	티니의 정수로 위로의 구슬 충전
科博爾特森林全區	The whole territory of Cobalt Forest	코발트 숲 전 지역
將怨念吸收至安慰之珠	Absorb the resentment into the Orb of Comfort	원념을 위로의 구슬에 흡수
薩勒女神的請求	Goddess Saule's Request	사울레 여신의 부탁
清除通往關口路要道上的針刺藤蔓	Remove the thorny vines obstructing the way to the Gate Route	관문로 가는 길목의 가시 덩굴 제거
清除針刺藤蔓	Remove the thorny vines	가시 덩굴 제거
在史爾特凱拉森林設置權能結晶	Set the crystal of the authority at Sirdgela Forest	시르드겔라 숲에 권능의 수정 설치
收集純粹的寒氣結晶	Collect the Crystal of Pure Frost	순수한 냉기의 결정 수집
請將它交給寒冰法師大師	Deliver to the Cryomancer Master	크리오맨서 마스터에게 전달
隱藏寶物	Hidden Treasures	숨겨진 보물들
茲貝克的粒粒充電	Charging Zubeck's Orb	즈벡의 구슬 구슬 충전
破壞魔族召喚陣	Destroy the demon summon field	마족 소환진 파괴
女神的封印塔	Sealed Tower of the Goddess	여신의 봉인탑
與祭司拉美莉耶對話	Talk to Priest Ramelie	사제 라멜리아와 대화
封印塔防禦	Protect the Sealed Tower	봉인탑 방어
與祭司拉美莉耶對話	Talk to Priest Ramelie	사제 라멜리에와 대화
為奧斯特雅女神的紋章充電	Charge the Goddess Austeja's Scripture 	아우스테야 여신의 문장 충전
將奧斯特雅女神的紋章獻給封印塔	Offer the Goddess Austeja's Scripture to the Sealed Tower	아우스테야 여신의 문장을 봉인탑에 봉헌
啟動露克立斯的裝置尋找啟示	Activate the Ruklys device to find the revelation	루클리스의 장치를 작동시켜 계시 찾기
前往採藥者小木屋拯救流動商人	Go to the Herb Gatherers' Cabin to save the merchants	행상인들을 구하러 약초꾼 오두막으로 이동
與流動商人羅潔對話	Talk to Traveling Merchant Rose	행상인 로제와 대화
消滅威脅流動商人們的魔族	Defeat the demons threatening the merchants	행상인들을 위협하는 마족 처치
羅潔的同伴們	Rose's Colleagues	로제의 동료들
把耐力藥丸給拉舒	Give Laswi a Stamina Pill	라쉬에게 스태미나 알약 주기
和拉舒一起尋找失散的流動商人	Find the merchants with Laswi	라쉬와 함께 흩어진 행상인 찾기
尋找剩下的最後一個流動商人	Find the last Traveling Merchant	마지막 남은 행상인 찾기
與流動商人卡西亞斯對話	Talk to Traveling Merchant Cassias	행상인 카시야스와 대화
消滅來襲的魔族	Defeat the attacking demons	습격해오는 마족 처치
向流動商人羅潔報告	Report to Traveling Merchant Rose	행상인 로제에게 보고
與流動商人安德雷斯對話	Talk to Traveling Merchant Andres	행상인 안드레스와 대화
搜尋丟失的行李包裹	Look for the Lost Package	잃어버린 짐보따리 수색
轉交給流動商人安德雷斯	Deliver to Traveling Merchant Andres	행상인 안드레스에게 전달
和流動商人高梅斯對話	Talk to Traveling Merchant Gomez	행상인 고메스와 대화
消滅採藥者小木屋四周的怪物	Defeat the monsters nearby Herb Gatherers' Cabin	약초꾼 오두막 주변의 몬스터 처치
向流動商人高梅斯報告	Report to Traveling Merchant Gomez	행상인 고메스에게 보고
消滅採藥者小木屋四周的怪物	Defeat the monsters nearby Herb Gatherers' Cabin	약초꾼 오두막 주변 몬스터 처치
受傷的採藥者	Injured Herbalist	상처입은 약초꾼
在那巴吉加高地採集倫奇亞草	Collect Ronjia Grass at Nevaginga Hillside	네바깅가 고지대에서 론지아 풀 채집
交給採藥者戴伊斯	Deliver to Herbalist Tales	약초꾼 테일스에게 전달
把泰爾斯的症狀告訴歐勒夏的牧師次級大師	Tell the Cleric Master in Orsha about Herbalist Tales' symptoms	오르샤의 클레릭 서브 마스터에게 테일스의 증상 전달
把藥交給採藥者戴伊斯	Deliver the medicine to Herbalist Tales	약초꾼 테일스에게 약 전달
村莊居民的行蹤	Where Did Everybody Go?	마을 주민의 행방
請跟著流動商人羅潔前往克尼多斯森林	Follow Traveling Merchant Rose to Knidos Jungle	크니도스 숲으로 행상인 로제 따라가기
搜索克洛亞村莊並推測發生了什麼事	Search in Croa Village to find out what happened	크로아 마을 수색해 무슨 일이 있었는지 추측
跟著掉落在地面上的晶球走	Follow the beads on the ground	바닥에 떨어진 구슬 따라가기
搜索四周，尋找其他晶球或線索	Look for more beads or other clues	주변을 수색해 다른 구슬이나 단서 찾기
與躲起來的人對話	Talk to the person who is hiding	숨어있는 사람과 대화
與泰斯對話	Talk to Tess	테스와 대화
回去和泰斯對話	Return to to Tess and talk to her	테스에게 돌아가 대화
消滅追趕泰斯的魔族	Defeat the demons chasing Tess	테스를 쫓아온 마족 처치
和採藥者亞斯對話	Talk to Herbalist Ash	약초꾼 아스와 대화
消滅四周的魔族	Defeat nearby demons	주변의 마족 처치
魔族採藥者	Demon Herbalist	마족 약초꾼
採集魔族過去所蒐集的藥草	Collect the same herbs as the demon	마족이 채집했다던 약초 채집
交給採藥者亞斯	Deliver to Herbalist Ash	약초꾼 아스에게 전달
收集路克塔奴的體液	Collect Loktanun Fluid	록타눈의 체액 수집
把路克塔奴的體液灑在烏頭草上	Spray the Loktanun Fluid on the Aconite	바꽃에 록타눈의 체액 뿌리기
巨大的蕨葉	Giant Bracken	거대한 고사리
跟隨前往達坦森林的流動商人羅潔	Follow Traveling Merchant Rose to Dadan Jungle	다단 숲으로 간 행상인 로제 따라가기
找到魔族的實驗室後消滅該處的魔族	Find the demon laboratory and defeat the demons there	마족의 실험실을 찾아 그곳의 마족 처치
搜尋與巨大蕨類有關的資料	Search for materials on the Giant Bracken	거대 고사리와 관련된 자료 수색
把日誌交給流動商人羅潔	Deliver the diary to Traveling Merchant Rose	행상인 로제에게 일지 전달
回去把日誌交給流動商人羅潔	Return to Rose and deliver the diary	행상인 로제에게 돌아가 일지 전달
救出流動商人羅潔	Rescue Traveling Merchant Rose	행상인 로제 구출
消滅想綁架羅潔的魔族	Defeat the demons that tried to kidnap Rose	로제를 납치하려는 마족 처치
找出動力供給裝置並清除動力源	Find the Power Supply Device and remove the power source	동력 공급 장치를 찾아 동력원 제거
跟著流動商人羅潔到諾巴哈修道院入口	Follow Traveling Merchant Rose to the entrance of the Novaha Monastery	노바하 수도원 입구로 행상인 로제 따라가기
消滅看守要道的魔族	Defeat the sentinel demons	길목을 지키고 있는 마족 처치
消滅看守修道院入口的小魔怪	Defeat the Gremlin guarding the monastery entrance	수도원 입구를 지키고 있는 그렘린 처치
與採藥者戴拉斯對話	Talk to Herbalist Talas	약초꾼 탈라스와 대화
幫採藥者戴拉斯解開陷阱	Free Herbalist Talas from the trap	약초꾼 탈라스의 덫 풀어주기
魔族的鍋子	Demon Cauldron	마족의 솥
清除正在保護魔族的鍋子的保護膜	Remove the Protective Barrier around the Demon Cauldrons	마족의 솥을 보호하고 있는 보호막 제거
破壞魔族的鍋子	Destroy the Demon Cauldrons	마족의 솥 파괴
焚燒裝有毒草的箱子	Set the boxes of Poisonous Herbs on fire	독초가 든 상자 불태우기
向採藥者戴拉斯報告	Report to Herbalist Talas	약초꾼 탈라스에게 보고
救出	The Rescue	구출
跟著流動商人羅潔進入諾巴哈修道院	Follow Rose into the Novaha Monastery	행상인 로제를 따라 노바하 수도원으로 진입
與克羅亞村莊居民對話	Talk to the people of the Croa Village	크로아 마을 주민과 대화
解救被帶到安凱爾小會堂的修道士柯斯	Rescue Monk Goss at the Ankel Small Corridor	앙켈 소회당으로 끌려간 수도사 커스 구출
收集草綠幻影亡靈的精髓	Obtain Green Apparition Essence	초록 어패리션의 정수 수집
交給修道士柯斯	Deliver to Monk Goss	수도사 커스에게 전달
保護修道士柯斯，直到打開特別閱覽室的門為止	Protect Monk Goss until the door to the Special Reading Room is open	특별 열람실의 문을 열 때까지 수도사 커스 보호
與修道院入口的流動商人羅潔對話	Talk to Rose at the Novaha Monastery entrance	수도원 입구 쪽에 있는 행상인 로제와 대화
消滅來襲的木乃伊賈西特	Defeat the attacking Mummyghast	습격해오는 머미가스트 처치
疲累的身體	Exhausted	지쳐버린 몸
與實驗受害者提里斯對話	Talk to Experiment Victim Tilis	실험 피해자 틸리스와 대화
轉交恢復藥水	Give a Stamina Recovery Potion	회복 물약 전달
與實驗受害者提里斯對話	Talk to Experiment Victim Tilis	실험피해자 틸리스와 대화
向實驗受害者提里斯報告	Report to Experiment Victim Tilis	실험 피해자 틸리스에게 보고
消滅周圍的魔族	Defeat the demons nearby	주변에 있는 마족 처치
與實驗受害者皮爾斯對話	Talk to Experiment Victim Fils	실험 피해자 필스와 대화
收集實驗受害者的遺物	Collect Experiment Victims' Relic	실험 피해자들의 유품 수집
交給實驗受害者皮爾斯	Deliver to Experiment Victim Fils	실험 피해자 필스에게 전달
解救愛德文多斯	Rescue Edmundas	에드문다스 구출
與前去諾巴哈別館的流動商人羅潔對話	Follow Traveling Merchant Rose to the Novaha Annex	노바하 별관으로 간 행상인 로제와 대화
往阿沛卡儀典室的方向追上流動商人羅潔	Follow Rose into the Apega State Chamber	아페가 의전실로 행상인 로제 쫓아가기
去除讓愛德文多斯痛苦的因素	Eliminate the cause of Edmundas' pain	에드문다스를 고통스럽게 하는 원인 제거
破壞可疑魔法師召喚的痛苦魔法石	Destroy the Mysterious Wizard's Magic Stone of Pain	의문의 마법사가 소환한 고통의 마법석 파괴
尋找讓愛德文多斯掙脫的方法	Find a way to release Edmundas from the shackles	에드문다스를 속박에서 풀려날 방법 찾기
實驗	The Experiment	실험
與實驗受害者席爾貝斯對話	Talk to Experiment Victim Hilbeth	실험 피해자 힐베스와 대화
搜尋席爾貝斯的背包	Search for Hilbeth's Backpack	힐베스의 배낭 수색
交給實驗受害者席爾貝斯	Deliver to Experiment Victim Hilbeth	실험 피해자 힐베스에게 전달
搜索倒塌的大回廊	Search the Collapsed Grand Corridor	무너진 대회랑 수색
破壞殘留在艾勒傑經堂中的實驗設施	Destroy the remaining experiment facilities at the Errzze Oratorium	에르쩨 경당에 남아있는 실험 시설 파괴
修道士的最終使命	A Monk's Last Mission	수도사의 마지막 사명
與修道士阿貝爾斯對話	Talk to Monk Abels	수도사 아벨스와 대화
在卡伊雷禮拜堂回收聖物碎片	Retrieve Holy Relic Fragments at Gaile Chapel	가일레 예배소에서 성물 파편 회수
交給修道士阿貝爾斯	Deliver to Monk Abels	수도사 아벨스에게 전달
為淨化修道院設置聖物	Prepare the relic for purifying the monastery	수도원 정화를 위해 성물 설치
向修道士阿貝爾斯報告	Report to Monk Abels	수도사 아벨스에게 보고
解救羅潔	Rescue Rose	로제 구출
追趕前往諾巴哈本院解救羅潔的愛德文多斯	Follow Edmundas Into the Novaha Institute to rescue Rose	노바하 본원으로 로제를 구하러 간 에드문다스 쫓아가기
尋找能讓裝置超載的黑色物體	Find Black Materials to overload the device	장치를 과부화 시킬 수 있는 검은 물체 찾기
收集褐色賀敏勃德的黏液	Collect Brown Hummingbird Mucus	갈색 허밍버드의 점액 수집
交給愛德文多斯	Deliver to Edmundas	에드문다스에게 전달
消滅褐色賀敏勃德並收集黏液	Defeat Brown Hummingbirds to acquire mucus	갈색 허밍버드를 처치해 점액 수집
在本館中庭與愛德文多斯對話	Talk to Edmundas in the Main Hall Atrium	본관 아트리움에서 에드문다스와 대화
破壞精神支配水晶	Destroy the Mind Control Crystals	정신지배의 수정 파괴
與梅迪艾儀典室附近的愛德文多斯對話	Talk to Edmundas nearby the Medie State Apartments	메디에 의전실 근처의 에드문다스와 대화
在基爾努瑪經堂解救羅潔	Rescue Rose at the Kilnuma Oratorium	킬누마 경당에서 로제 구출
憂心忡忡的愛德文多斯	Edmundas' Worry	에드문다스의 걱정
消滅梅迪艾儀典室的怪物	Defeat monsters at the Medie State Apartments	메디에 의전실의 몬스터 처치
向愛德文多斯報告	Report to Edmundas	에드문다스에게 보고
把情況告訴歐勒夏的法師次級大師	Relay the situation to Orsha's Wizard Submaster	오르샤의 위저드 서브 마스터에게 사정 전달
製作保護結界水晶	Craft a Protection Barrier Crystal	보호 결계 수정 제작
設置保護結界水晶	Place the Protection Barrier Crystal	보호 결계 수정 설치
消除史特拉斯禮拜堂裡的孢子培養裝置動力源	Remove the power sources of the Giant Bracken Spore Breeding Device in Sotras Chapel	소트라스 예배소 안쪽의 포자 배양 장치 동력원 제거
聽流動商人羅潔說明詳情	Listen to Rose's detailed testimony	행상인 로제에게 자세한 이야기 듣기
消滅追殺伊魯曼塔斯的追蹤者	Defeat the one who chased Irmantas	이르만타스를 쫓아온 추격자 처치
斬斷尾巴	Cutting the Tail	꼬리자르기
用信號彈引誘追蹤者並消滅他們	Lure the chasers using the signal flare and defeat them	신호탄으로 추격자를 유인하여 처치
交給團員伊魯曼塔斯	Hand them over to Irmantas	단원 이르만타스에게 전달
消滅被信號彈陷阱引誘的追蹤者	Defeat the chasers that were lured to the signal flare trap	신호탄 덫에 유인된 추격자 처치
走到了死胡同	A Dead End	막다른 곳에 다다라
從某處傳來呼喚你的聲音。	You can hear some voice calling out for you somewhere	어디선가 당신을 부르는 소리가 들립니다.
將物品交給團員伊魯曼塔斯	Hand over the goods to Irmantas	단원 이르만타스에게 물품 전달
保護團員阿爾利那	Escort Alina	단원 알리나 호위하기
請護衛團員阿爾利那，好讓她能去找團員伊魯曼塔斯	Escort Alina so she can go to Irmantas safely	단원 알리나가 단원 이르만타스에게 무사히 갈 수 있도록 호위해주세요
請消滅追蹤者	Defeat the chasers	추격자를 처치하세요
消滅追蹤者狼人	Defeat Werewolf	추격자 웨어울프 처치
和朝聖者阿卡達斯對話	Talk to Pilgrim Agatas	순례자 아가타스와 대화
收集深藍香草	Collect Black Herbs	검푸른 허브 수집
帶給魔君主哈勃克	Hand it over to Demon Lord Hauberk	마군주 하우벅에게 전달
尋找自我的旅程	The journey to find myself	나를 찾는 여정
幫朝聖者阿卡達斯解毒	Detoxify the Pilgrim Agatas	순례자 아가타스 해독
收集影子精髓	Collect the Shadow Essences	그림자 정수 수집
獲得影子精髓	Obtain Shadow Essences	그림자 정수 획득
幫助哈勃克	Help Hauberk	하우벅 도와주기
在莎娜伊斯平荒野裡幫忙哈勃克再次結合	Help the reunion of Hauberk at Silaisvin Wilderness	살라이스빈 황야에서 하우벅의 재결합 돕기
消滅德拉涪里溫	Defeat Drapeliun	드라페리운 처치
無止盡的交易	Endless Deals	끝없는 거래
