凱帕	Kepa	케파
確認榭魯瑪祭壇的第四個碑石	Check the fourth gravestone at the Shiluma Altar Site	쉴루마 제단 터의 네 번째 비석 확인
尋找最後一個碑石	Finding the Last Gravestone	마지막 비석 찾기
在克里尤貝街道另一端尋找最後一個碑石	Find the Last Gravestone at Griuve Highway	그리유베 가도 너머에서 마지막 비석 찾기
尋找亞佳伊拉弗羅里的碑文	Find Agailla Flurry's gravestones 	아가일라 플러리의 비문 찾기
瀏覽亞佳伊拉弗羅里的碑文	Read the inscription on Agailla Flurry's gravestone 	아가일라 플러리의 비문 읽기
修復破損的亞佳伊拉弗羅里碑文	Restore the damaged gravestone of Agailla Flurry 	파손된 아가일라 플러리의 비문 복원하기
消滅努德鉤子	Defeat Old Hooks	누덕 갈고리 처치
答應村民的委託	Do Villager's Favor	마을 사람의 부탁 들어주기
將行李包交給村民	Give the Bag to the Villager	마을 사람에게 짐가방 전해주기
尋找村民的行李包	Find the Villager's Bag	마을 사람의 짐가방 찾기
和村民交談	Talk to the Villager	마을 사람과 대화
消滅露克立斯紀念碑周圍的怪物	Defeat the monsters nearby Ruklys Memorial Stone	루클리스 추모비 주변 몬스터 처치
確認奇怪的布袋	Check the strange sack	이상한 자루 확인
收集實驗材料	Collect experiment materials	실험 재료 수집
消滅長臂樹怪	Defeat Long-Branched Trees	긴팔 나무 처치
收集水草	Collect Waterweed	물풀 수집
女神的古院的邪靈術師特拉修斯在等待他人的幫助。	Lizardman Mind-Control	여신의 옛뜰의 사령술사 드라슈스가 누군가의 도움을 기다리고 있습니다.
支配蜥蜴人的精神	Mind-controlled Lizardmen	리자드맨 정신지배
支配因普洛博克的精神	Mind-controlled Infroburk	인프로버크 정신지배
膜拜女神並與道具商人對話	Worship the statue and talk to Tools merchant	여신상에 경배를 드리고 도구 상인과 대화
與道具商人對話	Talk to the Item Merchant	도구 상인과 대화
確認軍用背包	Check the Military Backpack	군용 배낭 확인
執行樹木山溝作戰	Commence Operation Wooden Village	나뭇골 작전 실행
進行引誘獨角獸的準備	Prepare to lure Unicorn	유니콘 유인 준비
消滅喬雷	Defeat Zolems	졸렘 처치
執行樹木山溝作戰	Carry out Operation Tree Dale	나뭇골 작전 수행
消滅獨角獸	Defeat Unicorn	유니콘 처치
向徘徊的靈魂報告	Report to the Wandering Spirit	배회하는 영혼에게 보고
和村莊青年凱伊希交談	Talk to Villager Cahill	마을 청년 케이힐과 대화
和姆杰老人交談	Talk to Old Man Moses	모제 영감과 대화
將木材交給姆杰老人	Give lumber to Old Man Moses	모제 영감에게 목재를 가져다 주기
和姆杰迪瑟交談	Talk to Moses Diesel	모제 디셀과 대화
取得飛天青蛙的堅硬皮革	Get Strong Flying Frog Leather	날개 개구리의 단단한 가죽 구하기
交給姆杰老人	Give them to Old Man Moses	모제 영감에게 전달
將拐扙交給村莊青年凱伊希	Give crutches to Villager Cahill	마을 청년 케이힐에게 목발 전해 주기
和信徒托馬斯交談	Talk to Believer Domas	신도 도마스와 대화
交給信徒托馬斯	Give them to Believer Domas	신도 도마스에게 전달
消滅寇里妖花，將刺球怪袋子裝滿寇里妖花的樹液	Defeat Coliflower and fill the Thornball Pouch with Coliflower Sap	콜리플라워를 처치해서 던볼 주머니에 콜리플라워의 수액 채우기
和薩勒女神的信徒亞德雷交談	Talk to Goddess Saule Believer Adele	사울레 여신의 신도 아델레와 대화
將腳趾甲交給信徒亞德雷	Give the claws to Believer Adele	신도 아델레에게 발톱 전달
和信徒亞德雷交談	Talk to Believer Adele	신도 아델레와 대화
尋找信徒亞德雷的戒指	Find Believer Adele's ring	신도 아델레의 반지 찾아주기
將戒指交給信徒亞德雷	Give the ring to Believer Adele	신도 아델레에게 반지 전달
將毒菇交給信徒亞德雷	Give Truffle's Poisonous Mushrooms to Believer Adele	신도 아델레에게 독버섯 전달
在調和祭壇製作組合液	Combine the mixed solution at the Altar of Harmony	조화의 제단에서 조합액 제작
將組合液交給信徒亞德雷	Give the mixed solution to Believer Adele	신도 아델레에게 조합액 전달
利用酸性溶液溶化針刺藤蔓	Melt the thorny vines using the Acid Solution	산성 용액으로 가시덩굴 녹이기
和信徒皮勒基史交談	Talk to Believer Virgis	신도 비르기스와 대화
在凝聚魔力的地方補充魔力水晶	Charge the Magic Crystal in the condensed magic spots	마력이 응축된 곳에서 마력수정 충전하기
精煉魔力水晶的魔力	Refine the magic in the Magic Crystals	마력수정의 마력 정제하기
獲得完成精煉的魔力水晶	Get the refined Magic Crystal	정제가 끝난 마력수정 획득
使用魔力水晶消除針刺藤蔓	Use the refined Magic Crystal to remove the thorny vines	마력 수정을 사용하여 가시 덩굴 없애기
和信徒諾尤司交談	Talk to Believer Nojus	신도 노유스와 대화
尋找不祥聲音的主人	Find the 'ominous voice'	불길한 목소리의 주인 찾아가기
移動至地落雨林	Go to Fallen Worry Forest	낙우림으로 이동
消滅被召喚的波亞塔	Defeat the summoned Poata	소환된 포아타 처치
和信徒奧比狄司交談	Talk to Believer Alvydas	신도 알비다스와 대화
尋找薩勒女神的信徒	Look for Goddess Saule Believers	사울레 여신의 신도를 찾아보기
和信徒拉敏塔交談	Talk to Believer Raminta	신도 라민타와 대화
消滅散佈邪惡力量的元凶	Defeat the source of the evil energy	사악한 기운을 퍼뜨리는 원흉 처치
向信徒拉敏塔報告	Report to Believer Raminta	신도 라민타에게 보고
消滅利卡烏斯	Defeat Rikaus	리카우스 처치
和信徒埃帕爾達史交談	Talk to Believer Evaldas	신도 에발다스와 대화
消滅梅羅葛咒術師	Defeat the Merog Shamans	메로그 주술사 처치
向信徒埃帕爾達史報告	Report to Evaldas	신도 에발다스에게 보고
消滅設置魔族召喚陣的梅羅葛咒術師	Defeat the Merog Shaman performing a ritual	마족 소환진을 설치하고 있는 메로그 주술사 처치
和信徒查內塔交談	Talk to Believer Zaneta	신도 자네타와 대화
破壞魔族召喚水晶	Destroy the Demon Summoning Crystal	마족 소환 수정 파괴
向信徒查內塔報告	Report to Believer Zaneta	신도 자네타에게 보고
和信徒希瑪史交談	Talk to Believer Simas	신도 시마스와 대화
向信徒希瑪史報告	Report to Believer Simas	신도 시마스에게 보고
破壞召喚水晶	Destroy the Demon Summoning Crystal	소환 수정 파괴
和信徒奧奴泰交談	Talk to Believer Onute	신도 오누테와 대화
向信徒奧奴泰報告	Report to Believer Onute	신도 오누테에게 보고
和信徒普羅紐斯交談	Talk to Believer Bronius	신도 브로뉴스와 대화
消滅襲擊的梅羅葛	Defeat the Merogs	습격해온 메로그들 처치하기
消滅企圖攻擊信徒的怪物	Defeat the monsters trying to kill the Believer	신도를 공격하려는 몬스터 처치
和薩勒女神的信徒沙曼塔交談	Talk to Believer Samantha	사울레 여신의 신도 사만타와 대화
保護祭壇不被怪物侵犯	Protect the altar from the monsters	몬스터로부터 제단 지키기
確認史比愛沙丘陵地	Check Sviesa Hill Areas	스비에사 구릉지 확인
和信徒猶勒卡交談	Talk to Believer Jurga	신도 유르가와 대화
守護佛蘭普的根的魔龍凱拉斯	Defeat Gaigalas	브람블의 뿌리를 지키는 가이갈라스
破壞佛蘭普的根	Destroy Bramble's Root	브람블의 뿌리 파괴
收集梅修花怪的口水，並將它與尖刺花覺醒劑相調合	Get Merog's stinger and make Thorn Flower stimulant	메로그의 침을 구해 가시꽃 각성제 조합
確認坦基塔空地	Check Tankinta Vacant Lot	탄킨타 공터 확인
消滅守護佛蘭普的根的莫雷克	Defeat Molich	브람블의 뿌리를 지키는 몰렉 처치
和信徒卡基斯交談	Talk to Believer Kazis	신도 카지스와 대화
淨化卡拉達斯小路	Purify Karadas Path	카라다스 오솔길 정화하기
消滅佛蘭普且找回啟示	Defeat Bramble and retrieve the revelation	브람블을 처치하고 계시 되찾기
獲得啟示	Retrieve the revelation	계시 획득
消滅佛蘭普	Defeat Bramble	브람블 처치
拜託薩勒女神解釋啟示	Ask Goddess Saule about the revelation	사울레 여신에게 계시 해석을 부탁하기
為了解釋啟示，請回到薩勒女神那裏去。	You need to go back to Goddess Saule to ask for the meanings	계시의 해석을 위해 사울레 여신에게 되돌아가야 합니다.
和安德伊村莊元老交談	Talk to the Old Man of Andale Village	안데일 마을 원로와 대화
去找安德伊村莊神官	Go to the Andale Village Priest	안데일 마을 신관 찾아가기
和村莊神官交談	Talk to the Village Priest	마을 신관과 대화
在白橡樹森林取得樹木津液	Collect tree sap from White Oak Forest	갈참나무 숲에서 나무 진액 구하기
前往針刺樹木祭壇	Go to the Thorn Tree Altar	가시나무 제단으로 가기
在針刺樹木祭壇回收染料	Retrieve Dye from Thorn Tree Altar	가시나무 제단에서 염료 회수
修復方尖塔	Restore the Obelisk	오벨리스크 복원
向藍樹高原的村莊移動	Go to the village at Indigo Tree Plateau	쪽빛나무 고원의 마을로 이동
前往尼普利托溪谷	Go to Nefrito Valley	네프리토 계곡으로 가기
消滅魔地獸	Defeat Moldyhorn	몰디혼 처치
確認針刺樹木祭壇	Check the Thorn Tree Altar	가시나무 제단 확인
消滅對不祥氣息產生反應的怪物	Defeat the monsters that reacted to the ominous energy	불길한 기운에 반응한 몬스터 처치
確認方尖塔	Check the Obelisk	오벨리스크 확인
消滅湛藍樹精	Defeat Blue Woodspirit	푸른 우드스피릿 처치
去找安德伊村莊的祭司	Find the Andale Village Priest	안데일 마을의 사제 찾아가기
和安德伊村莊的祭司交談	Talk to the Andale Village Priest	안데일 마을의 사제와 대화
和安德伊村莊的村長交談	Talk to Andale Village Headman	안데일 마을의 촌장과 대화
尋找炸藥	Find a Useful Bomb	폭약 찾기
對沉睡的伍潘特使用無力草炸彈	Use the Languid Bomb on the sleeping Upents	잠든 우펜트에게 나른초 폭탄 사용
確認草伽藍址的傳點	Check the portal at Grassy Brookside	풀가람 터의 포탈 확인
消滅魔族居民	Defeat Demon Resident	마족 주민 처치
前往老舊的井	Go to the old well	낡은 우물로 가기
尋找能放入老舊的井中的物品	Look for something to put in the old well	낡은 우물 속에 넣어볼만한 물건 찾기
前往德慕尼溼地	Go to Dvyni Wetland	드뷔니 습지로 가기
前往沙克內雷絕壁山麓	Go to Saknele Cliff	사크넬레 절벽기슭으로 가기
小心觀看者的奸計	Beholder's Careful Trick	주시자의 간계 조심하기
和飾品商人交談	Talk to the Accessory Merchant	악세서리 상인과 대화
和長橋溪谷的莫勒庫斯‧尤那斯見面	Meet Morkus Jonas in Overlong Bridge Valley	긴다리 계곡의 모르쿠스 요나스 만나기
地落雨林	Fallen Worry Forest	낙우림
和士兵傑伊司交談	Talk to Soldier Jace	병사 제이스와 대화
尋找士兵的遺物	Retrieving Soldiers' Mementos	병사들의 유품 찾아오기
消滅布貝掠奪者	Defeat Vubbe Thief	부베 약탈자를 처치
和士兵艾德嘉交談	Talk to Soldier Edgar	병사 에드가와 대화
找回布貝奪走的糧食	Retrieve the stolen food supplies from the Vubbes	부베가 약탈한 식량 되찾기
移動至諾爾高原	Go do Leaf Veil Plateau	너울 고원으로 이동
礦山村莊	Miners' Village	광산 마을
的雙子之橋往下方走就會出現的	is found at the further right of the 	의 쌍둥이 다리에서 아래쪽으로 내려가면 나오는 
銀水峽谷	Silverstream Gorge	은수 협곡
從　再往右邊繼續走的話	which is located below the twin bridge of 	에서 오른쪽으로 더 들어가면 
諾爾高原	Leaf Veil Plateau	너울고원
諾爾高原	Leaf Veil Plateau	너울 고원
移動到佩迪米安	Go to Fedimian	페디미안으로 이동
佩迪米安	Fedimian	페디미안
移動至石柱台	Go to Stone Pole Platform	석주대로 이동
和羅藍塔斯尤那斯見面	Meet Rolandas Jonas	롤란다스 요나스 만나기
和藥師大叔交談	Talk to the Pharmacist Lady	약사 아가씨와 대화
交出藥材	Give medicinal ingredients to Pharmacist Lady	약 재료 건네 주기
藥師大叔的委託	Pharmacist's Favor	약사 아가씨의 부탁
取得藥材	Get medicinal ingredients	약 재료 구해 오기
取得盔甲零件	Get armor parts	아머 부속 구하기
取得材料	Get materials	재료 구하기
交出材料	Bring the materials	재료 가져다 주기
前往拉姆斯堤斯峽谷解除封印	I'll go to Ramstis Ridge and release the seals	람스티스 협곡으로 가서 봉인을 풀겠다고 한다
協助克莉妲前往佩迪米安外圍	Let's go help Grita at Fedimian Suburbs	그리타를 도우러 페디미안 외곽으로 가자
關於奈普里塔斯懸崖的結界	About the barriers in Nefritas Cliff	네프리타스 벼랑의 결계에 대해
貓頭鷹之墓試驗	Owl Burial Ground Test	매너클 묘지 시험
斯拉屋塔斯峽谷的暴君	Tyrant of the Srautas Gorge	스라우타스 협곡의 폭군
懶惰的詛咒-靈魂的攻擊	Curse of Laziness - Soul Attack	나태의 저주 - 영혼의 공격
給予肖像畫和手帕	Give the portrait and handkerchief	초상화와 손수건을 주자
離開位子	Leave your spot	자리를 떠난다
拿出夢魔之眼	Show the Succubus Eyes	서큐버스의 눈을 보여 준다
關於感興趣的理由	About the reason of concern	관심을 가지는 이유에 대해
克巴伊拉斯森林更緊急	Kvailas Forest is more urgent	크바일라스 숲이 더 급하다고 한다
淨化克巴伊拉斯森林(1)	Purify Kvailas Forest (1)	크바일라스 숲 정화(1)
淨化克巴伊拉斯森林(2)	Purify Kvailas Forest (2)	크바일라스 숲 정화(2)
材料合成中/FLASK/3/TRACK_BEFORE/None	Combining materials/FLASK/3/TRACK_BEFORE/None	재료 합성 중/FLASK/3/TRACK_BEFORE/None
瀰漫不祥氣息的耶魯薛可祭壇	Ominous Energy at Ershike Altar	불길한 기운이 감도는 에르쉬케 제단
正在拿出物品/DRAW/3/TRACK_BEFORE/None	Taking out things/DRAW/3/TRACK_BEFORE/None	물건 꺼내는 중/DRAW/3/TRACK_BEFORE/None
阿克梅斯山脊的羅藍塔斯尤那斯	Rolandas Jonas of Akmens Ridge	아크멘스 능선의 롤란다스 요나스
前往克巴伊拉斯森林	To Kvailas Forest	크바일라스 숲으로
前往凱利高原	To Gele Plateau	겔리 고원으로
可疑的短劍(3)	The Suspicious Dagger (3)	수상한 단검(3)
詢問是否有人了解毒	Do you know someone who is familiar with poison?	독을 잘 아는 사람을 아는지 묻는다
詢問解毒劑的事情	Ask about the antidote	해독제에 대해 묻는다
消滅凱吉青苔泥人	Defeat Gazing Golem	게이징 골렘 처치
在碑石路的紀念碑材料中採取岩石	Collect stones from Stele Road	비석로에서 추모비 재료 중 바위 채취
抵達礦山村莊	Arrive at the Miners' Village	광산 마을 도착
在佩迪米安外圍和克莉妲交談	Talk to Grita at Fedimian Suburbs	페디미안 외곽에서 그리타와 대화
解除堤塔斯峽谷的所有封印裝置	Release all seals of Tiltas Valley	틸타스 협곡의 모든 봉인 장치 해제
前往札卡里耶爾交叉路的王陵入口	Enter the entrance to Royal Mausoleum in Zachariel Crossroads	자카리엘 교차로의 왕릉입구로 들어가기
解除比爾夏祭壇封印	Break the Sviesa Altar Seal	비에샤 제단 봉인 해제
奈普里塔斯懸崖/泰內花園	Neritas Cliff/Tenet Garden	네프리타스 벼랑/테넷 화원
消滅來自貓頭鷹之墓的怪物	Defeat the monsters in Owl Burial Ground	매너클 묘지에서 나오는 몬스터 처치
消滅蓮帕拉沙池塘的怪物	Defeat the monsters in Lemprasa Pond	렘파라사 연못의 몬스터 처치
前往貝雅山谷一帶搜索傳點	Search the portal in Veja Ravine	베야 골짜기 일대에서 포탈 수색
札卡里耶爾交叉路的寶箱	Treasure Chest of Zachariel Crossroads	자카리엘 교차로의 보물상자
帕修克堤蜿蜒路上方的懶惰樹根水晶	Tree Root Crystal of Laziness in the upper area of Posukis Path Plaza	파수크티 굽잇길 광장 위쪽의 나태의 나무뿌리 수정
朝聖者的靈魂分離	Separate the soul of pilgrim	순례자의 영혼 분리
消滅衛塔斯變身成的地錢苔王	Defeat King Liverwort that Witas transformed into	위타스가 변해버린 킹 우산이끼 처치
前往克巴伊拉斯森林	Move to Kvailas Forest	크바일라스 숲으로 이동
前往耶魯薛可祭壇	Go to the Ershike Altar	에르쉬케 제단으로 가기
前往耶魯薛可祭壇回收染料	Retrieve dye from the Ershike Altar	에르쉬케 제단에서 염료 회수
移動至科博爾特森林的村莊	Move to Cobalt Forest	코발트 숲의 마을로 이동
確認耶魯薛可祭壇 	Check the Ershike Altar	에르쉬케 제단 확인
確認貝雅山谷的傳點	Check the portal of Veja Ravine	베야 골짜기의 포탈 확인
前往阿克梅斯山脊	Move to Akmens Ridge	아크멘스 능선으로 이동
克巴伊拉斯森林	Kvailas Forest	크바일라스 숲
前往凱利高原	Travel to Gele Plateau	겔리 고원으로 이동
凱利高原	Gele Plateau	겔리 고원
將利迪梅得的葉片跟藥混在一起製作解毒劑	Craft an antidote by mixing Ridimed Leaves and potions	리디메드의 잎과 약을 섞어 해독제 만들기
 按著按鍵在休息狀態下 	 key to enter Rest Mode and press the 	 키를 눌러 휴식상태에서 
將解毒劑交給奇堤斯	Give antidote to Gytis	기티스에게 해독제 전달
解除結界中/SITGROPE/2/TRACK_BEFORE/None	Releasing barrier/SITGROPE/2/TRACK_BEFORE/None	결계 해제 중/SITGROPE/2/TRACK_BEFORE/None
找尋巴奇斯的資料中SITGROPE_LOOP/3/TRACK_BEFORE/None	Looking for information on Varkis/SITGROPE_LOOP/3/TRACK_BEFORE/None	바키스의 자료를 찾는 중/SITGROPE_LOOP/3/TRACK_BEFORE/None
消滅利托雷克斯	Defeat Lithorex	리토렉스 처치
可以拜託你去稍微清理一下怪物嗎？	Could you take care of them? 	좀 정리를 부탁해도 될까?
還有事情嗎？	You still have business here?	아직 볼 일이 남았나?
記錄中/ABSORB/2/TRACK_BEFORE/None	Recording/ABSORB/2/TRACK_BEFORE/None	기록 중/ABSORB/2/TRACK_BEFORE/None
在石柱上採集石頭中/#SITGROPESET2/0/TRACK_AFTER/None	Collecting stones from the pillar/#SITGROPESET2/0/TRACK_AFTER/None	기둥에서 돌 채취 중/#SITGROPESET2/0/TRACK_AFTER/None
安裝石頭中	Installing stone/BURY/2/TRACK_BEFORE/SSN_HATE_AROUND	돌을 설치 하는 중/BURY/2/TRACK_BEFORE/SSN_HATE_AROUND
引誘中/BURY/3/TRACK_BEFORE/SSN_HATE_AROUND	Luring/BURY/3/TRACK_BEFORE/SSN_HATE_AROUND	유인 중/BURY/3/TRACK_BEFORE/SSN_HATE_AROUND
與雷克西波交談有關祭壇的事	Explain about the Rexipher and the clues	렉시퍼와 단서에 대해 설명해 준다
關於這個地方的祭壇	About the Altar here	이 곳의 제단에 대해
啟用伽德克的祭壇	Activate the Tzedej Altar	체데크의 제단 활성화
搜尋雷克西波的行蹤	Find Rexipher	렉시퍼의 행방 추적
比雷克西波先啟用史愛比沙祭壇	Activate Sevisa altar before Rexipher	렉시퍼보다 먼저 스에비사 제단 활성화
啟用比爾夏祭壇	Activate the Sviesa Altar	비에샤 제단 활성화
消滅實驗體史萊姆	Defeat Experimental Slime	실험체 슬라임 처치
哥拉斯的擔憂(3)	Gorath's Concern (3)	고라쓰의 걱정(3)
轉交活性石/MAKING/2/TRACK_BEFORE/None	Deliver the activated stone/MAKING/2/TRACK_BEFORE/None	활성석 전달하기/MAKING/2/TRACK_BEFORE/None
確認碑石/READ/2/TRACK_BEFORE/None	Check Monument/READ/2/TRACK_BEFORE/None	비석 확인/READ/2/TRACK_BEFORE/None
拓印作業進行中/MAKING/3/TRACK_BEFORE/None/F_lineup001/1/MID	Working on the copy/MAKING/3/TRACK_BEFORE/None/F_lineup001/1/MID	탁본 작업 중/MAKING/3/TRACK_BEFORE/None/F_lineup001/1/MID
確認中/MAKING/3/TRACK_BEFORE/None/F_lineup001/1/MID	Checking/MAKING/3/TRACK_BEFORE/None/F_lineup001/1/MID	확인 중/MAKING/3/TRACK_BEFORE/None/F_lineup001/1/MID
前往大餓鬼路	To Starving Demon's Way	큰아귀 길로
往奇堤斯的開墾地	To Pioneering area of Gytise	기티스의 개척지로
再和騎士堤塔斯交談	Talk to Knight Titas again	기사 티타스와 다시 대화
利用營火燒毀研究日誌	Extinguished the research diary on the fire place	연구 일지 모닥불에 소각
去找柯拉佩達鐵匠	Meet the Blacksmith of Klaipeda	클라페다 대장장이 만나기
和水晶礦山第 1層樓的拜杜塔斯交談	Talk to Vaidotas in Crystal Mine 1F	수정광산 1층의 바이도타스와 대화
啟動防禦啟動裝置	Activate the Barrier Device	방어막 가동 장치 가동
再次詢問史學家希來尼亞‧歐德爾關於雷克西波的行蹤	Ask Historian Cyrenia Odell about Rexipher's whereabouts	사학자 시레니아 오델에게 렉시퍼의 행방 다시 묻기
比雷克西波更早一步啟動比爾夏祭壇	Activate the Sviesa Altar before Rexipher does	렉시퍼보다 먼저 비에샤 제단 활성화
獲得綠頭鴨的脂肪	Obtain Mallardu Fat	말라두의 지방 획득
修復露克立斯的紀念碑	Restore the monument of Ruklys	루클리스의 추모비 복원
消滅赤紅礦石龜	Defeat Red Infrorocktors	붉은 인프로 락터 처치
消滅亞魯瑪取得封印石的聲音	Obtained the Sealed Stone's Voices by defeating Armas	아르마를 처치하여 봉인석의 목소리 획득
擊退灰色青苔泥人	Defeat Gray Golem	회색 골렘 퇴치
和女神薩勒交談	Talk to Goddess Saule	여신 사울레와 대화
請消滅方尖塔附近的湛藍樹精。	Defeat the Blue Woodspirit that appeared near the Obelisk	오벨리스크 근처에 나타난 푸른 우드스피릿을 처치하세요.
前往大餓鬼路	Move to Starving Demon's Way	큰아귀 길로 이동
請前往大餓鬼路。	Move to Starving Demon's Way	큰아귀 길로 이동하세요.
前往大餓鬼路	Move to Starving Demon's Way	큰아귀길로 이동
前往魔族收監所第1區	To Demon Prison District 1	마족수감소 1구역으로
前往魔族收監所第1區	Move to Demon Prison District 1	마족수감소 1구역으로 이동
請前往魔族收監所第1區	Move to Demon Prison District 1	마족수감소 1구역으로 이동 이동하세요
巴奇斯的靈魂	Varkis' Spirit	바키스의 영혼
永遠的探險(1)	The Eternal Adventure (1)	영원한 탐험(1)
永遠的探險(2)	The Eternal Adventure (2)	영원한 탐험(2)
永遠的探險(3)	The Eternal Adventure (3)	영원한 탐험(3)
永遠的探險(4) - 刪除	The Eternal Adventure (4) - Deleted	영원한 탐험(4) - 삭제 됨
我認為稍微休息一下會比較好	Tell her that it would be better to take some rest here	조금만 쉬었다 가는 게 좋을 것 같다고 한다
從巴奇斯遺失的背包中回收日誌	Retrieve the Research Materials from Varkis' lost bag	바키스가 잃어버린 가방에서 일지 회수
前往巴奇斯的營地	Go to Camp of Varkis	바키스의 캠프로 이동
在迪基內岔路收集巴奇斯的資料	Collect Varkis' Research Materials at Dykyne Fork	디키네 갈림길에서 바키스의 자료 수집
在蛇之頸絕壁收集巴奇斯的資料	Collect Varkis' Research Materials at Neck Cliff of Snake	뱀의 목 절벽에서 바키스의 자료를 수집
在阿帕堤懸崖附近尋找巴奇斯的資料	Look for Varkis' Research Materials near Apatinis Cliff	아파티 벼랑 근처에서 바키스의 자료를 찾기
珍的靈魂	Jane's Spirit	제인의 영혼
聽說迎接死亡後，有另一個死亡的世界存在…	The world for the dead of the dead should also exist	죽음이 죽음을 맞이한 이후의 세계도 존재할 지니
阿爾魯達	Alruida	알뤼다
可以幫我將這個整理本交給尤斯達斯嗎？	Can you give this to Justas?	이 정리본을 유스타스에게 전해 주시겠어요?
柯拉佩達市長的靈魂	Klaipeda Mayor's Spirit	클라페다 시장의 영혼
祭司拉美莉耶	Priest Ramelie	사제 라멜리에
滑鼠點擊以確認地圖#7	key to check the map #7	 키를 눌러 지도를 확인하세요#7
就這樣離開吧	Leave	그만 떠난다
尋找巴奇斯的資料中	Looking for the documents of Varkis	바키스의 자료를 찾는 중
尋找巴奇斯藏起來的材料中	Looking for the document which Varkis hid/#SITGROPESET2/3/TRACK_BEFORE/SSN_HATE_AROUND	바키스가 숨겨둔 자료 찾는 중/#SITGROPESET2/3/TRACK_BEFORE/SSN_HATE_AROUND
Notice/上面寫著阿帕堤懸崖裡藏有下個材料#5	Notice/It is written that the next document is hidden at Apatinis Cliff#5	Notice/아파티 벼랑에 다음 자료를 숨겨 두었다고 적혀 있습니다#5
記錄中	Recording	기록 중
準備柴火中	Preparing the firewood	장작 준비중
修理淨化裝置中	Repairing the Purifier	정화장치 수리 중
確認淨化管中	Checking the Purifier Pipe	정화관 확인 중
啟動淨化裝置中	Activating the purifier	정화장치 가동 중
觀察石材中	Looking at the stone	석재를 살펴 보는 중
組裝石頭中	Setting the stones	돌을 설치 하는 중
解除封印中	Unleashing the seal	봉인 해제 중
說明治療師小姐的位置中	Explaining the location of the Healer Lady	치유사 아가씨의 위치 설명 중
設置誘餌中	Setting the baits	미끼 설치 중
設置甕中	Placing the pot	항아리 설치 중
點燈吧(2)	Light the Fire (2)	불을 밝혀라(2)
確認石燈	Examining the lamp	석등 확인
Notice/霍倫的強烈氣息正環繞著整個身體。#5	Notice /Wheelen's strong force is wrapping the whole body#5	Notice/휠렌의 강력한 기운이 온 몸을 감싸고 있습니다#5
確認碑石	Examining the monument	비석 확인
操作中	Controlling	조작 중
啟動魔法師塔的封鎖裝置	Activate the Mage Tower Barrier Device	마법사의 탑 폐쇄장치 가동
確認祭壇中	Examining the altar	제단 확인 중
聖所潛藏的啟示(1)	The Hidden Sanctum's Revelation (1)	숨겨진 성소의 계시(1)
確認中	Checking	확인하는 중
正在觀察柱子	Looking at the pillar	기둥을 살펴 보는 중
不想聽	Skip the explanation	듣지 않는다
放置護身符中	Putting the amulet	호신부 놓는 중
關於現在的狀況	About the circumstances now	지금 이 상황에 대해
確認書櫃中	Checking the bookshelf	책장 확인 중
Notice/請到上一層去見加比婭女神吧！#5	Notice /Go upstairs and find Goddess Gabija #5	Notice/윗층으로 올라가 가비야 여신을 찾으세요!#5
玷污中	Making it dirty	더럽히는 중
撫摸中	Petting	쓰다듬는 중
搜查中	Searching	수색 중
刺激(激活)中	Stimulating	자극 중
試圖觸碰中	Touching	건드려 보는 중
Notice/請利用傳點移動到大王關口傳點。#5	Notice/Use the portal and move to the gateway of the Great King #5	Notice/포탈을 이용하여 대왕의 관문으로 이동하세요#5
Notice/scroll/請利用纜車移動到對面的茲貝澤空地。#8	Notice/scroll /Use the cable car and go across to Zvelgian #8	Notice/scroll/케이블카를 이용하여 건너편의 즈벨쟌 공터로 이동하세요#8
Notice/請回到柯拉佩達與騎士團長烏斯卡對話。	Notice/Return to Klaipeda and talk to Knight Commander Uska	Notice/클라페다로 돌아가 기사단장 우스카와 대화해 보세요
要再稍微考慮一下	I'll think about it little more	잠시 더 생각해보겠다고 한다
尋油中	Looking for the oil	기름 찾는 중
拓本中	Making a rubbing	탁본 중
膜拜女神像中　	Praying to the Goddess Statue	여신상에 경배 중
調查口袋	Looking through the pocket	주머니 조사하기
Notice/scroll/請消滅喬雷並收集喬雷魔石。	Notice/scroll/Defeat Zolem and collect Zolem Demon Stones	Notice/scroll/졸렘을 처치하고 졸렘 마석을 수집하세요
撿木材	Pick up the firewood	목재 줍기
放火燒荊棘關口	Burning the thorny vines	가시 관문 태우기
觀察口袋中	Looking through the pocket	주머니를 살펴보는 중
組合	Combining	조합하기
淨化中/MAKING/2/TRACK_BEFORE/None	Purifying/MAKING/2/TRACK_BEFORE/None	정화 중/MAKING/2/TRACK_BEFORE/None
查明啟示者的身份後打算幫忙	I am the Revelator and I'll help you	계시자임을 밝히고 돕겠다고 한다
因普羅大嘴怪咒術師的襲擊	The Attack of the Infro Holders	인프로홀더 주술사의 습격
復原方尖塔中	Restoring the Obelisk	오벨리스크 복원 중
設置無力草炸彈中	Placing the bomb	나른초 폭탄 설치 중
無法脫離的靈魂	Inseparable Spirit	벗어날 수 없는 영혼
還有希望 (1)	There is a Way (1)	솟아날 구멍은 있다(1)
別這樣，找出能夠解決亞崑的方法吧。	We need to find a way to defeat Archon together	그러지 말고 아콘을 처치할 방법을 찾자고 한다
要再稍微考慮一下	I'll think a little more	조금 더 생각해본다고 한다
