攻擊	Attack	공격
* [冰槍]傷害強化為寒冰法師3階水準	* Enhances damage of [Ice Pike] to Cryomancer Circle 3 standards	* [아이스파이크] 대미지가 크리오맨서 3서클 수준으로 강화
* [冰爆術]傷害強化為寒冰法師2階水準	* Enhances damage of [Ice Blast] to Cryomancer Circle 2 standards	* [아이스 블래스트] 대미지가 크리오맨서 2서클 수준으로 강화
* [冰爆術]傷害強化為寒冰法師3階水準	* Enhances damage of [Ice Blast] to Cryomancer Circle 3 standards	* [아이스 블래스트] 대미지가 크리오맨서 3서클 수준으로 강화
* 裝備[魔杖]時角色的冰屬性攻擊力每特性等級增加3	* Increases character's Ice property attack by 3 per attribute level when equipped with a [Rod]	* [로드] 착용 시 캐릭터의 얼음 속성 공격력이 특성 레벨당 3 증가
* [冰牆]技能的持續時間增加10秒	* Increases duration of [Ice Wall] by 10 seconds	* [아이스월] 스킬의 지속시간이 10초 증가
* [念動力]傷害強化為念力法師2階水準	* Enhances damage of [Telekinesis] to Psychokino Circle 2 standards	* [텔레키네시스] 대미지가 사이코키노 2서클 수준으로 강화
* [念動力]傷害強化為念力法師3階水準	* Enhances damage of [Telekinesis] to Psychokino Circle 3 standards	* [텔레키네시스] 대미지가 사이코키노 3서클 수준으로 강화
* [靈能壓力]傷害強化為念力法師2階水準	* Enhances damage of [Psychic Pressure] to Psychokino Circle 2 standards	* [사이킥 프레셔] 대미지가 사이코키노 2서클 수준으로 강화
* [靈能壓力]傷害強化為念力法師3階水準	* Enhances damage of [Psychic Pressure] to Psychokino Circle 3 standards	* [사이킥 프레셔] 대미지가 사이코키노 3서클 수준으로 강화
* [磁力]傷害強化為念力法師3階水準	* Enhances damage of [Magnetic Force] to Psychokino Circle 3 standards	* [마그네틱 포스] 대미지가 사이코키노 3서클 수준으로 강화
* 技能[位置互換]的套用對象是我軍不是敵軍	* Applies [Swap] to allies and not enemies	* 스킬 [스왑]이 적군이 아닌 아군을 대상으로 적용
* [左臂強化]攻擊力強化效果每特性等級提升3	* Increases attack increase effect of [Swell Left Arm] by 3 per attribute level	* 특성 레벨당 [왼팔 강화] 공격력 강화 효과가 특성 레벨당 3 상승
* [右臂強化]防禦力和攻擊力強化效果{nl}    每特性等級提升3	* Increases defense and attack increase effect of [Swell Right Arm] by 3 per attribute level	* 특성 레벨당 [오른팔 강화] 방어력 및 공격력 강화 효과가{nl}    특성 레벨당 3 상승
* [大腦強化]智力增加效果每特性等級提升2	* Increases INT increase effect of [Swell Brain] by 2 per attribute level	* 특성 레벨당 [스웰 브레인] 지능 증가 효과가 특성 레벨당 2 상승
* 使用[能力調換]時短力和體力不會互換{nl}    而是各自套用智力和體力的平均值	* Applies average of INT and CON to both stats when using [Transpose]	* [트랜스포스] 사용 시 지능과 체력이 서로 바뀌지 않고{nl}    지능과 체력의 평균값이 각각 적용
* [紅焰]傷害強化為元素使2階水準	* Enhances damage of [Prominence] to Elementalist Circle 2 standards	* [홍염] 대미지가 엘리멘탈리스트 2서클 수준으로 강화
* [紅焰]傷害強化為元素使3階水準	* Enhances damage of [Prominence] to Elementalist Circle 3 standards	* [홍염] 대미지가 엘리멘탈리스트 3서클 수준으로 강화
* [冰雹]傷害強化為元素使2階水準	* Enhances damage of [Hail] to Elementalist Circle 2 standards	* [헤일] 대미지가 엘리멘탈리스트 2서클 수준으로 강화
* [冰雹]傷害強化為元素使3階水準	* Enhances damage of [Hail] to Elementalist Circle 3 standards	* [헤일] 대미지가 엘리멘탈리스트 3서클 수준으로 강화
* [電擊]傷害強化為元素使2階水準	* Enhances damage of [Electrocute] to Elementalist Circle 2 standards	* [일렉트로큐트] 대미지가 엘리멘탈리스트 2서클 수준으로 강화
* [電擊]傷害強化為元素使3階水準	* Enhances damage of [Electrocute] to Elementalist Circle 3 standards	* [일렉트로큐트] 대미지가 엘리멘탈리스트 3서클 수준으로 강화
* [隕石]傷害強化為元素使3階水準	* Enhanced damage of [Meteor] to Elementalist Circle 3 standards	* [메테오] 대미지가 엘리멘탈리스트 3서클 수준으로 강화
* 角色的SP恢復力每特性等級增加1	* increases character's SP recovery by 1 per attribute level	* 캐릭터의 SP 회복력이 특성 레벨당 1씩 증가
* 技能[攻擊領域]的冷卻時間減少2秒	* Decreases cooldown time of [Attack Ground] by 2 seconds	* 스킬 [어택 그라운드]의 재사용 대기시간이 2초 감소
* 技能[待命]的冷卻時間減少2秒	* Decreases cooldown time of [Hold] by 2 seconds	* 스킬 [홀드]의 재사용 대기시간이 2초 감소
* 技能[時間暫停]的SP消耗減少40	* Decreases SP consumption of [Stop] by 40	* 스킬 [스톱]의 소모 SP가 40 감소
* 被召喚的修格斯的攻擊力每特性等級增加1	* Increases attack of the summoned Shoggoth by 1 per attribute level	* 소환된 쇼고스의 공격력이 특성 레벨당 1 증가
* 被召喚的咒屍塔攻擊力每特性等級增加1	* Increases attack of the summoned Corpse Tower by 1 per attribute level	* 소환된 콥스타워의 공격력이 특성 레벨당 1 증가
* 被死靈法師技能命中後陷入[腐敗]Debuff時{nl}    敵人所穿戴的裝備會暫時腐敗變得無效	* Corruption caused by Necromancer skills will temporarily nullify enemy gear	* 네크로맨서 스킬로 인해 [부패] 디버프에 걸렸을 떄{nl}    적이 장착한 장비 아이템을 일시적으로 부패시켜 무력하게 만듬
* 死靈之書的最大屍體持有量每特性等級增加100	* Increases Necronomicon's maximum corpse capacity by 100 per attribute level	* 네크로노미콘의 최대 사체 보유량이 특성 레벨당 100 증가
* 技能[挖掘]的冷卻時間減少10秒	* Decreases cooldown time of [Dig] by 10 seconds	* 스킬 [디그]의 재사용 대기시간이 10초 감소
* 當附近沒有掉落的道具時{nl}    使用身上200銀幣對前方造成爆作傷害	* Creates explosion using 200 silver when there are no dropped items nearby	* 주변에 드랍된 아이템이 없을 때, 소지한 200 실버를{nl}    사용해 전방에 폭발 대미지
* 進行[熔合]技能時可選擇主武器或是材料武器的外型	* Allows for [Briquetting] to change the appearance of a main weapon or material weapon	* [브리케팅]시 주 무기 또는 재료 무기의 외형 선택 가능
* 在[道具喚醒]地下城登場的怪物個體數減少 	* Reduces number of monsters in [Item Awakening] dungeon	* [아이템 어웨이크닝] 던전에서 등장하는 몬스터의 개체수 감소
* 以[吸血]吸收的HP量每特性等級增加1	* Increases HP absorbed by 1 per attribute level	* [흡혈]로 흡수하는 HP량이 특성 레벨당 1 증가
* 以[血浴]吸收的SP量每特性等級增加1	* Increases SP absorbed by 1 per attribute level	* [블러드배쓰]로 흡수하는 SP량이 특성 레벨당 1 증가
* 可使用魔法粉末製作附魔彈{nl}* 在休息模式下也可製作附魔彈	* Allows you to craft Enchant Rounds using Magic Powder on Rest Mode	* 마법 가루를 이용하여 인챈트탄 제작 가능{nl}* 인챈트탄 제작은 휴식모드에서 가능
* 傳點的欄位數量每特性等級增加1	* Increases portal slot number by 1 per attribute level	* 포탈의 슬롯수가 특성 레벨당 1 증가
* [多重射擊]傷害強化為弓箭手2階水準	* Enhances damage of [Multi Shot] to Archer Circle 2 standards	* [멀티샷] 대미지가 아처 2서클 수준으로 강화
* [多重射擊]傷害強化為弓箭手3階水準	* Enhances damage of [Multi Shot] to Archer Circle 3 standards	* [멀티샷] 대미지가 아처 3서클 수준으로 강화
* [滿弦]傷害強化為弓箭手2階水準	* Enhances damage of [Full Draw] to Archer Circle 2 standards	* [풀드로우] 대미지가 아처 2서클 수준으로 강화
* [滿弦]傷害強化為弓箭手3階水準	* Enhances damage of [Full Draw] to Archer Circle 3 standards	* [풀드로우] 대미지가 아처 3서클 수준으로 강화
* [跪射]的物理攻擊力增加效果每特性等級提升1	* Enhances physical damage increase effect of [Kneeling Shot] by 1 per attribute level	* 특성 레벨당 [닐링샷]의 물리 공격력 증가 효과가 1 상승
* [斜射]傷害強化為弓箭手3階水準	* Enhances damage of [Oblique Shot] to Archer Circle 3 standards	* [오블리크 샷] 대미지가 아처 3서클 수준으로 강화
* [強力射擊]傷害強化為弓箭手3階水準	* Enhances damage of [Heavy Shot] is to Archer Circle 3 standards	* [헤비샷] 대미지가 아처 3서클 수준으로 강화
* [跪射]狀態下可使用部份技能	* Allows you to use some skills in the [Kneeling Shot] position	* [닐링샷] 상태에서 일부 스킬 사용 가능
* [扇射]傷害強化為遊俠2階水準	* Enhanced damage of [Barrage] to Ranger Circle 2 standards	* [배라지] 대미지가 레인저 2서클 수준으로 강화
* [扇射]傷害強化為遊俠3階水準	* Enhanced damage of [Barrage] to Ranger Circle 3 standards	* [배라지] 대미지가 레인저 3서클 수준으로 강화
* [貫通箭]傷害強化為遊俠2階水準	* Enhances damage of [High Anchoring] to Ranger Circle 2 standards	* [하이앵커링] 대미지가 레인저 2서클 수준으로 강화
* [貫通箭]傷害強化為遊俠3階水準	* Enhances damage of [High Anchoring] to Ranger Circle 3 standards	* [하이앵커링] 대미지가 레인저 3서클 수준으로 강화
* [穩定瞄準]的追加傷害每特性等級增加2	* Increases additional damage effect of [Steady Aim] by 2 per attribute level	* 특성 레벨당 [스테디에임]의 추가대미지가 2 증가
* [暴擊射擊]傷害強化為遊俠2階水準	* Enhances damage of [Critical Shot] to Ranger Circle 2 standards	* [크리티컬 샷] 대미지가 레인저 2서클 수준으로 강화
* [暴擊射擊]傷害強化為遊俠3階水準	* Enhances damage of [Critical Shot] to Ranger Circle 3 standards	* [크리티컬 샷] 대미지가 레인저 3서클 수준으로 강화
* [定時炸彈箭]傷害強化為遊俠3階水準	* Enhances damage of [Time Spring Arrow] to Ranger Circle 3 standards	* [타임봄 애로우] 대미지가 레인저 3서클 수준으로 강화
* [丟擲鐵蒺藜]傷害強化為弩箭手2階水準	* Enhances damage of [Scatter Caltrops] to Quarrel Shooter Circle 2 standards	* [캘트롭 뿌리기] 대미지가 쿼렐슈터 2서클 수준으로 강화
* [丟擲鐵蒺藜]傷害強化為弩箭手3階水準	* Enhances damage of [Scatter Caltrops] to Quarrel Shooter Circle 3 standards	* [캘트롭 뿌리기] 대미지가 쿼렐슈터 3서클 수준으로 강화
* [石彈射擊]傷害強化為弩箭手2階水準	* Enhances damage of [Stone Shot] to Quarrel Shooter Circle 2 standards	* [스톤샷] 대미지가 쿼렐슈터 2서클 수준으로 강화
* [石彈射擊]傷害強化為弩箭手3階水準	* Enhances damage of [Stone Shot] to Quarrel Shooter Circle 3 standards	* [스톤샷] 대미지가 쿼렐슈터 3서클 수준으로 강화
* [連續射擊]傷害強化為弩箭手3階水準	* Enhances damage of [Rapid Fire] to Quarrel Shooter Circle 3 standards	* [래피드파이어] 대미지가 쿼렐슈터 3서클 수준으로 강화
* [拆除]傷害強化為弩箭手3階水準	* Enhances damage of [Teardown] to Quarrel Shooter Circle 3 standards	* [철거] 대미지가 쿼렐슈터 3서클 수준으로 강화
* [奔跑射擊]傷害每特性等級提升。	* Increases damage of [Running Shot] per attribute level	* 특성 레벨당 [런닝샷] 대미지가 상승합니다.
* [掃蕩陷阱]傷害強化為工兵2階水準	* Enhances damage of [Broom Trap] to Sapper Circle 2 standards	* [브룸트랩] 대미지가 새퍼 2서클 수준으로 강화
* [掃蕩陷阱]傷害強化為工兵3階水準	* Enhances damage of [Broom Trap] to Sapper Circle 3 standards	* [브룸트랩] 대미지가 새퍼 3서클 수준으로 강화
* [闊劍地雷]傷害強化為工兵2階水準	* Enhanced damage of [Claymore] to Sapper Circle 2 standards	* [크레모어] 대미지가 새퍼 2서클 수준으로 강화
* [闊劍地雷]傷害強化為工兵3階水準	* Enhanced damage of [Claymore] to Sapper Circle 3 standards	* [크레모어] 대미지가 새퍼 3서클 수준으로 강화
* [竹尖釘]傷害強化為工兵2階水準	* Enhances damage of [Punji Stake] to Sapper Circle 2 standards	* [푼지스테이크] 대미지가 새퍼 2서클 수준으로 강화
* [竹尖釘]傷害強化為工兵3階水準	* Enhances damage of [Punji Stake] to Sapper Circle 3 standards	* [푼지스테이크] 대미지가 새퍼 3서클 수준으로 강화
* [引爆陷阱]傷害強化為工兵2階水準	* Enhances damage of [Detonate Traps] to Sapper Circle 2 standards	* [데토네이트 트랩] 대미지가 새퍼 2서클 수준으로 강화
* [引爆陷阱]傷害強化為工兵3階水準	* Enhances damage of [Detonate Traps] to Sapper Circle 3 standards	* [데토네이트 트랩] 대미지가 새퍼 3서클 수준으로 강화
* [人質炸彈]傷害強化為工兵3階水準	* Enhances damage of [Collar Bomb] to Sapper Circle 3 standards	* [인질 폭탄] 대미지가 새퍼 3서클 수준으로 강화
* [吹箭]傷害強化為巫蠱師2階水準	* Enhances damage of [Needle Blow] to Wugushi Circle 2 standards	* [취시] 대미지가 무고사 2서클 수준으로 강화
* [吹箭]傷害強化為巫蠱師3階水準	* Enhances damage of [Needle Blow] to Wugushi Circle 3 standards	* [취시] 대미지가 무고사 3서클 수준으로 강화
* [蜈蚣蠱]傷害強化為巫蠱師2階水準	* Enhances damage of [Wugong Gu] to Wugushi Circle 2 standards	* [오공고] 대미지가 무고사 2서클 수준으로 강화
* [蜈蚣蠱]傷害強化為巫蠱師3階水準	* Enhances damage of [Wugong Gu] to Wugushi Circle 3 standards	* [오공고] 대미지가 무고사 3서클 수준으로 강화
* [毒罐]傷害強化為巫蠱師3階水準	* Enhances damage of [Throw Gu Pot] to Wugushi Circle 3 standards	* [독항아리] 대미지가 무고사 3서클 수준으로 강화
* 敵人所受到的[吹箭]毒傷害每特性等級增加2	* Increases poison damage dealt with [Needle Blow] by 2 per attribute level	* 적에게 입히는 [취시]의 독 대미지가 특성 레벨당 2 증가
* 敵人所受到的[蜈蚣蠱]毒傷害每特性等級增加2	* Increases poison damage dealt with [Wugong Gu] by 2 per attribute level	* 적에게 입히는 [오공고]의 독 대미지가 특성 레벨당 2 증가
* [響箭]傷害強化為斥候2階水準	* Enhances damage of [Flu Flu] to Scout Circle 2 standards	* [플루플루] 대미지가 스카우트 2서클 수준으로 강화
* [響箭]傷害強化為斥候3階水準	* Enhances damage of [Flu Flu] to Scout Circle 3 standards	* [플루플루] 대미지가 스카우트 3서클 수준으로 강화
* [燃燒箭]傷害強化為斥候2階水準	* Enhances damage of [Flare Shot] to Scout Circle 2 standards	* [플레어 샷] 대미지가 스카우트 2서클 수준으로 강화
* [燃燒箭]傷害強化為斥候3階水準	* Enhances damage of [Flare Shot] to Scout Circle 3 standards	* [플레어 샷] 대미지가 스카우트 3서클 수준으로 강화
* [仇殺]傷害強化為流氓3階水準	* Enhances damage of [Vendetta] to Rogue Circle 3 standards	* [벤데타] 대미지가 로그 3서클 수준으로 강화
* [闊箭]傷害強化為造箭者2階水準	* Enhances damage of [Broadhead] to Fletcher Circle 2 standards	* [브로드헤드] 대미지가 플레쳐 2서클 수준으로 강화
* [錐箭]傷害強化為造箭者2階水準	* Enhances damage of [Bodkin Point] to Fletcher Circle 2 standards	* [보드킨 포인트] 대미지가 플레쳐 2서클 수준으로 강화
* [荊棘箭]傷害強化為造箭者2階水準	* Enhances damage of [Barbed Arrow] to Fletcher Circle 2 standards	* [바브드애로] 대미지가 플레쳐 2서클 수준으로 강화
* [交叉火力]傷害強化為造箭者2階水準	* Enhances damage of [Crossfire] to Fletcher Circle 2 standards	* [크로스파이어] 대미지가 플레쳐 2서클 수준으로 강화
* 被技能[闊箭]攻擊的敵人狀能[出血]的持續時間每特性等級增加2秒	* Increases duration of [Bleeding] by 2 seconds per attribute level when an enemy is hit by [Broadhead]	* 스킬 [브로드헤드]로 피격된 적 상태 [출혈]의 지속시간이 특성 레벨당 2초 증가
* [主動攻擊]時不讓隼鷹使用懸停。	* The hawk will not use [Hovering] when [Pre-Emptive Strike] is being used	* [선제 공격] 시 매가 호버링을 사용하지 않게 됩니다.
* [主動攻擊]時不讓隼鷹使用音速突擊	* The hawk will not use [Sonic Strike] when [Pre-Emptive Strike] is being used	* [선제 공격] 시 매가 음속타를 사용하지 않게 됩니다.
* 使用技能[逃脫射擊]時後退距離會小幅減少	* Reduces [Caracole]'s recoil	* 스킬 [카라콜] 사용시 밀려나는 거리가 소폭 감소
* 在寵物騎乘狀態下瞬間疾走移動速度增加	* Increases  movement speed of an instant dash when riding on a companion	* 컴패니언 탑승 상태에서 순간적으로 대쉬하여 이동속도가 증가
* 雙手弓和單手弓基本攻擊的射程距離每特性等級增加1	* Increases basic attack range for bows and crossbows by 1 per attribute level	* 양손활과 한손활 기본 공격의 사거리가 특성 레벨당 1 증가
* [高估] Buff的持續時間每個特性等級增加1秒	* Duration of [Overestimate] buff increased 1 second per attribute level	* [과대평가] 버프의 지속시간이 특성 레벨당 1초 증가
* [淨化]傷害強化為牧師2階水準	* Enhances damage of [Cure] to Cleric Circle 2 standards	* [큐어] 대미지가 클레릭 2서클 수준으로 강화
* [淨化]傷害強化為牧師3階水準	* Enhances damage of [Cure] to Cleric Circle 3 standards	* [큐어] 대미지가 클레릭 3서클 수준으로 강화
* [治癒] 傷害和治癒量強化為牧師2階水準	* Enhances damage and healing amount of [Heal] to Cleric Circle 2 standards	* [힐] 대미지와 치유량이 클레릭 2서클 수준으로 강화
* [治癒] 傷害和治癒量強化為牧師3階水準	* Enhances damage and healing amount of [Heal] to Cleric Circle 3 standards	* [힐] 대미지와 치유량이 클레릭 3서클 수준으로 강화
* 因為[守護聖人]獲得傷害的對象變成自己	* [Guardian Saint] selects you as the recipient of damage	* [수호성인]으로 피해를 대신 받는 대상을 자신으로 변경
* [落雷]傷害強化為聖火祭司2階水準	* Enhances damage of [Zaibas] to Krivis Circle 2 standards	* [자이바스] 대미지가 크리비 2서클 수준으로 강화
* [落雷]傷害強化為聖火祭司3階水準	* Enhances damage of [Zaibas] to Krivis Circle 3 standards	* [자이바스] 대미지가 크리비 3서클 수준으로 강화
* 角色的火屬性扺抗每特性等級增加5{nl}    黑暗屬性扺抗每特性等級減少3	* Increases the character's Fire property resistance and decreases dark property resistance by 5 and 3 per attribute level respectively	* 캐릭터의 불 속성 저항이 특성 레벨당 5 증가하고{nl}    어둠 속성 저항이 특성 레벨당 3 감소
* [暴擊魔法陣]的暴擊攻擊力每特性等級增加1	* Increases critical attack of [Zalciai] by 1 per attribute level	* 특성 레벨당 [잘챠이]의 치명타 공격력이 1 증가
* [潑灑聖水]傷害強化為聖水祭司2階水準	* Enhances damage of [Aspersion] to Priest Circle 2 standards	* [아스퍼션] 대미지가 프리스트 2서클 수준으로 강화
* [潑灑聖水]傷害強化為聖水祭司3階水準	* Enhances damage of [Aspersion] to Priest Circle 3 standards	* [아스퍼션] 대미지가 프리스트 3서클 수준으로 강화
*  [祝福]的追加傷害每特性等級增加2	* Increases additional damage of [Blessing] by 2 per attribute level	* 특성 레벨당 [블레싱]의 추가대미지가 2 증가
* [聖禮]的神聖屬性攻擊力增加效果每特性等級提升	* Increases Holy property attack of [Sacrament] per attribute level	* 특성 레벨당 [사크라멘트]의 신성 속성 공격력 증가 효과 상승
* [釘草人]傷害強化為邪靈祭司2階水準	* Enhanced damage of [Effigy] to Bokor Circle 2 standards	* [에피지] 대미지가 보코르 2서클 수준으로 강화
* [釘草人]傷害強化為邪靈祭司3階水準	* Enhanced damage of [Effigy] to Bokor Circle 3 standards	* [에피지] 대미지가 보코르 3서클 수준으로 강화
* [符咒]的累積傷害每特性等級減少2	* Decreases accumulated damage from [Mackangdal] by 2 per attribute level	* [마캉달]의 누적된 대미지가 특성 레벨당 2 감소
* [殭屍圍繞]傷害強化為邪靈祭司3階水準	* Enhances damage of [Bwa Kayiman] to Bokor Circle 3 standards	* [브와카이망] 대미지가 보코르 3서클 수준으로 강화
* [雕刻攻擊]傷害強化為雕刻師2階水準	* Enhanced damage of [Carve] to Dievdirbys Circle 2 standards	* [목각 공격] 대미지가 딥디르비 2서클 수준으로 강화
* [雕刻攻擊]傷害強化為雕刻師3階水準	* Enhanced damage of [Carve] to Dievdirbys Circle 3 standards	* [목각 공격] 대미지가 딥디르비 3서클 수준으로 강화
* [貓頭鷹雕像]傷害強化為雕刻師3階水準	* Enhances damage of [Carve Owl] to Dievdirbys Circle 3 standards	* [부엉이 조각상] 대미지가 딥디르비 3서클 수준으로 강화
* 技能[瓦卡麗涅女神像]的冷卻時間減少10秒	* Decreases cooldown time of [Statue of Goddess Vakarine] by 10 seconds	* 스킬 [바카리네 여신상]의 재사용 대기시간이 10초 감소
* 技能[奧施莉奈女神像]的冷卻時間減少10秒	* Decreases the cooldown of [Statue of Goddess Ausrine] by 10 seconds	* 스킬 [아우슈리네 여신상]의 재사용 대기시간이 10초 감소
* [靈魂爆炸]傷害強化為聖者2階水準	* Enhances damage of [Astral Body Explosion] to Sadhu Circle 2 standards	* [유체 폭발] 대미지가 사두 2서클 수준으로 강화
* [靈魂爆炸]傷害強化為聖者3階水準	* Enhances damage of [Astral Body Explosion] to Sadhu Circle 3 standards	* [유체 폭발] 대미지가 사두 3서클 수준으로 강화
* [支配]傷害強化為聖者3階水準	* Enhances damage of [Possession] to Sadhu Circle 3 standards	* [포제션] 대미지가 사두 3서클 수준으로 강화
* 使用[能量傳送]時同時傳送力量能力值	* Allows [Transmit Prana] to also transmit STR	* [프라나 전송] 사용 시 힘 능력치도 전송
* 使用[能量傳送]時同時傳送體力能力值	* Allows [Transmit Prana] to also transmit CON	* [프라나 전송] 사용 시 체력 능력치도 전송
* 使用[能量傳送]時同時傳送精神能力值	* Allows [Transmit Prana] to also transmit SPR	* [프라나 전송] 사용 시 정신 능력치도 전송
* 使用[能量傳送]時同時傳送敏捷能力值	* Allows [Transmit Prana] to also transmit DEX	* [프라나 전송] 사용 시 민첩 능력치도 전송
* [恢復]的HP恢復力增加效果每特性等級增加2	* Increases HP recovery effect of [Restoration] by 2 per attribute level	* 특성 레벨당 [리스토레이션]의 HP 회복력 증가 효과가 2 상승
* [重擊]傷害強化為聖殿十字軍2階水準	* Enhances damage of [Smite] to Paladin Circle 2 standards	* [스마이트] 대미지가 팔라딘 2서클 수준으로 강화
* [重擊]傷害強化為聖殿十字軍3階水準	* Enhances damage of [Smite] to Paladin Circle 3 standards	* [스마이트] 대미지가 팔라딘 3서클 수준으로 강화
* [元素抗性]各屬性扺抗力每特性等級增加1	* Increases property resistance of [Resist Elements] by 1 per attribute level	* 특성 레벨당 [레지스트 엘리멘츠] 속성 저항력들이 1 증가
* [皈依]的怪物附近若有其他怪物接近皈依的怪物會自爆	* [Conversion] makes the target explode when coming in contact with other monsters	* [개종]된 몬스터 근처에 다른 몬스터가 근접하면 개종된 몬스터가 자폭
* [雙鎖功]傷害強化為武僧2階水準	* Enhances damage of [Double Punch] to Monk Circle 2 standards	* [쌍쇄공] 대미지가 몽크 2서클 수준으로 강화
* [鐵砂掌]傷害強化為武僧2階水準	* Enhances damage of [Palm Strike] to Monk Circle 2 standards	* [철사장] 대미지가 몽크 2서클 수준으로 강화
* [觀音掌]傷害強化為武僧2階水準	* Enhances damage of [Hand Knife] to Monk Circle 2 standards	* [관음장] 대미지가 몽크 2서클 수준으로 강화
* 按目前奉獻箱的道具數量比例{nl}    提升寬恕的攻擊力	* Increases the attack of Indulgentia based on the number of items in the Offering Box	* 현재 봉헌함에 있는 아이템 개수에 비례하여 인둘겐티아의{nl}    공격력이 상승
* 將登錄在[魔法商店]的效果賦予同伴時{nl}    效果的持續時間每特性等級增加5分	* Increases duration of [Spell Shop] by 5 minutes per attribute level when you endow a registered effect to an ally	* [주문 판매상점 개설]에 등록된 효과를 동료에게 부여할 때{nl}    효과의 지속시간이 특성 레벨당 5분씩 증가
* 以[形態變換]或[變形術]變身後可更快速使用怪物的技能	* Increases skill casting time while [Shapeshifting] or [Transform] is active	* [쉐입시프팅] 혹은 [트랜스폼]으로 변신후 몬스터의 스킬을 좀 더 빠르게 사용 가능
* 以[形態變換]或[變形術]變身後也能繼續維持PC移動速度	* Maintains the character's movement speed after transforming with [Shapeshifting] or [Transform]	* [쉐입시프팅] 혹은 [트랜스폼]으로 변신 후에도 PC 이동속도에 가깝게 유지
* 技能[重置]的冷卻時間減少30秒	* Decreases cooldown time of [Resetting] by 30 seconds	* 스킬 [리셋팅]의 재사용 대기시간이 30초 감소
* 配戴[鳥喙面具]時毒屬性扺抗力每特性等級增加5	* Increases Poison property resistance by 5 per attribute level whilst wearing the [Bird Beak Mask]	* [새 부리 가면]을 착용 중 독 속성 저항력이 특성 레벨당 5 증가
* [感染]套用的範圍增加	* Increases the range of [Pandemic]	* [판데믹]이 적용되는 범위가 증가
* [梅爾卡巴戰輪]的輪子移動速度減少	* Reduces the movement speed of [Merkabah]	* [메르카바]의 바퀴 이동속도 감소
* 很快顯示技能[數秘術]和[拼詞計算術]的數字結果值	* The numbers from [Gematria] and [Notarikon] are quickly calculated	* 스킬 [게마트리아]과 [노타리콘]의 숫자 결과값이 빠르게 표시
* 技能[數秘術]和[拼詞計算術]每特性等級對1名{nl}    額外套用	* [Gematria] and [Notarikon] affect 1 additional target per attribute level	* 스킬 [게마트리아]과 [노타리콘]이 특성 레벨당 1명에게{nl}    추가 적용
* 透過技能[取人藏物法]增加的物理攻擊力和魔法攻擊力的最小數值每特性等級增加1	* Increases minimum amount of physical and magic attack from [Hidden Potential] by 1 per attribute level	* 스킬 [취인장물법]으로 증가하는 물리 공격력과 마법 공격력의 최소 수치가 특성 레벨당 1 증가
* 對我軍召喚物施展[拍手]而恢復的HP量每特性等級增加1	* Increases ally installments' HP recovered by [Clapping] by 1 per attribute level	* 아군 소환물에게 [박수]로 회복시켜주는 HP량이 특성 레벨당 1 증가
需要鑑定師1階	Requires Appraiser Circle 1	감정사 1서클 필요
黑暗的精髓	Dark Crystal	어둠의 정수
已收集黑暗的精髓。	You have collected a Dark Crystal	어둠의 정수를 수집하였습니다.
索爾米奇板金組合	Solmiki Plate Set	솔미키 판금 세트
杜奈斯的Buff	Donnes' Buff	도네스의 버프
* [十字守護]的物理防禦力增加效果每特性等級增加3	* Enhances physical defense increase effect of [Cross Guard] by 3 per attribute level	* [크로스 가드]의 물리 방어력 증가 효과가 특성 레벨당 3 추가
* 技能[重力磁場]使用中每特性等級迴避增加50	* Increases evasion by 50 per attribute level when using [Gravity Pole]	* 스킬 [그라비티 폴] 사용 중, 회피가 특성 레벨당 50 증가
* 技能[靈魂出竅]活化期間本體的迴避{nl}    每特性等級增加10	* Increases the body's evasion by 10 per attribute level when [Out of Body] is active	* 스킬 [유체이탈]이 활성화 되어 있는 동안 본체의 회피가{nl}    특성 레벨당 10 증가
* [恢復]的HP恢復力增加效果每特性等級增加1%	* Increases HP recovery effect of [Restoration] by 1 per attribute level	* 특성 레벨당 [리스토레이션]의 HP 회복력 증가 효과가 1% 추가 상승
* [元素抗性]各屬性扺抗力每特性等級增加1%	* Increases property resistance of [Resist Elements] by 1 per attribute level	* 특성 레벨당 [레지스트 엘리멘츠] 속성 저항력들이 1% 증가
* 以[形態變換]或[變形術]變身的怪物若是小型{nl}    迴避每特性等級增加50	* Increases evasion of small-type monster transformed by [Shape Shifting] or [Transform] by 50 per attribute level	* [쉐입시프팅] 혹은 [트랜스폼]으로 변신한 몬스터가 소형이면{nl}    회피가 특성 레벨당 50 증가
* 以[形態變換]或[變形術]變身的怪物若是動物型{nl}    暴擊率每特性等級增加40	* Increases critical rate of the animal-type monsters transformed via [Shape Shifting] or [Transform] by 40 per attribute level	* [쉐입시프팅] 혹은 [트랜스폼]으로 변신한 몬스터가 동물형이면{nl}    치명타 발생이 특성 레벨당 40 증가
移動速度、迴避減少	Decreased movement speed and evasion	이동속도, 회피 감소
靈魂消失	Loss of Spirit	영혼소실
發光的幸運	Shining Luck	빛나는 행운
移動速度+5。	Increases Movement Speed +5	이동 속도 +5 증가합니다.
結婚蛋糕	Wedding Cake	웨딩 케잌
屬性扺抗力屬性攻擊力變更	Property resistance / Property attack	속성 저항력 속성 공격력변경
卡伊特姆歐組合	Kite Moor Set	카이트 무어 세트
休克炸彈發生	Shock Boom Effect	쇼크 봄 발생
