皮爾力巴斯直屬隊員	Philipas' Soldier	필리파스 직속 부대원
正在使用空間魔石/MAKING/3/TRACK_BEFORE/None	Using Spatial Magic Stone/MAKING/3/TRACK_BEFORE/None	공간마석 사용 중/MAKING/3/TRACK_BEFORE/None
師父留下的東西	Object Left by the Master	스승이 남긴 물건
遺產確認中/READ/2/TRACK_BEFORE/None	Checking inheritance/READ/2/TRACK_BEFORE/None	유산 확인 중/READ/2/TRACK_BEFORE/None
想傳達的話(1)	Passing Words (1)	전하고 싶은 말(1)
想傳達的話(2)	Passing Words (2)	전하고 싶은 말(2)
訴說與徘徊靈魂所說的對話	I've talked with the wandering spirit	헤메는 영혼과 대화한 것을 말해준다
就這樣離開位子	Leave now	이만 자리를 떠난다
想傳達的話(3)	Passing Words (3)	전하고 싶은 말(3)
前去破壞沉默之甕	Let's go to destroy the pot	침묵의 항아리를 파괴하러 간다
說看起來很危險，要就此打住	Tell him that you will quit since it looks dangerous	위험해보이니 그만두겠다고 한다
關於消滅靈魂	About the elimination of the spirit	영혼의 소멸에 대해
也很會察言觀色	You have some senses	눈치도 빠르지
並非自由之身(1)	No Freedom (1)	자유의 몸이 아냐(1)
說會再去尋找靈魂	I'll look for the spirit again	다시 영혼을 찾아보겠다고 한다
並非自由之身(2)	No Freedom (2)	자유의 몸이 아냐(2)
說會用淨化粉燒掉	Tell him that you would burn him with the purification powders	정화가루로 태워버리겠다고 한다
說自己的過錯自己擔	Tell him to resolve his fault himself	자신의 과오는 스스로 해결하라고 한다
正在堆屍骨	Piling up the skeletons	유골 쌓는 중
往自由邁出一步	One Step Closer to Freedom	자유로 한걸음
說不用擔心，把事情交給他	Tell him not to worry	걱정말고 맡겨달라고 한다
觀察中/LOOK/1/TRACK_BEFORE/None	Observing/LOOK/1/TRACK_BEFORE/None	관찰 중/LOOK/1/TRACK_BEFORE/None
在周圍找找看拓本材料	Let's obtain the materials for rubber copies around here	탁본 재료를 주위에서 구해 보자
Notice/在戰利品口袋裡頭找到了可以拓印拓本的合適材料。#5	Notice/Found suitable materials to take a rubbing from inside the loot bag#5	Notice/전리품 주머니 안에서 탁본을 뜰 만한 적당한 재료들을 찾았습니다#5
拓本中/GROPE/2/TRACK_BEFORE/None	Taking a rubbing/GROPE/2/TRACK_BEFORE/None	탁본 중/GROPE/2/TRACK_BEFORE/None
比王國歷史更悠久的城牆(1)	The Ramparts More Durable Than the Kingdom (1)	왕도보다 오래 가는 성벽(1)
觀察碑石中/LOOK/2/TRACK_BEFORE/None	Examining tombstone/LOOK/2/TRACK_BEFORE/None	비석 살펴 보는 중/LOOK/2/TRACK_BEFORE/None
比王國歷史更悠久的城牆(2)	The Ramparts More Durable Than the Kingdom (1)	왕도보다 오래 가는 성벽(2)
拓印拓本中/GROPE/2/TRACK_BEFORE/None	Taking a rubbing/GROPE/2/TRACK_BEFORE/None	탁본 뜨는 중/GROPE/2/TRACK_BEFORE/None
有可以來幫忙的人嗎？	Can Someone Help?	도와 줄 사람?
接受提議	Accept the suggestion	제안을 받아들인다
食用凱帕的方法(1)	How to Eat a Kepa (1)	케파를 먹는 법(1)
關於在這裡做的事	About the work you are doing here	여기에서 하는 일에 대해
食用凱帕的方法(2)	How to Eat a Kepa (2)	케파를 먹는 법(2)
第一個碑文(1)	The First Epitaph (1)	첫 번째 비문(1)
第一個碑文(2)	The First Epitaph (2)	첫 번째 비문(2)
查看碑石中/LOOK/2/TRACK_BEFORE/None	Examining the tombstone/LOOK/2/TRACK_BEFORE/None	비석을 살펴 보는 중/LOOK/2/TRACK_BEFORE/None
查看碑文/SITREAD/3/TRACK_BEFORE/None	Reading Epitaph/SITREAD/3/TRACK_BEFORE/None	비문 읽기/SITREAD/3/TRACK_BEFORE/None
第二個碑文(1)	The Second Epitaph (1)	두 번째 비문(1)
第二個碑文(2)	The Second Epitaph (2)	두 번째 비문(2)
第二個碑文(3)	The Second Epitaph (3)	두 번째 비문(3)
說明白了	Tell him that you understand	이해했다고 한다
說會找其他辦法	Tell him that you will look for other methods	다른 방법을 찾겠다고 한다
第二個碑文(4)	The Second Epitaph (4)	두 번째 비문(4)
接合碑石中/CAMPFIRE_LOOP/2/TRACK_BEFORE/None	Affixing tombstone fragments/CAMPFIRE_LOOP/2/TRACK_BEFORE/None	비석을 붙이는 중/CAMPFIRE_LOOP/2/TRACK_BEFORE/None
第二個碑文(5)	The Second Epitaph (5)	두 번째 비문(5)
查看碑文中/READ/3/TRACK_BEFORE/None	Reading Epitaph/READ/3/TRACK_BEFORE/None	비문을 읽는 중/READ/3/TRACK_BEFORE/None
第三個碑文(1)	The Third Epitaph (1)	세 번째 비문(1)
穿越藤蔓中/GROPE/2/TRACK_BEFORE/None	Hacking Vines/GROPE/2/TRACK_BEFORE/None	덩굴을 헤쳐보는 중/GROPE/2/TRACK_BEFORE/None
第三個碑文(2)	The Third Epitaph (2)	세 번째 비문(2)
在藤蔓上點火中/FIRE/3/TRACK_BEFORE/None	Lighting fire to vines/FIRE/3/TRACK_BEFORE/None	덩굴에 불 붙이는 중/FIRE/3/TRACK_BEFORE/None
查看碑文中/READ/3/TRACK_AFTER/None	Reading Epitaph/READ/3/TRACK_AFTER/None	비문 읽는 중/READ/3/TRACK_AFTER/None
可能知道碑石的的人…？	Interpreting the Tombstone's Story	비석의 이야기를 알 만한 사람..?
其他的碑石(1)	Another Tombstone (1)	또 다른 비석(1)
到右側去拉拉看	Go to the right side and pull the lever	우측으로 가서 당겨 본다
其他的碑石(2)	Another Tombstone (2)	또 다른 비석(2)
油味	The Smell of Oil	기름 냄새
只有這個辦法	The Only Method	방법은 이것 뿐
關於正在研究的東西	About the research	연구하고 있는 것에 대해
石塔封印	Sealing the Stone Tower	돌탑 봉인
嚐試移動	Move	이동해 본다
詢問是否有東西可以探查。	Ask if there's anything that can be searched	탐색되는게 있냐고 묻는다.
說過一會再搭話。	Talk to him again later	조금있다가 다시 말을 건다.
吸引視線(1)	Drawing Attention (1)	시선 끌기(1)
說要你自己去找來。	Tell him to obtain them himself	알아서 구하라고 한다.
吸引視線(2)	Drawing Attention (2)	시선 끌기(2)
說會帶來藥水。	Tell him that you would bring the potion	물약을 가지고 오겠다고 한다.
說以後再做。	Tell him that you would do it later	나중에 하겠다고 한다.
吸引視線(3)	Drawing Attention (3)	시선 끌기(3)
為了去設置而離開了。	Go to install it	설치하러 간다.
說不會去做。	Tell him that you won't do it	하지 않겠다고 한다.
吸引視線(4)	Drawing Attention (4)	시선 끌기(4)
說準備好了。	Tell him that you are ready	준비 됐다고 한다.
說現在還不是時候。	Tell him that it's not ready yet	아직 안됐다고 한다.
對話中	Talking	대화 중
運氣差的日子	An Unlucky Day	운수 나쁜 날
堤拉修道院的苦難	Trouble at the Tyla Monastery	틸라 수도원의 고난
說能幫得上忙的一定會幫	Tell him that you would help	도울 수 있는 데까지 돕겠다고 한다
說身體還沒完全恢復	Tell him that you are not completely healed yet	아직 몸이 다 낫지 않았다고 한다
關於艾保尼風	About Ebonypawn	에보니폰에 대해
救援活動輔助	Relief Assistance	구호활동 보조
說會向獵人詢問	Tell him that you will ask the Hunters	헌터들에게 물어보겠다고 한다
說很遺憾地，他不知道方法	Tell him that you don't know how to do it	안타깝지만 방법을 모르겠다고 한다
關於修道院的情況	About the circumstances at the monastery	수도원의 상황에 대해
找到證據	Searching for Evidence	증거를 찾아서
說要去找獵人雷伊娜	Tell him that you will meet with Hunter Reina	헌터 레이나에게 가보겠다고 한다
搜查陷阱	Search for the Trap	함정 수색
詢問是否有找到陷阱的方法	Ask him if there's any way to find the trap	함정을 찾을 방법이 없느냐고 묻는다
麻痺解除之前只能等待	Wait until the paralysis goes away	마비가 풀릴 때까지 기다린다
關於知道陷阱主人的方法	The way to know the owner of the trap	함정의 주인을 아는 방법에 대해
協助的第一步	The First Step of Cooperation	협조를 위한 첫걸음
把陷阱交給佛特斯	Go see Potos to give him the trap	포토스에게 함정을 전해 주러 간다
珍貴的經典	The Precious Scripture	소중한 경전
盡可能減少危險	Reducing the Danger	위험을 하나라도 줄여보기
說那種事情就交給他	Tell him that you could handle the task	그런 일이라면 맡겨 달라고 한다
偶爾要看看後頭	Looking Back Sometimes	가끔은 뒤를 돌아보자
會盡力提供協助	Tell him that you will help	기꺼이 도와주겠다고 한다
因為很忙錄而拒絕了	Reject since you are busy	바쁘다며 거절한다
製作箭頭	Making Arrowheads	화살촉 만들기
聽看看是什麼事	Listen what happened	무슨 일인지 들어 보자
說在這附近沒事情要做而拒絕了	Reject since there isn't anything to do	더 이상 주변에 볼일은 없다며 거절한다
可信賴的夥伴	Reliable Partner	듬직한 파트너
詢問有沒有能幫得上忙的	Ask him if there's anything you can help	도와줄 수 있는 게 있는지 묻는다
說快回去同伴身邊	Tell him to go back to his colleagues	어서 동료들에게 돌아가라고 한다
絕對不行	Not A Chance	절대 안돼
說會試著說服馬勒寇	Tell him that you would persuade Marko	마르코를 설득해 보겠다고 한다
說放棄吧	Tell him that we should give up	포기하자고 한다
都準備好了嗎？	Everyone Ready?	모두들 준비 되었나?
說傳達之後再回來	Tell him that you would hand them over to him	전하고 오겠다고 한다
未知的毒(1)	Unknown Poison (1)	모르는 독(1)
說會儘早回來	Tell him that you would come back fast	빠르게 다녀 오겠다고 한다
說希望能搬到都市去	Tell him that it will be better to move to a city	도시로 옮기는 것이 좋겠다고 한다
未知的毒(2)	Unknown Poison (2)	모르는 독(2)
未知的毒(3)	Unknown Poison (3)	모르는 독(3)
還有一樣最後的材料	The Last Material One More Time	마지막 재료가 하나 더
說會立刻找來	Tell him that you would gather them quickly	금방 모아 오겠다고 한다
說需要準備一下	Tell him that you need some time to prepare	잠시 준비가 필요하다고 말한다
中途報告	Interim Report	중간 보고
不可小看下一個對手	A Difficult Opponent	다음 상대는 만만하지 않다
不簡單的對手	A Worthy Opponent	녹록치 않은 상대
香甜的膏藥(1)	Sweet Ointment (1)	달콤한 고약(1)
說有比那更急迫的事	Tell him that you have more urgent issue that that	그런 것보다 더욱 급한일이 있다고 한다
香甜的膏藥(2)	Sweet Ointment (2)	달콤한 고약(2)
挑剔的修道士	Fastidious Ointment (2)	까칠한 수도사
說會試著說服古斯	Tell him that you would persuade Goss	거스를 설득해 보겠다고 한다
力量的證明	Proof of Strength	힘의 증명
可疑的異鄉人	A Suspicious Stranger	석연치 않은 이방인
關於艾保尼風的保護	About the protection of Ebonypawn	에보니폰의 보호에 대해
慘遭殺害的旅人	The Murdered Traveler	살해당한 여행자
詢問是否還有其他奇怪的事情	Ask him if there were any other strange things	다른 이상한 것은 없었는지 묻는다
露出馬腳	True Colors Revealed	드러난 마각
感覺很不情願並且拒絕了	Reject since you don't feel good about it	왠지 꺼림칙하니 거절한다
為了見到修道院長	Meeting the Abbot	수도원장을 만나기 위해
要求給他一點思考的時間	Tell him that you need some time to think	잠시 생각할 시간을 달라고 한다
關於艾保尼風的追蹤	About the chase of Ebonypawn	에보니폰의 추적에 대해
製造安靜的環境	Creating a Quiet Environment	조용한 환경 만들기
說會幫忙消滅怪物，不用擔心	I will defeat the monsters so don't worry	몬스터를 처치해 줄 테니 걱정 말라고 한다
說現在已經很安全了	It looks safe	충분히 안전해 보인다고 한다
經常淨水	Filtered Water	물은 항상 걸러서
說應當要幫忙	I will definitely help	응당 도와주겠다고 한다
打掃入口	Cleaning Up The Entrance	진입로 청소
修道院修復作戰(1)	Mission to Retake the Monastery (1)	수도원 수복 작전(1)
修道院修復作戰(2)	Mission to Retake the Monastery (2)	수도원 수복 작전(2)
修道院修復作戰(3)	Mission to Retake the Monastery (3)	수도원 수복 작전(3)
修道院修復作戰(4)	Mission to Retake the Monastery (4)	수도원 수복 작전(4)
在祈禱室前見面吧	Agree to meet in front of the oratory	기도실 앞에서 만나자고 한다
一起休息	Rest together	같이 쉰다
修道院修復作戰(5)	Mission to Retake the Monastery (5)	수도원 수복 작전(5)
召喚的事前準備(1)	Preparations for the Call (1)	부름을 위한 준비작업(1)
說會去找莫漢	I will find Moheim	모하임을 찾겠다고 한다
召喚的事前準備(2)	Preparations for the Call (2)	부름을 위한 준비작업(2)
將危機告訴他人	Notify About the Crisis	위기를 알려라
要求停一下	Stop for a while	잠시 멈춰달라고 한다
保護撤回宣言	Declare Withdrawal of Protection	보호 철회 선언
全新追擊的開始	Start of a New Chase	새로운 추격의 시작
說會去追擊艾保尼風	I will chase Ebonypawn	에보니폰을 쫓겠다고 한다
減少人頭	Lessen the Head Count	머릿수 줄이기
說自己也會幫忙	I will help too	자신도 돕겠다고 한다
清掃室內	Clean Inside	실내 청소
物品放在原位	Where it Belongs	물건은 제자리에
消滅工房廢墟的怪物	Defeat the monsters in the Workshop Ruins	공방 폐허의 몬스터 처치
向王國軍蕾堤亞報告	Report to Royal Army Guard	왕국군 레티아에게 보고
確認石化探測器	Examine the Petrification Detector	석화 탐지기 확인
確認石化探測器後消滅斯帕娜史霍	Examine the Petrification Detector and defeat Sparnashorn	석화 탐지기 확인 뒤 스파나스혼 처치
消滅集會場的怪物	Defeat the monsters in Assembly Hall Site	집회장 터의 몬스터 처치
向盜墓賊胡貝爾塔斯傳達此事	Give it to Grave Robber Hubertas	도굴꾼 후베르타스에게 전달
竊取石化贓物	Steal the petrified stolen goods	석화된 장물 훔치기
交給盜墓賊班賈米那斯	Give it to Grave Robber Benjaminas	도굴꾼 벤자미나스에게 전달
讓蘭姆貝兒身上沾滿芳香石粉	Rub the Fragrant Stone Powser on Rambear	램베어에게 향기나는 돌가루 묻히기
向警備兵葛普坦報告	Report to Guard Gofden	경비병 고프덴에게 보고
收集王國軍選拔隊的遺物	Collect the keepsakes of the advance Royal Army	왕국군 선발대의 유품 수집
交給警備兵葛普坦	Give it to Guard Gofden	경비병 고프덴에게 전달
恢復的機會	Chance to Recover	회복의 기회
收集反應石	Collect Reaction Stones	반응석 수집
交給寒冰法師科斯塔斯	Give it to Cryomancer Kostas	크리오맨서 코스타스에게 전달
獲得反應石	Obtained Reaction Stone	반응석 획득
在匠人之街實驗希爾特的信物	Test the Mark of Silt in Master Craftman's Street	장인의 거리에서 실트의 증표 실험
寒冰法師科斯塔斯請求使用希爾特的信物，對匠人之街的怪物進行實驗。	Cryomancer Kostas asked you to test teh Mark of Silt on the monsters in Master Craftman's Street	크리오맨서 코스타스는 장인의 거리에서 실트의 증표를 몬스터에게 실험해달라고 했습니다.
回收石化探測器	Retrieve the Petrification Detector	석화 탐지기 회수
敵人的敵人是怪物	Enemy's foe is an enemy	적의 적은 몬스터
在商業區收集維拉斯草的葉子	Collect Velas Grass in Commercial District	상업지구에서 벨라스 풀잎 수집
交給盜墓賊魯特爾巴斯	Give it to Grave Robber Rudolfas	도굴꾼 루돌파스에게 전달
在凱洛貝工房進行櫃子作業	Work on the boxes in Gerove Workshop Site	게로베 공방 터에서 궤짝 작업
向盜墓賊魯特爾巴斯報告	Report to Grave Robber Rudolfas	도굴꾼 루돌파스에게 보고
守護被石化的士兵	Protect the Petrified Soldiers	석화된 병사 지키기
保護石化的士兵	Protect the Petrified Soldiers	석화된 병사 보호
回收毀損的遺物	Retrieve the Damaged Relics	훼손된 유물 회수
交給警備兵諾瑪比斯	Give it to Guard Nomabis	경비병 노마비스에게 전달
收集毀損的遺物	Collect the Damaged Relics	훼손된 유품 수집
消滅軍事區傳點周圍的怪物	Defeat the monsters around Barracks District	군사지구 포탈 주변 몬스터 처치
啟動軍事區的傳點	Activate the portal of Barracks District	군사 지구의 포탈 작동
消滅前往河口堤三岔路口路上的怪物	Deal with monsters on the way to Estuary Bank Junction	하구 둑 삼거리 오는 길의 몬스터 처치
在河口堤三岔路口使用光粉劑	Use Monster Stimulant in Estuary Bank Junction	하구 둑 삼거리에서 광분제 사용
哄騙水磨坊廢墟的警備兵	Lure the guards in Decrepit Watermill	물레방앗길 폐허의 경비병 꾀어내기
收集硬火藥	Gather Hardened Gunpowder	굳은 화약 수집
實驗加工炸彈	Processed Bomb Experiment	가공된 폭탄 실험
收集黏稠體液	Obtain Sticky Liquid	끈적이는 체액 수집
交給盜墓賊斯提波納斯	Talk with Grave Robber Stephonas	도굴꾼 스테포나스에게 전달
從森林石怪那獲得了霜核	Obtain the Frosty Core from a Stone Froster	스톤프로스터에게 서리핵 획득
消滅寇保索殿堂的怪物	Defeat the monsters at Kovos Hall Site	코보소 전당 터의 몬스터 처치
向葳荷米娜凱利奧特報告	Talk to Wilhelmina Carriot	빌헬미나 캐리어트에게 보고
回收清爽的藥丸	Retrieve Tasty Tablets	상쾌한 알약 회수
收集黑暗結晶	Collect Dark Crystals	어두운 결정 수집
交給邪靈祭司艾提達	Hand them over to the Bokor Master	보코르 에디타에게 전달
解放石化的士兵	Release the petrified soldier	석화된 병사 해방
點燃彼恩堤城堡的香爐	Burn the incense at the Vienti Fortress burner	비엔티 성채의 향로에 불 피우기
對奈勃基亞城堡的怪物的怪物使用石化融解劑	Use the melting solution to the monsters at Neiveikiama Castle	네베키아 성채의 몬스터에게 석화 융해제 사용
向鍊金術士莎莉亞莫納斯報告	Report to the Alchemist Saliamonas	알케미스트 살리아모나스에게 보고
從奈勃基亞城堡的怪物身上收集石化標本	Collect the Petrified Samples from the monsters in Neiveikiama Castle	네베키아 성채의 몬스터에게서 석화 표본 수집
消滅奈勃基亞城堡上方的菁英怪物	Deal with elite monsters north of Neiveikiama Castle	네베키아 성채 위쪽의 엘리트 몬스터 처치
消滅泰特拉歐克斯	Defeat Tetraox	테트라옥스 처치
消滅藏匿在祭壇裡的泰特拉歐克斯	Defeat the Tetraox that hid in the altar	제단에 숨어 있던 테트라옥스 처치
與弟子萊恩斯對話	Talk to Disciple Laius	제자 라이어스와 대화
搜索蘊含靈氣的寶珠	Search for the orb that can contain vigor	영기를 담는 보주 수색
交給弟子萊恩斯	Hand it over to Disciple Laius	제자 라이어스에게 전달
吸收怪物的靈氣	Absorb vigor from the monsters	몬스터에게 영기 흡수
將靈氣注入堅硬的靈體水晶	Inject the vigor into the crystal of the hardened astral body	굳은 영체의 수정에 영기 주입
與弟子侯內斯對話	Talk with Disciple Hones	제자 호네스와 대화
確認師父留下的紀錄	Examine the records which the master left	스승이 남긴 기록 확인
為危險的探勘做準備	Preparations for dangerous search	위험한 탐색 준비
收集真相之眼碎片	Collect the Eyes of Truth fragments	진실의 눈 파편 수집
交給弟子侯內斯	Hand them over to Disciple Hones	제자 호네스에게 전달
消滅鬼影凱伊洛後，獲得了靈魂的結晶	Obtain the Soul Crystal by defeating Shadowgaler	섀도게일러를 처치해서 영혼의 결정 획득
契約的空間魔石	Spatial Magic Gem of Contract	계약의 공간마석
確認魔石融合劑	Examine the Magic Gem Fusion Device	마석 융합기를 확인
回收契約的空間魔石碎片	Retrieve the fragments of The Spatial Magic Gem of Contract	계약의 공간마석 파편 회수
啟動在記憶神堂的保存魔法陣	Activate the Magic Field of Preservation at the Shrine of Remembrance	기억의 신당에 있는 보존 마법진 가동
保護保存魔法陣	Protect the Magic Field of Preservation	보존 마법진 보호
將空間魔石投入魔石融合劑裡	Insert the Spatial Magic Gem into the Magic Gem Fusion Device	마석 융합기에 공간마석 투입
約定的空間魔石	Spatial Magic Gem of Promise	약속의 공간마석
收集濃縮的怨念 	Collect the Condensed Spite	응축된 원한 수집
破壞西亞烏拉坑道的結界石	Destroy the Barrier Stone at Siaura Mine	시아우라 갱도의 결계석 파괴
破壞結界石	Destroy the Barrier Stone	결계석 파괴
避開黑影追蹤者，回收被封印的空間魔石	Retrieve the Sealed Spatial Magic Gem by avoiding the Black Chaser	검은 추적자를 피해 봉인된 공간마석 회수
祭物的空間魔石	Spatial Magic Gem of Offer	제물의 공간마석
在記憶的神堂裡搜索神殿射手	Find Templeshooter at the Shrine of Remembrance	기억의 신당에서 템플슈터 수색
請使用智慧的引導石搜索神殿射手	Find Templeshooter using the Wisdom Guiding Stone	지혜의 인도석을 이용해서 템플슈터 수색
確認黑影	Check the Black Shadow	검은 그림자 확인
啟動魔石融合劑	Activate the Magic Gem Fusion Device	마석 융합기 가동
在勞迪樓閣裡啟動空間移動裝置	Activate the teleportation device to Laudi Tower	라우디 누각에서 공간 이동 장치 가동
在空間移動裝置上使用完成的空間魔石	Use the completed Spatial Magic Gems at the teleportation device	공간 이동 장치에 완성된 공간마석 사용
確認師父的遺產 	Examine the Master's Legacy	스승의 유산 확인
想傳達的話	Longing to Speak	전하고 싶은 말
與徘徊的靈魂對話	Talk to the wandering spirit	헤메는 영혼과 대화
在周圍尋找線索	Look for clues nearby	주변에서 단서 찾기
與奎波爾碧塔對話	Talk with Kupole Vita	큐폴 비타와 대화
找到其他靈魂並與其對話	Look for the remaining spirits and talk to them	다른 영혼들을 찾아서 대화
尋找靈魂們所說的物品	Look for an object that the spirits were describing	영혼들이 말하는 물건 찾기
請除去沉默之甕周圍凝聚的邪惡氣息	Eliminate the ominous energy that is condensing around the Pot of Silence	침묵의 항아리 주변에서 응집된 사악한 기운 제거
破壞沉默之甕	Destroy the Pot of Silence	침묵의 항아리 파괴
消滅展開突襲的魔族	Defeat the monsters that rushed in	습격해 온 마족 처치
並非自由之身	Unfree Beings	자유의 몸이 아냐
搜索能讓人聽到話的靈魂	Look for spirits wishing to speak to you	이야기를 들려줄 영혼 수색
交給里莫斯的靈魂	Hand them over to the Rimos' Spirit	리모스의 영혼에게 전달
與里莫斯的靈魂對話	Talk with the Rimos' Spirit	리모스의 영혼과 대화
燒毀肉體的契約陣	Burn the Contract of Flesh	육신의 계약진 태우기
向里莫斯的靈魂報告	Report to the Rimos' Spirit	리모스의 영혼에게 보고
消滅卡勒賓凱墓室的怪物吉尼	Defeat Master Genie at Garbingal Burial Chamber	가르빙갈 묘실의 마스터 지니 처치
命運的線頭，以及徬徨	Fluttering Threads of Destiny	운명의 실타래, 그리고 방황
發現碑石	Discover the tablet	비석 발견하기
請到努歐洛汀瀑布的小道岔路附近尋找碑石。	Look for the tablet near Sodo Fork of Nuoridin Falls	누오로딘 폭포의 소도 갈림길 근처의 비석을 찾아 보세요.
收集拓本材料	Collect materials to rubbings with	탁본 재료 수집
拓印拓本	Make rubbings	탁본 뜨기
尋找想要拓本的人	Look for someone who wants rubbings	탁본을 원할 만한 사람 찾기
比王國歷史更悠久的城牆	The Walls Outlasting the Kingdom	왕도보다 오래 가는 성벽
察看碑石	Examining the tablet	비석 살펴 보기
請察看斯克拉達後院的碑石。	Look at the tablet of Sklada Court	스클라다 안뜰의 비석을 살펴 보세요.
消滅展開突擊的怪物	Defeat the monsters that rushed in	습격해 오는 몬스터 처치
與亞特利尤斯對話	Talk to Adrijus	아드리유스와 대화
吃凱帕的方法	How to Eat a Kepa	케파를 먹는 법
請與中央聖所的亞特利尤斯對話。	Talk to Adrijus at The Central Sanctum	중앙 성소의 아드리유스와 대화 해 보세요.
收集亞特利尤斯請求的材料	Collect the materials Adrijus requested of you	아드리유스가 부탁한 재료 수집
交給亞特利尤斯	Hand them over to Adrijus	아드리유스에게 전달
請將好不容易取得的酸性體液與稀釋液拿給亞特利尤斯。	Hand over the acidic body fluid and the diluting solution to Adrijus	어렵사리 구한 진득한 산성 체액과 희석액을 아드리유스에게 건네 주세요.
向亞特利尤斯詢問碑石的內容	Ask Adrijus what's written on the tablet	아드리유스에게 비석의 내용 묻기
第一個碑文	The First Epitaph	첫 번째 비문
察看土堆	Inspect the lump of soil	흙더미 살펴 보기
製作石鍬	Craft a stone shovel	돌삽 만들기
用石鍬挖開堅硬的土堆	Shovel the soil away	삽으로 단단하게 굳은 흙더미 파기
為了讀碑石上頭的訊息，將碑石倒過來看	Turn the tombstone around to read the epitaph	비문을 읽을 수 있도록 비석 뒤집기
閱讀倒過來的碑石上的祕文	Read the epitaph of the flipped tombstone	뒤집힌 비석의 비문 읽기
第二個碑文	The Second Epitaph	두 번째 비문
察看過去殿堂的碑石	Look at the tombstone at the Hall of the Past	과거의 전당의 비석 살피기
從米諾斯手中收集碑石碎片	Collect the fragments of the tombstone from Minos	미노스에게서 비석 조각 수집
回到碑石那邊並嘗試復原碑石	Return to the tombstone and try to restore it	비석으로 돌아가 복원 시도
向柯拉佩達的鐵匠詢問有關黏著劑的事情	Ask the blacksmith in Klaipeda about adhesives	클라페다의 대장장에게 접착제에 대해 묻기
向柯拉佩達的鐵匠詢問有關黏著劑的事情	Ask the blacksmith in Klaipeda about adhesives	클라페다의 대장장이에게 접착제에 대해 물어 보기
請回到那穆寺院的碑石	Return to the tombstone in the Namu Temple Ruins	나뮤 사원터의 비석으로 돌아가기
察看碑石	Inspect the tombstone	비석 살피기
收集黏稠樹脂	Collect Sticky Resin	끈적이는 수지 수집
黏貼碑石碎片	Restore the tombstone	비석 조각 붙이기
閱讀祕文	Read the epitaph	비문 읽기
第三個碑文	The Third Epitaph	세 번째 비문
察看內畢耶達祭壇的碑石	Look at the tombstone in the Nevieda Altar Area	네비에다 제단 터의 비석 살펴 보기
請察看內畢耶達祭壇的碑石。	Look at the tombstone near the Nevieda Altar Area	네비에다 제단 터의 비석을 살펴 보세요.
收集乾草與油	Collect dry bushes and oil	잘 마른 덤불과 기름 수집
回到內畢耶達祭壇的碑石那	Return to the tombstone near Nevieda Altar Area	네비에다 제단 터의 비석으로 돌아가기
點燃包圍碑石的藤蔓 	Burn down the vines that are binding the tombstone	비석을 휘감고 있는 덩굴 태우기
在藤蔓燃燒的同時消滅怪物	Defeat the monsters while burning down the vines	덩굴 태우는 동안 몬스터 처치
尋找柯拉佩達的巴伊寶拉之翼	Meet the Wings of Vaivora in Klaipeda	클라페다의 바이보라의 날개를 찾아 가기
又出現其他碑石	Another Tombstone	또 다른 비석
閱讀碑石上的字句	Read the writings on the tombstone	비석 글귀 읽기
遇見尤斯達斯	Meet Justas	유스타스 만나기
請到研究營地與尤斯達斯見面。	Meet Justas at the Research Camp	연구 캠프에 있는 유스타스를 만나보세요.
與尤斯達斯對話	Talk to Justas	유스타스와 대화
收集骨頭碎片	Collect Bone Fragments 	뼛조각 수집
交給尤斯達斯	Give it to Justas	유스타스에게 전달
與阿曼達對話	Talk to Amanda	아만다와 대화
吸引視線	Drawing Attention	시선 끌기
取得爆音彈所需要的材料	Find materials to make explosives	폭음탄에 필요한 재료 구하기
竊取王國軍警備兵所攜帶的藥水	Steal the liquid medicine from the Royal Army guard	왕국군 경비병이 가지고 있는 물약 훔치기
設置爆音彈	Set the Resounding Bomb	폭음탄 설치하기
與阿曼達一起移動到下個區域	Move to the next area with Amanda	아만다와 함께 다음 구역으로 이동
收集蘭姆貝兒的毛球	Collect Rambear Fur	램베어의 털뭉치 수집
調查樹叢，消滅橘色泰瑪	Investigate the bushes and defeat Orange Tamas	덤불을 조사해 주황 타마 처치
與資深修道士佛特斯對話	Talk to Senior Monk Potos	선임 수도사 포토스와 대화
與獵人雷伊娜對話	Talk to Hunter Reina	헌터 레이나와 대화
使用賈雷斯以搜查陷阱	Search for the trap using Jareth	쟈레쓰를 이용해 함정 수색
與獵人納塔夏對話	Talk to Hunter Natasha	헌터 나타샤와 대화
與修道士瓦以利對話	Talk to Monk Wiley	수도사 와일리와 대화
收集精典散頁	Collect the pages of the scripture	경전 낱장 수집
交給修道士瓦以利	Hand them over to the Monk Wiley	수도사 와일리에게 전달
採集坦帕斯蘑菇	Collect Tempas Mushrooms	템파스 버섯 채집
收集勒多的石橋	Collect Rocktor's Stony Legs	락터의 돌다리 수집
交給獵人雷伊娜	Hand them over to Hunter Reina	헌터 레이나에게 전달
賈雷斯的狩獵幫助	Hunt together with Jareth	쟈레쓰의 사냥 돕기
與資深修道士馬勒寇對話	Talk to Senior Monk Marko	선임 수도사 마르코와 대화
與修道士們對話	Talk to the monks	수도사들과 대화
未知的毒	Unidentified Poison	모르는 독
收集切波勒的尖刺毒 	Collect Chafperor Thorn Venom	체이퍼러의 가시독 수집
